Indicator,Unit,Subgroup,Time Period,Data Value
Deaths averted due to ART,Number,estimate,2010,762485.0
Deaths averted due to ART,Number,estimate,2011,840903.0
Deaths averted due to ART,Number,estimate,2012,973645.0
Deaths averted due to ART,Number,estimate,2013,1090040.0
Deaths averted due to ART,Number,estimate,2014,1162780.0
Deaths averted due to ART,Number,estimate,2015,1205580.0
Deaths averted due to ART,Number,lower estimate,2010,661112.0
Deaths averted due to ART,Number,lower estimate,2011,725670.0
Deaths averted due to ART,Number,lower estimate,2012,843263.0
Deaths averted due to ART,Number,lower estimate,2013,932579.0
Deaths averted due to ART,Number,lower estimate,2014,988112.0
Deaths averted due to ART,Number,lower estimate,2015,1018888.0
Deaths averted due to ART,Number,upper estimate,2010,869930.0
Deaths averted due to ART,Number,upper estimate,2011,964206.0
Deaths averted due to ART,Number,upper estimate,2012,1123827.0
Deaths averted due to ART,Number,upper estimate,2013,1269304.0
Deaths averted due to ART,Number,upper estimate,2014,1366189.0
Deaths averted due to ART,Number,upper estimate,2015,1431053.0
Coverage of people receiving ART,Percent,All sexes Adults (15+) estimate,2010,22.653
Coverage of people receiving ART,Percent,All sexes Adults (15+) estimate,2011,27.0113
Coverage of people receiving ART,Percent,All sexes Adults (15+) estimate,2012,31.7265
Coverage of people receiving ART,Percent,All sexes Adults (15+) estimate,2013,36.7298
Coverage of people receiving ART,Percent,All sexes Adults (15+) estimate,2014,41.6042
Coverage of people receiving ART,Percent,All sexes Adults (15+) estimate,2015,46.2536
Coverage of people receiving ART,Percent,All sexes Adults (15+) lower estimate,2010,20.959
Coverage of people receiving ART,Percent,All sexes Adults (15+) lower estimate,2011,24.9815
Coverage of people receiving ART,Percent,All sexes Adults (15+) lower estimate,2012,29.3567
Coverage of people receiving ART,Percent,All sexes Adults (15+) lower estimate,2013,33.9897
Coverage of people receiving ART,Percent,All sexes Adults (15+) lower estimate,2014,38.533
Coverage of people receiving ART,Percent,All sexes Adults (15+) lower estimate,2015,42.8847
Coverage of people receiving ART,Percent,All sexes Adults (15+) upper estimate,2010,24.5906
Coverage of people receiving ART,Percent,All sexes Adults (15+) upper estimate,2011,29.2789
Coverage of people receiving ART,Percent,All sexes Adults (15+) upper estimate,2012,34.4
Coverage of people receiving ART,Percent,All sexes Adults (15+) upper estimate,2013,39.8242
Coverage of people receiving ART,Percent,All sexes Adults (15+) upper estimate,2014,45.0949
Coverage of people receiving ART,Percent,All sexes Adults (15+) upper estimate,2015,50.1402
Coverage of people receiving ART,Percent,Children (0-14) estimate,2010,20.6375
Coverage of people receiving ART,Percent,Children (0-14) estimate,2011,26.0813
Coverage of people receiving ART,Percent,Children (0-14) estimate,2012,31.1842
Coverage of people receiving ART,Percent,Children (0-14) estimate,2013,37.4184
Coverage of people receiving ART,Percent,Children (0-14) estimate,2014,43.0738
Coverage of people receiving ART,Percent,Children (0-14) estimate,2015,48.6633
Coverage of people receiving ART,Percent,Children (0-14) lower estimate,2010,18.1214
Coverage of people receiving ART,Percent,Children (0-14) lower estimate,2011,22.7657
Coverage of people receiving ART,Percent,Children (0-14) lower estimate,2012,27.0956
Coverage of people receiving ART,Percent,Children (0-14) lower estimate,2013,32.3471
Coverage of people receiving ART,Percent,Children (0-14) lower estimate,2014,37.0617
Coverage of people receiving ART,Percent,Children (0-14) lower estimate,2015,41.504
Coverage of people receiving ART,Percent,Children (0-14) upper estimate,2010,23.0027
Coverage of people receiving ART,Percent,Children (0-14) upper estimate,2011,29.2058
Coverage of people receiving ART,Percent,Children (0-14) upper estimate,2012,35.0047
Coverage of people receiving ART,Percent,Children (0-14) upper estimate,2013,41.972
Coverage of people receiving ART,Percent,Children (0-14) upper estimate,2014,48.5997
Coverage of people receiving ART,Percent,Children (0-14) upper estimate,2015,54.9578
Coverage of people receiving ART,Percent,Females Adults (15+) estimate,2010,23.5664
Coverage of people receiving ART,Percent,Females Adults (15+) estimate,2011,28.8246
Coverage of people receiving ART,Percent,Females Adults (15+) estimate,2012,34.9673
Coverage of people receiving ART,Percent,Females Adults (15+) estimate,2013,41.0544
Coverage of people receiving ART,Percent,Females Adults (15+) estimate,2014,47.0707
Coverage of people receiving ART,Percent,Females Adults (15+) estimate,2015,52.0199
Coverage of people receiving ART,Percent,Females Adults (15+) lower estimate,2010,21.6597
Coverage of people receiving ART,Percent,Females Adults (15+) lower estimate,2011,26.4865
Coverage of people receiving ART,Percent,Females Adults (15+) lower estimate,2012,32.1847
Coverage of people receiving ART,Percent,Females Adults (15+) lower estimate,2013,37.8299
Coverage of people receiving ART,Percent,Females Adults (15+) lower estimate,2014,43.4191
Coverage of people receiving ART,Percent,Females Adults (15+) lower estimate,2015,48.0273
Coverage of people receiving ART,Percent,Females Adults (15+) upper estimate,2010,25.8028
Coverage of people receiving ART,Percent,Females Adults (15+) upper estimate,2011,31.4995
Coverage of people receiving ART,Percent,Females Adults (15+) upper estimate,2012,38.1667
Coverage of people receiving ART,Percent,Females Adults (15+) upper estimate,2013,44.849
Coverage of people receiving ART,Percent,Females Adults (15+) upper estimate,2014,51.4526
Coverage of people receiving ART,Percent,Females Adults (15+) upper estimate,2015,56.8467
Coverage of people receiving ART,Percent,Total estimate,2010,22.5205
Coverage of people receiving ART,Percent,Total estimate,2011,26.9527
Coverage of people receiving ART,Percent,Total estimate,2012,31.6941
Coverage of people receiving ART,Percent,Total estimate,2013,36.7686
Coverage of people receiving ART,Percent,Total estimate,2014,41.6814
Coverage of people receiving ART,Percent,Total estimate,2015,46.3713
Coverage of people receiving ART,Percent,Total lower estimate,2010,20.8501
Coverage of people receiving ART,Percent,Total lower estimate,2011,24.962
Coverage of people receiving ART,Percent,Total lower estimate,2012,29.3342
Coverage of people receiving ART,Percent,Total lower estimate,2013,34.0692
Coverage of people receiving ART,Percent,Total lower estimate,2014,38.6241
Coverage of people receiving ART,Percent,Total lower estimate,2015,42.9414
Coverage of people receiving ART,Percent,Total upper estimate,2010,24.396
Coverage of people receiving ART,Percent,Total upper estimate,2011,29.1676
Coverage of people receiving ART,Percent,Total upper estimate,2012,34.3179
Coverage of people receiving ART,Percent,Total upper estimate,2013,39.7905
Coverage of people receiving ART,Percent,Total upper estimate,2014,45.1325
Coverage of people receiving ART,Percent,Total upper estimate,2015,50.2332
Coverage of people receiving ART,Percent,Males Adults (15+) estimate,2010,21.7305
Coverage of people receiving ART,Percent,Males Adults (15+) estimate,2011,25.1741
Coverage of people receiving ART,Percent,Males Adults (15+) estimate,2012,28.4297
Coverage of people receiving ART,Percent,Males Adults (15+) estimate,2013,32.3052
Coverage of people receiving ART,Percent,Males Adults (15+) estimate,2014,35.9791
Coverage of people receiving ART,Percent,Males Adults (15+) estimate,2015,40.2913
Coverage of people receiving ART,Percent,Males Adults (15+) lower estimate,2010,20.1054
Coverage of people receiving ART,Percent,Males Adults (15+) lower estimate,2011,23.2824
Coverage of people receiving ART,Percent,Males Adults (15+) lower estimate,2012,26.3061
Coverage of people receiving ART,Percent,Males Adults (15+) lower estimate,2013,29.8952
Coverage of people receiving ART,Percent,Males Adults (15+) lower estimate,2014,33.3232
Coverage of people receiving ART,Percent,Males Adults (15+) lower estimate,2015,37.3566
Coverage of people receiving ART,Percent,Males Adults (15+) upper estimate,2010,23.5892
Coverage of people receiving ART,Percent,Males Adults (15+) upper estimate,2011,27.2875
Coverage of people receiving ART,Percent,Males Adults (15+) upper estimate,2012,30.8253
Coverage of people receiving ART,Percent,Males Adults (15+) upper estimate,2013,35.0268
Coverage of people receiving ART,Percent,Males Adults (15+) upper estimate,2014,38.9979
Coverage of people receiving ART,Percent,Males Adults (15+) upper estimate,2015,43.6768
AIDS-related deaths,Number,Adults (15+) estimate,1990,244378.0
New HIV Infections,Number,Females 10-19 estimate,1990,155428.0
New HIV Infections,Number,Females 10-19 estimate,1991,186954.0
New HIV Infections,Number,Females 10-19 estimate,1992,219038.0
New HIV Infections,Number,Females 10-19 estimate,1993,248357.0
New HIV Infections,Number,Females 10-19 estimate,1994,277832.0
New HIV Infections,Number,Females 10-19 estimate,1995,299730.0
New HIV Infections,Number,Females 10-19 estimate,1996,315046.0
New HIV Infections,Number,Females 10-19 estimate,1997,320156.0
New HIV Infections,Number,Females 10-19 estimate,1998,313724.0
New HIV Infections,Number,Females 10-19 estimate,1999,302644.0
New HIV Infections,Number,Females 10-19 estimate,2000,284323.0
New HIV Infections,Number,Females 10-19 estimate,2001,265575.0
New HIV Infections,Number,Females 10-19 estimate,2002,246566.0
New HIV Infections,Number,Females 10-19 estimate,2003,229549.0
New HIV Infections,Number,Females 10-19 estimate,2004,214739.0
New HIV Infections,Number,Females 10-19 estimate,2005,202920.0
New HIV Infections,Number,Females 10-19 estimate,2006,192852.0
New HIV Infections,Number,Females 10-19 estimate,2007,188059.0
New HIV Infections,Number,Females 10-19 estimate,2008,182012.0
New HIV Infections,Number,Females 10-19 estimate,2009,177902.0
New HIV Infections,Number,Females 10-19 estimate,2010,175515.0
New HIV Infections,Number,Females 10-19 estimate,2011,174249.0
New HIV Infections,Number,Females 10-19 estimate,2012,172367.0
New HIV Infections,Number,Females 10-19 estimate,2013,170357.0
New HIV Infections,Number,Females 10-19 estimate,2014,168254.0
New HIV Infections,Number,Females 10-19 estimate,2015,164482.0
New HIV Infections,Number,Females 10-19 lower estimate,1990,109053.0
New HIV Infections,Number,Females 10-19 lower estimate,1991,132135.0
New HIV Infections,Number,Females 10-19 lower estimate,1992,156084.0
New HIV Infections,Number,Females 10-19 lower estimate,1993,176635.0
New HIV Infections,Number,Females 10-19 lower estimate,1994,199222.0
New HIV Infections,Number,Females 10-19 lower estimate,1995,215444.0
New HIV Infections,Number,Females 10-19 lower estimate,1996,226620.0
New HIV Infections,Number,Females 10-19 lower estimate,1997,229493.0
New HIV Infections,Number,Females 10-19 lower estimate,1998,225339.0
New HIV Infections,Number,Females 10-19 lower estimate,1999,217285.0
New HIV Infections,Number,Females 10-19 lower estimate,2000,204541.0
