Anthony Coburn
Terry Nation
David Whitaker
John Lucarotti
Peter R. Newman
Dennis Spooner
Louis Marks
Bill Strutton
Glyn Jones
William Emms
Donald Cotton
Paul Erickson
Lesley Scott
Brian Hayles
Donald Tosh
Ian Stuart Black
Gerry Davis
Kit Pedler
Geoffrey Orme 
David Ellis
Malcolm Hulke
Mervyn Haisman
Henry Lincoln
Victor Pemberton
Norman Ashby
Peter Ling
Derrick Sherwin
Robert Holmes
Terrance Dicks
Don Houghton
Bob Baker
Dave Martin
Guy Leopold
Robert Sloman
Robert Banks Stewart
Stephen Harris
Robin Bland
Chris Boucher
David Agnew
Douglas Adams
David Fisher
Anthony Read
John Flanagan
Andrew McCulloch
Andrew Smith
Stephen Gallagher
Johnny Byrne
Christopher H. Bidmead
Terence Dudley
Christopher Bailey
Eric Saward
Peter Grimwade
Barbara Clegg
Eric Pringle
Anthony Steven
Philip Martin
Pip and Jane Baker
Paula Moore
Glen McCoy
Stephen Wyatt
Malcolm Kohll
Ian Briggs
Ben Aaronovitch
Graeme Curry
Kevin Clarke
Marc Platt
Rona Munro
Matthew Jacobs
Russell T Davies
Mark Gatiss
Robert Shearman
Paul Cornell
Steven Moffat
Toby Whithouse
Tom MacRae
Matt Jones
Matthew Graham
Gareth Roberts
Helen Raynor
Stephen Greenhorn
Chris Chibnall
James Moran
Keith Temple
Phil Ford
Simon Nye
Richard Curtis
Stephen Thompson
Neil Gaiman
Neil Cross
Peter Harness
Jamie Mathieson
Frank Cottrell-Boyce
Catherine Tregenna
Sarah Dollard
Mike Bartlett
Malorie Blackman
Vinay Patel
Pete McTighe
Joy Wilkinson
Ed Hime
Nina Metivier
Charlene James
Maxine Alderton
