ID,Entity,Description,Year,Records Leaked,Target Organization Type,Method of Leak,Data Sensitivity,Sources Link,Sources name,combined_text,clean_text,text_length,Cluster,Cluster_Distance,SVD_1,SVD_2,Cluster_Label
South Africa police in 2013,South Africa police,"Hacker collective 'Anonymous' hacked an anonymous whistleblowing website run by the South Africa Police Service (SAPS), revealing the identities of thousands of its users. The hack was in response to the massacre of 34 protesting miners at Marikana in August 2012.",2013,"16,000",Government,Hacked,2 SSN and/or personal details,http://www.wired.co.uk/news/archive/2013-05/22/south-africa-whistleblower-leak,Wired,"South Africa police in 2013 South Africa police Hacker collective 'Anonymous' hacked an anonymous whistleblowing website run by the South Africa Police Service (SAPS), revealing the identities of thousands of its users. The hack was in response to the massacre of 34 protesting miners at Marikana in August 2012. 16,000 Government Hacked 2 SSN and/or personal details http://www.wired.co.uk/news/archive/2013-05/22/south-africa-whistleblower-leak Wired",south africa police south africa police hacker collective anonymous hacked anonymous whistleblowing website run south africa police service sap revealing identity thousand user hack response massacre protesting miner marikana august government hacked ssn andor personal detail wired,37,3,0.9563114711147028,0.18160680060803977,0.02459938810036775,Breach Cluster 3
Morgan Stanley Smith Barney in 2011,Morgan Stanley Smith Barney,Morgan Stanley mailed a CD containing sensitive data about investors in tax-exempt funds and bonds to the New York State Department of Taxation and Finance. The package arrived at the building but when it arrived at the relevant desk the data CD was missing.,2011,"34,000",Financial,Lost / Stolen Computer or Media,3. Credit card information,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,ITRC,"Morgan Stanley Smith Barney in 2011 Morgan Stanley Smith Barney Morgan Stanley mailed a CD containing sensitive data about investors in tax-exempt funds and bonds to the New York State Department of Taxation and Finance. The package arrived at the building but when it arrived at the relevant desk the data CD was missing. 34,000 Financial Lost / Stolen Computer or Media 3. Credit card information http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml ITRC",morgan stanley smith barney morgan stanley smith barney morgan stanley mailed cd containing sensitive data investor taxexempt fund bond new york state department taxation finance package arrived building arrived relevant desk data cd missing financial lost stolen computer medium credit card information itrc,43,0,0.9489373500053493,0.2366449765717365,-0.15668485281659686,Breach Cluster 0
Yale University in 2010,Yale University,,2010,"43,000",Academic,Accidentally Published,2 SSN and/or personal details,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,ITRC,"Yale University in 2010 Yale University  43,000 Academic Accidentally Published 2 SSN and/or personal details http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml ITRC",yale university yale university academic accidentally published ssn andor personal detail itrc,12,3,0.904222549846837,0.2161668268804153,-0.10592089899176811,Breach Cluster 3
US Military in 2011 - Army,US Military,,2011,"50,000",Military,Accidentally Published,1. Just email address and/or online information,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,ITRC,"US Military in 2011 - Army US Military  50,000 Military Accidentally Published 1. Just email address and/or online information http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml ITRC",u military army u military military accidentally published email address andor online information itrc,14,1,0.9280988271841799,0.3003952931789021,0.18467097420889364,Breach Cluster 1
Service Personnel and Veterans Agency - United Kingdom in 2008,Service Personnel and Veterans Agency - United Kingdom,Stolen USBs containing personal information about private lives of staff.,2008,"50,500",Government,Lost / Stolen Computer or Media,2 SSN and/or personal details,http://news.bbc.co.uk/1/hi/england/gloucestershire/7639006.stm,,"Service Personnel and Veterans Agency - United Kingdom in 2008 Service Personnel and Veterans Agency - United Kingdom Stolen USBs containing personal information about private lives of staff. 50,500 Government Lost / Stolen Computer or Media 2 SSN and/or personal details http://news.bbc.co.uk/1/hi/england/gloucestershire/7639006.stm ",service personnel veteran agency united kingdom service personnel veteran agency united kingdom stolen usbs containing personal information private life staff government lost stolen computer medium ssn andor personal detail,29,2,0.9227714024774631,0.27366131221083595,-0.2363083381007267,Breach Cluster 2
New York Taxis in 2014,New York Taxis,"A freedom of information request resulted in the release of data on all 173 million journeys undertaken by New York taxis in one year. Unfortunately, the data was incorrectly anonymised and relatively easy to decode, revealing the driver IDs, pickup & dropoff times, and GPS routes taken for every single cab journey.",2014,"52,000",Transport,Poor Security,1. Just email address and/or online information,https://medium.com/@vijayp/f6bc289679a1,,"New York Taxis in 2014 New York Taxis A freedom of information request resulted in the release of data on all 173 million journeys undertaken by New York taxis in one year. Unfortunately, the data was incorrectly anonymised and relatively easy to decode, revealing the driver IDs, pickup & dropoff times, and GPS routes taken for every single cab journey. 52,000 Transport Poor Security 1. Just email address and/or online information https://medium.com/@vijayp/f6bc289679a1 ",new york taxi new york taxi freedom information request resulted release data million journey undertaken new york taxi one year unfortunately data incorrectly anonymised relatively easy decode revealing driver id pickup dropoff time gps route taken every single cab journey transport poor security email address andor online information,48,1,0.9709401198154499,0.25769171558782383,0.11912837585310194,Breach Cluster 1
Writerspace.com in 2011,Writerspace.com,"Hacker group LulzSec released the e-mails and passwords, 12,000 of which were confirmed to originate from Writerspace.com. ",2011,"62,000",Web,Hacked,1. Just email address and/or online information,"http://www.pcmag.com/article2/0,2817,2387186,00.asp",PC Mag,"Writerspace.com in 2011 Writerspace.com Hacker group LulzSec released the e-mails and passwords, 12,000 of which were confirmed to originate from Writerspace.com.  62,000 Web Hacked 1. Just email address and/or online information http://www.pcmag.com/article2/0,2817,2387186,00.asp PC Mag",writerspacecom writerspacecom hacker group lulzsec released email password confirmed originate writerspacecom web hacked email address andor online information pc mag,20,1,0.8669936872866378,0.3400768800182451,0.3653162735282478,Breach Cluster 1
Stanford University in 2008,Stanford University,"Tens of thousands of past and current Stanford University employees had personal information - including their dates of birth, Social Security numbers and home addresses - stored on the hard drive of a stolen university laptop.",2008,"72,000",Academic,Lost / Stolen Computer or Media,2 SSN and/or personal details,"http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml, http://www.sfgate.com/bayarea/article/Stanford-employees-data-on-stolen-laptop-3281185.php",ITRC,"Stanford University in 2008 Stanford University Tens of thousands of past and current Stanford University employees had personal information - including their dates of birth, Social Security numbers and home addresses - stored on the hard drive of a stolen university laptop. 72,000 Academic Lost / Stolen Computer or Media 2 SSN and/or personal details http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml, http://www.sfgate.com/bayarea/article/Stanford-employees-data-on-stolen-laptop-3281185.php ITRC",stanford university stanford university ten thousand past current stanford university employee personal information including date birth social security number home address stored hard drive stolen university laptop academic lost stolen computer medium ssn andor personal detail itrc,37,2,0.9032200344876182,0.36774968873677494,-0.2973927756813888,Breach Cluster 2
US Military in 2009 - Department of Defense,US Military,"""According to a report to Congress, assessment forms of 72,000 service members who returned from deployment to Iraq or Afghanistan between Jan 1, 2007 to May 31, 2008 were breached. The forms ask for the service member's SSN,. Name, date of birth.""",2009,"72,000",Military,Lost / Stolen Computer or Media,2 SSN and/or personal details,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,ITRC,"US Military in 2009 - Department of Defense US Military ""According to a report to Congress, assessment forms of 72,000 service members who returned from deployment to Iraq or Afghanistan between Jan 1, 2007 to May 31, 2008 were breached. The forms ask for the service member's SSN,. Name, date of birth."" 72,000 Military Lost / Stolen Computer or Media 2 SSN and/or personal details http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml ITRC",u military department defense u military according report congress assessment form service member returned deployment iraq afghanistan jan may breached form ask service member ssn name date birth military lost stolen computer medium ssn andor personal detail itrc,38,2,0.9154213677888097,0.3027601872444297,-0.28009246405724847,Breach Cluster 2
University of Wisconsin Milwaukee in 2011,University of Wisconsin Milwaukee,,2011,"73,000",Academic,Hacked,2 SSN and/or personal details,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,"University of Wisconsin Milwaukee in 2011 University of Wisconsin Milwaukee  73,000 Academic Hacked 2 SSN and/or personal details http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml ",university wisconsin milwaukee university wisconsin milwaukee academic hacked ssn andor personal detail,12,3,0.8749420245524028,0.23761348987504183,-0.074799010891671,Breach Cluster 3
