Date,Fremont Bridge Total,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk,Cluster,NLP_Cluster
11/01/2019 12:00:00 AM,12.0,7.0,5.0,1.0,2
11/01/2019 01:00:00 AM,7.0,0.0,7.0,1.0,2
11/01/2019 02:00:00 AM,1.0,0.0,1.0,1.0,2
11/01/2019 03:00:00 AM,6.0,6.0,0.0,1.0,1
11/01/2019 04:00:00 AM,6.0,5.0,1.0,1.0,2
11/01/2019 05:00:00 AM,20.0,9.0,11.0,1.0,2
11/01/2019 06:00:00 AM,97.0,43.0,54.0,1.0,1
11/01/2019 07:00:00 AM,299.0,120.0,179.0,2.0,0
11/01/2019 08:00:00 AM,583.0,261.0,322.0,0.0,2
11/01/2019 09:00:00 AM,332.0,130.0,202.0,2.0,2
11/01/2019 10:00:00 AM,124.0,56.0,68.0,2.0,2
11/01/2019 11:00:00 AM,94.0,46.0,48.0,1.0,2
11/01/2019 12:00:00 PM,104.0,40.0,64.0,1.0,2
11/01/2019 01:00:00 PM,110.0,46.0,64.0,1.0,2
11/01/2019 02:00:00 PM,131.0,46.0,85.0,2.0,2
11/01/2019 03:00:00 PM,214.0,55.0,159.0,2.0,1
11/01/2019 04:00:00 PM,420.0,92.0,328.0,0.0,2
11/01/2019 05:00:00 PM,637.0,137.0,500.0,0.0,2
11/01/2019 06:00:00 PM,320.0,84.0,236.0,2.0,1
11/01/2019 07:00:00 PM,115.0,38.0,77.0,1.0,0
11/01/2019 08:00:00 PM,43.0,21.0,22.0,1.0,2
11/01/2019 09:00:00 PM,35.0,9.0,26.0,1.0,2
11/01/2019 10:00:00 PM,31.0,19.0,12.0,1.0,2
11/01/2019 11:00:00 PM,21.0,6.0,15.0,1.0,2
11/02/2019 12:00:00 AM,21.0,11.0,10.0,1.0,2
11/02/2019 01:00:00 AM,7.0,1.0,6.0,1.0,2
11/02/2019 02:00:00 AM,1.0,0.0,1.0,1.0,2
11/02/2019 03:00:00 AM,8.0,5.0,3.0,1.0,1
