Unnamed: 0,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI,Cluster
0,Home Appliances,group,Cambodia,KH,shared,field_partner,5.0,125.0,English,monthly,Personal Use,funded,8,0.097,1
1,Cereals,female,Philippines,PH,shared,field_partner,5.0,125.0,English,irregular,Food,funded,14,0.055,1
2,Clothing Sales,female,Peru,PE,shared,field_partner,10.0,375.0,Spanish,monthly,Clothing,funded,8,0.0,1
3,Clothing Sales,female,Tajikistan,TJ,not shared,field_partner,27.0,850.0,English,monthly,Clothing,funded,14,0.021,1
4,Fish Selling,female,Uganda,UG,not shared,field_partner,17.0,550.0,English,irregular,Food,funded,9,0.417,1
5,Personal Products Sales,female,Jordan,JO,shared,field_partner,22.0,575.0,English,monthly,Retail,funded,15,0.005,1
6,Transportation,male,Tajikistan,TJ,not shared,field_partner,38.0,1125.0,English,irregular,Transportation,funded,6,0.033,1
7,Home Appliances,group,Cambodia,KH,shared,field_partner,4.0,100.0,English,monthly,Personal Use,funded,8,0.12,1
8,Bakery,male,Nicaragua,NI,shared,field_partner,17.0,1400.0,Spanish,monthly,Food,not_funded,20,0.161,1
9,Farming,male,Nigeria,NG,shared,field_partner,19.0,600.0,English,bullet,Agriculture,funded,19,0.311,1
10,Primary/secondary school costs,female,Colombia,CO,not shared,field_partner,12.0,325.0,Spanish,irregular,Education,funded,7,0.009,1
11,Construction Supplies,female,Nicaragua,NI,shared,field_partner,14.0,400.0,Spanish,monthly,Construction,funded,15,0.112,1
12,Retail,female,Colombia,CO,not shared,field_partner,40.0,1025.0,Spanish,monthly,Retail,funded,17,0.009,1
13,Personal Products Sales,female,Philippines,PH,not shared,field_partner,17.0,450.0,English,irregular,Retail,funded,8,0.422,1
14,Cosmetics Sales,female,Ecuador,EC,not shared,field_partner,26.0,1650.0,Spanish,irregular,Retail,funded,8,0.054,1
15,Higher education costs,female,Colombia,CO,shared,field_partner,9.0,225.0,Spanish,monthly,Education,funded,4,0.583,1
16,General Store,male,Honduras,HN,shared,field_partner,29.0,775.0,Spanish,monthly,Retail,funded,1 Year,0.112,1
17,Retail,female,Benin,BJ,shared,field_partner,13.0,1025.0,French,monthly,Retail,not_funded,14,0.083,1
18,Farming,group,Cambodia,KH,shared,field_partner,36.0,1000.0,English,monthly,Agriculture,funded,14,0.274,1
19,Used Clothing,female,Nicaragua,NI,not shared,field_partner,12.0,325.0,Spanish,monthly,Clothing,funded,13,0.161,1
20,Personal Housing Expenses,group,Uganda,UG,not shared,field_partner,89.0,2400.0,English,monthly,Housing,funded,14,0.013,0
21,Farming,group,Cambodia,KH,shared,field_partner,25.0,700.0,English,monthly,Agriculture,funded,14,0.274,1
22,Manufacturing,female,Philippines,PH,shared,field_partner,8.0,225.0,English,irregular,Manufacturing,funded,7,0.039,1
23,Farming,male,Ecuador,EC,not shared,field_partner,21.0,600.0,Spanish,bullet,Agriculture,funded,11,0.014,1
24,Cheese Making,female,Jordan,JO,shared,field_partner,44.0,1175.0,English,monthly,Food,funded,21,0.005,1
25,Cattle,,Tajikistan,TJ,not shared,field_partner,53.0,1850.0,English,irregular,Agriculture,funded,14,0.021,1
26,Higher education costs,female,Cambodia,KH,shared,field_partner,52.0,1450.0,English,monthly,Education,funded,50,0.274,1
27,Personal Housing Expenses,female,Indonesia,ID,shared,field_partner,2.0,525.0,English,irregular,Housing,not_funded,59,0.029,1
28,Farming,female,Philippines,PH,shared,field_partner,8.0,200.0,English,irregular,Agriculture,funded,7,0.055,1
29,Food,female,Kenya,KE,shared,field_partner,1.0,100.0,English,monthly,Food,funded,8,0.075,1
30,Charcoal Sales,female,Philippines,PH,shared,field_partner,11.0,625.0,English,irregular,Retail,funded,8,0.091,1
31,Used Shoes,group,Guatemala,GT,shared,field_partner,13.0,325.0,Spanish,monthly,Clothing,funded,8,0.082,1
32,Retail,male,Kenya,KE,shared,field_partner,11.0,775.0,English,monthly,Retail,not_funded,14,0.02,1
33,Food Market,female,Sierra Leone,SL,shared,field_partner,24.0,700.0,English,monthly,Food,funded,1 Year,0.537,1
34,General Store,female,El Salvador,SV,shared,field_partner,5.0,1000.0,Spanish,monthly,Retail,not_funded,26,0.077,1
35,Agriculture,male,Ecuador,EC,not shared,field_partner,16.0,600.0,Spanish,monthly,Agriculture,funded,14,0.014,1
36,Home Appliances,group,Cambodia,KH,shared,field_partner,8.0,225.0,English,monthly,Personal Use,funded,8,0.204,1
37,Personal Products Sales,female,El Salvador,SV,shared,field_partner,6.0,300.0,Spanish,monthly,Retail,not_funded,14,0.03,1
38,General Store,female,Philippines,PH,shared,field_partner,18.0,475.0,English,irregular,Retail,funded,8,0.091,1
39,Taxi,male,Peru,PE,shared,field_partner,21.0,600.0,Spanish,monthly,Transportation,funded,8,0.062,1
40,General Store,male,Ecuador,EC,not shared,field_partner,36.0,1000.0,Spanish,monthly,Retail,funded,14,0.014,1
41,Personal Housing Expenses,female,Indonesia,ID,shared,field_partner,30.0,750.0,English,irregular,Housing,funded,60,0.075,1
42,General Store,female,Philippines,PH,,field_partner,19.0,500.0,English,irregular,Retail,funded,8,0.091,1
43,Personal Housing Expenses,group,The Democratic Republic of the Congo,CD,shared,field_partner,107.0,6900.0,French,monthly,Housing,not_funded,11,0.034,0
44,Electronics Sales,female,Colombia,CO,not shared,field_partner,11.0,1150.0,Spanish,monthly,Retail,not_funded,15,0.009,1
45,Bakery,female,Peru,PE,shared,field_partner,25.0,925.0,Spanish,monthly,Food,funded,8,0.062,1
46,Primary/secondary school costs,female,Uganda,UG,shared,field_partner,5.0,175.0,English,irregular,Education,funded,6,0.013,1
47,General Store,female,Philippines,PH,shared,field_partner,17.0,525.0,English,irregular,Retail,funded,13,0.055,1
48,Construction Supplies,male,Bolivia,BO,not shared,field_partner,33.0,1000.0,Spanish,monthly,Construction,funded,14,0.077,1
49,Fishing,female,El Salvador,SV,shared,field_partner,6.0,200.0,Spanish,monthly,Food,funded,8,0.054,1
50,Retail,female,Philippines,PH,shared,field_partner,5.0,900.0,English,irregular,Retail,funded,8,0.029,1
51,Tailoring,male,Kenya,KE,shared,field_partner,29.0,800.0,English,monthly,Services,not_funded,13,0.223,1
52,Crafts,female,Jordan,JO,shared,field_partner,45.0,1150.0,English,monthly,Arts,funded,19,0.005,1
53,Primary/secondary school costs,group,Sierra Leone,SL,not shared,field_partner,136.0,4525.0,English,monthly,Education,funded,8,0.423,0
54,Fishing,male,Cambodia,KH,shared,field_partner,16.0,500.0,English,monthly,Food,funded,20,0.121,1
55,Food,group,The Democratic Republic of the Congo,CD,shared,field_partner,16.0,4750.0,French,irregular,Food,funded,6,0.034,0
56,Farming,female,Philippines,PH,shared,field_partner,2.0,125.0,English,irregular,Agriculture,funded,8,0.055,1
