Name," ""Year"""," ""Date Watched"""
Superman,2025, 2025-08-16
The Rookie,2002, 2025-01-10
Elemental,2023, 2024-08-19
Dune: Part Two,2024, 2024-03-17
Barbie,2023, 2024-03-14
Being John Malkovich,1999, 2024-03-12
Knives Out,2019, 2024-03-12
The Breakfast Club,1985, 2024-03-12
Free Guy,2021, 2024-03-11
The Iron Claw,2023, 2024-03-10
Everything Everywhere All At Once,2022, 2024-03-09
Dune,2021, 2024-03-08
Mission: Impossible – Dead Reckoning Part 1,2023, 2024-03-08
Cars 2,2011, 2024-02-01
The Marvels,2023, 2023-10-11
Spider-Man: Across the Spider-Verse,2023, 2023-09-09
Guardians of the Galaxy Vol. 3,2023, 2023-09-08
Thor: Love and Thunder,2022, 2022-07-16
Doctor Strange in the Multiverse of Madness,2022, 2022-06-22
Turning Red,2022, 2022-04-01
Encanto,2022, 2022-01-16
Black Widow,2021, 2021-12-31
Luca,2021, 2021-12-31
Spider-Man: No Way Home,2021, 2021-12-21
Ed Sheeran: Jumpers for Goalposts,2015, 2021-08-07
Friends: The Reunion,2021, 2021-05-30
Zack Snyder's Justice League,2021, 2021-03-20
Gimmie Shelter,1970, 2021-01-17
Palm Springs,2020, 2021-01-08
Wonder Woman 1984,2020, 2020-12-26
Soul,2020, 2020-12-25
Folklore: The Long Pond Studio Sessions,2020, 2020-11-29
"It's the Great Pumpkin, Charlie Brown",1966, 2020-10-09
Hamilton,2020, 2020-07-03
Eurovision Song Contest: The Story of Fire Saga,2020, 2020-06-27
Hidden Figures,2020, 2020-05-31
Onward,2020, 2020-03-10
Baby Driver,2017, 2020-01-26
Lawrence of Arabia,1962, 2020-01-12
Ford v Ferrari,2019, 2020-01-02
Casablanca,1942, 2019-12-25
Fast & Furious Presents: Hobbs & Shaw,2019, 2019-12-25
Toy Story 4,2019, 2019-12-25
Fighting with My Family,2019, 2019-12-25
Star Wars: The Rise of Skywalker,2019, 2019-12-23
"Cable Guy, The",1996, 2019-10-13
Interstellar,2014, 2019-09-22
Pokémon Detective Pikachu,2019, 2019-09-21
Spider-Man: Far From Home,2019, 2019-09-21
Rocketman,2019, 2019-09-15
"Prestige, The",2006, 2019-09-15
Free Solo,2018, 2019-08-31
Fantastic Beasts: The Crimes of Grindelwald,2018, 2019-08-31
Once Upon a Time in Hollywood,2019, 2019-07-26
Tinker Tailor Soldier Spy,2011, 2019-05-15
Rookie of the Year,1993, 2019-05-15
Vice,2015, 2019-05-11
Avengers: Endgame,2019, 2019-04-28
Shazam!,2019, 2019-04-10
Captain Marvel,2019, 2019-03-31
Won't You Be My Neighbor?,2018, 2019-02-16
The Lego Move 2: The Second Part,2019, 2019-02-10
Skin,2019, 2019-02-09
Detainment,2019, 2019-02-09
Marguerite,2019, 2019-02-09
Fauve,2019, 2019-02-09
Madre,2019, 2019-02-09
High Flying Bird,2019, 2019-02-09
Popstar: Never Stop Never Stopping,2016, 2019-01-29
Solo: A Star Wars Story,2018, 2019-01-28
Bohemian Rhapsody,2018, 2019-01-27
Brave,2012, 2019-01-19
Mulholland Drive,2001, 2019-01-17
Aquaman,2018, 2019-01-14
Ralph Breaks the Internet,2018, 2019-01-03
Spider-Man: Into the Spider-Verse,2018, 2018-12-27
"Sandlot, The",1993, 2018-12-06
"Death of Stalin, The",2017, 2018-12-06
"Magnificent Seven, The",1960, 2018-11-13
Mission Impossible - Fallout,2018, 2018-11-10
Incredibles 2,2018, 2018-10-27
"Lego Batman Movie, The",2017, 2018-10-13
Ant-Man and The Wasp,2018, 2018-10-06
Isle of Dogs,2018, 2018-09-30
First Man,2018, 2018-09-15
American Dharma,2018, 2018-09-09
Deadpool 2,2018, 2018-09-03
Paddington 2,2018, 2018-08-12
Coco,2017, 2018-08-12
Paddington,2018, 2018-08-04
"Greatest Showman, The",2018, 2018-08-04
Ready Player One,2018, 2018-07-08
Big Hero 6,2014, 2014-05-12
Avengers: Infinite War,2018, 2018-05-09
Justice League,2017, 2018-05-04
Pitch Perfect 3,2017, 2018-05-04
Man of Steel,2013, 2018-05-01
Black Panther,2018, 2018-03-13
Star Wars: The Last Jedi,2017, 2018-01-30
Man on the Moon,1999, 2018-01-06
Pom Poko,1994, 2017-12-30
"Man from U.N.C.L.E., The",2015, 2017-12-30
Kimi no na wa.,2016, 2017-12-29
"Hail, Caesar!",2016, 2017-12-29
City of Ember,2008, 2017-12-29
Icarus,2017, 2017-12-28
Kingsman: The Golden Circle,2017, 2017-12-27
Thor: Ragnarok,2017, 2017-11-25
Cars 3,2017, 2017-11-19
Wonder Woman,2017, 2017-10-01
Spiderman: Homecoming,2017, 2017-09-30
The Fate of the Furious,2017, 2017-09-25
Marc Maron: Too Real,2017, 2017-09-25
Dirty Dancing,1987, 2017-08-17
Ant-Man,2015, 2017-06-04
Fantastic Beasts and Where to Find Them,2016, 2017-05-28
Moana,2016, 2017-05-20
Guardians of the Galaxy Vol. 2,2017, 2017-05-04
Doctor Strange,2016, 2017-03-09
La La Land,2016, 2017-01-16
Finding Dory,2016, 2016-12-20
Fantasia 2000,1999, 2016-11-11
Lion,2016, 2016-09-23
Pitch Perfect 2,2015, 2016-09-11
Pitch Perfect,2012, 2016-09-10
Kubo and the Two Strings,2016, 2016-09-03
Star Trek Beyond,2016, 2016-07-23
Zootopia,2016, 2016-06-24
Kingsman: The Secret Service,2014, 2016-06-16
Captain America: Civil War,2016, 2016-05-22
"Reverant, The",2016, 2016-04-25
Creed,2015, 2016-04-25
"Big Short, The",2015, 2016-04-01
Only Yesterday,1991, 2016-03-13
Spy,2015, 2016-02-19
Clear and Present Danger,1994, 2016-02-17
Stuttterer,2015, 2016-02-15
Shok,2015, 2016-02-15
Everything Will Be Okay,2015, 2016-02-15
Day One,2014, 2016-02-15
Ave Maria,2015, 2016-02-15
All the President's Men,1976, 2016-02-14
Deadpool,2016, 2016-02-13
"O Brother, Where Art Thou?",2000, 2016-02-11
Groundhog Day,1993, 2016-02-02
Les Misérables,2012, 2016-01-13
"Wind Rises, The",2013, 2016-01-12
"Intimidation Game, The",2014, 2016-01-11
Bridge of Spies,2015, 2016-01-10
"Intouchables, The",2011, 2016-01-10
Spectre,2015, 2015-12-28
Star Wars: The Force Awakens,2015, 2015-12-22
A Very Murray Christmas,2015, 2015-12-19
Inside Out,2015, 2015-12-01
Mission: Impossible - Rogue Nation,2015, 2015-11-01
Birdman or (The Unexpected Virtue of Ignorance),2014, 2015-10-22
After Hours,1985, 2015-07-31
Kiki's Delivery Service,1989, 2015-07-29
The Naked Gun: From the Files of Police Squad!,1988, 2015-07-28
Castle in the Sky,1986, 2015-07-24
Akira,1988, 2015-07-20
RoboCop,1987, 2015-07-20
Weird Science,1985, 2015-07-18
Big,1988, 2015-07-17
Pink Floyd The Wall,1982, 2015-07-17
Risky Business,1983, 2015-07-15
"Running Man, The",1987, 2015-07-13
WarGames,1983, 2015-07-12
Fast Times at Ridgemont High,1982, 2015-07-12
Lethal Weapon 2,1989, 2015-07-11
Die Hard,1988, 2015-07-03
"Living Daylights, The",1987, 2015-06-30
TRON: Legacy,2010, 2015-06-29
Octopussy,1983, 2015-06-29
For Your Eyes Only,1981, 2015-06-29
Footloose,1984, 2015-06-22
Big Trouble in Little China,1989, 2015-06-19
"Good Morning, Vietnam",1987, 2015-06-18
Whiplash,2014, 2015-06-16
Major League,1989, 2015-05-31
Mad Max: Fury Road,2015, 2015-05-19
X-Men: Days of Future Past,2014, 2015-05-09
Avengers: Age of Ultron,2015, 2015-04-13
Captain America: The Winter Soldier,2014, 2015-04-04
Total Recall,1990, 2015-03-15
Terminator 2: Judgement Day,1991, 2015-03-10
Terminator,1984, 2015-03-08
Jodorowsky's Dune,2013, 2015-02-09
National Lampoon's Christmas Vacation,1989, 2014-12-19
The Hobbit: The Battle of Five Armies,2014, 2014-12-14
Fargo,1996, 2014-05-24
Mitt,2014, 2014-05-19
John Hodgman: RAGNAROK,2013, 2014-05-18
Guardians of the Galaxy,2014, 2014-08-03
Hairspray,2007, 2013-07-08
Senna,2010, 2013-07-05
Whip It,2009, 2013-05-25
Starship Troopers,1997, 2013-02-03
The Greatest Movie Ever Sold,2011, 2012-08-12
The Dark Knight Rises,2012, 2012-08-06
The Fog of War,2003, 2012-06-02
Mission: Impossible - Ghost Protocol,2011, 2012-12-24
Down to You,2000, 2012-05-20
Bobby Fisher: Against the World,2011, 2012-05-06
Marvel's The Avengers,2012, 2012-05-04
Freakonomics,2010, 2012-04-21
Thor,2011, 2012-03-10
Death at a Funeral,2007, 2012-01-01
Where the Heart Is,2000, 2012-01-01
Slap Shot,1977, 2011-12-27
Love Actually,2003, 2011-12-18
Inside Job,2010, 2011-12-18
Harry Potter and the Deathly Hallows: Part 2,2011, 2011-07-15
Revenge of the Nerds,1984, 2011-06-25
Adaptation.,2002, 2011-05-23
Snow Falling on Cedars,1999, 2010-11-06
22 Jump Street,2014,
"Grand Budapest Hotel, The",2014,
"Lego Movie, The",2014,
American Hustle,2013,
Ender's Game,2013,
Frozen,2013,
Fusion 6,2013,
"Hobbit: The Desolation of Smaug, The",2013,
Iron Man 3,2013,
Rush,2013,
Star Trek Into Darkness,2013,
This Is the End,2013,
Thor 2: The Dark World,2013,
"World's End, The",2013,
21 Jump Street,2012,
"Dark Knight Rises, The",2012,
"Hobbit: An Unexpected Journey, The",2012,
Skyfall,2012,
Lincoln,2012,
Silver Linings Playbook,2012,
Taken 2,2012,
Wreck-It Ralph,2012,
50/50,2011,
"Adjustment Bureau, The",2011,
Captain America: The First Avenger,2011,
Fast Five,2011,
Hanna,2011,
Moneyball,2011,
Source Code,2011,
Transformers: Dark of the Moon,2011,
X-Men: First Class,2011,
Being Elmo: A Puppeteer's Journey,2011,
Urbanized,2011,
Alice in Wonderland,2010,
"American, The",2010,
Black Swan,2010,
Despicable Me,2010,
Easy A,2010,
"Fighter, The",2010,
Harry Potter and the Deathly Hallows: Part 1,2010,
How to Train Your Dragon,2010,
Inception,2010,
Iron Man 2,2010,
"King's Speech, The",2010,
"Other Guys, The",2010,
Remember Me,2010,
Scott Pilgrim vs. the World,2010,
"Social Network, The",2010,
"Town, The",2010,
Toy Story 3,2010,
True Grit,2010,
Winter's Bone,2010,
Exit Through the Gift Shop,2010,
500 Days of Summer,2009,
Adventureland,2009,
Avatar,2009,
Bruno,2009,
Cloudy with a Chance of Meatballs,2009,
District 9,2009,
Fast & Furious,2009,
Harry Potter and the Half-Blood Prince,2009,
"I Love You, Man",2009,
Julie & Julia,2009,
Star Trek,2009,
The Blind Slide,2009,
The Hangover,2009,
The Informant!,2009,
Transformers: Revenge of the Fallen,2009,
Up,2009,
Up in the Air,2009,
Watchmen,2009,
X-Men Origins: Wolverine,2009,
Capitalism: A Love Story,2009,
Objectify,2009,
21,2008,
Cloverfield,2008,
"Curious Case of Benjamin Button, The",2008,
Forgetting Sarah Marshall,2008,
Frost/Nixon,2008,
Gran Torino,2008,
Harold & Kumar Escape from Guantanamo Bay,2008,
Iron Man,2008,
Quantum of Solace,2008,
Pineapple Express,2008,
Ponyo,2008,
Semi-Pro,2008,
Slumdog Millionaire,2008,
Taken,2008,
The Dark Knight,2008,
Tropic Thunder,2008,
WALL-E,2008,
Wanted,2008,
Yes Man,2008,
Zack and Miri Make a Porno,2008,
Last Stop 174,2008,
Anvil: The Story of Anvil,2008,
Blades of Glory,2007,
Enchanted,2007,
Epic Movie,2007,
Fred Claus,2007,
Harry Potter and the Order of the Phoenix,2007,
Hot Fuzz,2007,
Juno,2007,
Knocked Up,2007,
Ocean's Thirteen,2007,
Once,2007,
P.S. I Love You,2007,
Ratatouille,2007,
Shoe 'Em Up,2007,
Shrek The Third,2007,
Spider-Man 3,2007,
Stardust,2007,
Superbad,2007,
The Bourne Ultimatum,2007,
The Simpsons Movie,2007,
Transformers,2007,
Walk Hard: The Dewey Cox Story,2007,
Young People Fucking,2007,
Helvetica,2007,
A Scanner Darkly,2006,
Cars,2006,
Casino Royale,2006,
Children of Men,2006,
"Devil Wears Prada, The",2006,
Eragon,2006,
Happy Feet,2006,
Inside Man,2006,
Little Miss Sunshine,2006,
Lucky Number Slevin,2006,
Mission: Impossible III,2006,
Night at the Museum,2006,
Pan's Labyrinth,2006,
Pirates of the Caribbean: Dead Man's Chest,2006,
"Pursuit of Happyness, The",2006,
"Science of Sleep, The",2006,
Talladega Nights: The Ballad of Ricky Bobby,2006,
The Departed,2006,
The Queen,2006,
X-Men 3: The Last Stand,2006,
This Film is Not Yet Rated,2006,
Planet Earth,2006,
An Inconvient Truth,2006,
"40 Year Old Virgin, The",2005,
Batman Begins,2005,
Brokeback Mountain,2005,
Chicken Little,2005,
Final Fantasy VII: Advent Children,2005,
"Good Night, and Good Luck.",2005,
Harry Potter and the Goblet of Fire,2005,
"Hitchhiker's Guide to the Galaxy, The",2005,
"Longest Yard, The",2005,
Lord of War,2005,
Madagascar,2005,
Munich,2005,
Robots,2005,
Serenity,2005,
Sin City,2005,
Star Wars: Episode III - Revenge of the Sith,2005,
Syriana,2005,
Thank You for Smoking,2005,
Walk the Line,2005,
War of the Worlds,2005,
Wedding Crashers,2005,
March of the Penguins,2005,
