Name EN,Name CN,text,Cluster
Hatsukoi Monogatari (Japan) (Rev 1),初恋物语,Hatsukoi Monogatari (Japan) (Rev 1) 初恋物语,4
Death Bringer - The Knight of Darkness (Japan),死亡使者 - 黑暗骑士,Death Bringer - The Knight of Darkness (Japan) 死亡使者 - 黑暗骑士,2
Cosmic Fantasy 2 - Bouken Shounen Ban (Japan),宇宙幻想 3 - 冒险少年斑,Cosmic Fantasy 2 - Bouken Shounen Ban (Japan) 宇宙幻想 3 - 冒险少年斑,2
Lady Phantom (Japan) (FABT),幻影女郎,Lady Phantom (Japan) (FABT) 幻影女郎,2
Babel (Japan),通天塔,Babel (Japan) 通天塔,2
Cosmic Fantasy 3 - Bouken Shounen Rei (Japan),宇宙幻想 3 - 冒险少年雷,Cosmic Fantasy 3 - Bouken Shounen Rei (Japan) 宇宙幻想 3 - 冒险少年雷,2
Xak (Japan),XAK,Xak (Japan) XAK,2
Cosmic Fantasy - Bouken Shounen Yuu (Japan) (Alt 2),宇宙幻想 - 冒险少年尤,Cosmic Fantasy - Bouken Shounen Yuu (Japan) (Alt 2) 宇宙幻想 - 冒险少年尤,2
Gyuwambler Jiko Chuushinha - Mahjong Puzzle Collection (Japan),自我中心派麻将 - 麻将谜题合集,Gyuwambler Jiko Chuushinha - Mahjong Puzzle Collection (Japan) 自我中心派麻将 - 麻将谜题合集,2
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT),阿尔拉姆的獠牙 - 獣族十二神徒伝说,Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT) 阿尔拉姆的獠牙 - 獣族十二神徒伝说,3
Princess Minerva (Japan),智王传说,Princess Minerva (Japan) 智王传说,2
Sotsugyou II - Neo Generation (Japan),卒业 2,Sotsugyou II - Neo Generation (Japan) 卒业 2,2
"Where in the World Is Carmen Sandiego (Japan) (En,Ja)",卡门圣地亚哥 世界篇,"Where in the World Is Carmen Sandiego (Japan) (En,Ja) 卡门圣地亚哥 世界篇",2
Cyber City Oedo 808 - Kemono no Alignment (Japan),机动刑事 808 - 兽的属性,Cyber City Oedo 808 - Kemono no Alignment (Japan) 机动刑事 808 - 兽的属性,2
ROM ROM Stadium (Japan),棒球体育场,ROM ROM Stadium (Japan) 棒球体育场,1
Nishimura Kyoutarou Mystery - Hokutosei no Onna (Japan),西村京太郎杀人事件 - 北斗星之女,Nishimura Kyoutarou Mystery - Hokutosei no Onna (Japan) 西村京太郎杀人事件 - 北斗星之女,2
"F1 Circus Special - Pole to Win (Japan) (FAAT, FACT)",F1竞技场 特别版,"F1 Circus Special - Pole to Win (Japan) (FAAT, FACT) F1竞技场 特别版",3
Sexy Idol Mahjong (Japan),性感偶像麻将,Sexy Idol Mahjong (Japan) 性感偶像麻将,2
Langrisser - Hikari no Matsuei (Japan),梦幻模拟战 - 光辉的末裔,Langrisser - Hikari no Matsuei (Japan) 梦幻模拟战 - 光辉的末裔,2
Nekketsu Koukou Dodgeball-bu CD - Soccer-hen (Japan),热血高校 - 足球篇,Nekketsu Koukou Dodgeball-bu CD - Soccer-hen (Japan) 热血高校 - 足球篇,2
Quiz Avenue II (Japan),智力竞赛大道 2,Quiz Avenue II (Japan) 智力竞赛大道 2,2
Quiz Avenue (Japan),智力竞赛大道,Quiz Avenue (Japan) 智力竞赛大道,2
Might and Magic (Japan),魔法门,Might and Magic (Japan) 魔法门,2
Doukyuusei (Japan) (Rev 3) (Alt 1),同级生,Doukyuusei (Japan) (Rev 3) (Alt 1) 同级生,4
Tanjou - Debut (Japan),诞生 - Debut,Tanjou - Debut (Japan) 诞生 - Debut,2
CAL III - Kanketsu-hen (Japan),CAL 3 完结篇,CAL III - Kanketsu-hen (Japan) CAL 3 完结篇,2
Sotsugyou - Graduation (Japan),卒业,Sotsugyou - Graduation (Japan) 卒业,2
Dragon Knight III (Japan),龙骑士 3,Dragon Knight III (Japan) 龙骑士 3,2
CAL II (Japan),CAL 2,CAL II (Japan) CAL 2,2
Dragon Knight II (Japan),龙骑士 2,Dragon Knight II (Japan) 龙骑士 2,2
Monster Maker - Yami no Ryuukishi (Japan) (Alt),怪兽制造厂 - 闇之龙骑士,Monster Maker - Yami no Ryuukishi (Japan) (Alt) 怪兽制造厂 - 闇之龙骑士,2
Top o Nerae! GunBuster Vol. 2 (Japan),飞跃巅峰！ GunBuster 2,Top o Nerae! GunBuster Vol. 2 (Japan) 飞跃巅峰！ GunBuster 2,2
Exile II - Janen no Jishou (Japan),流放 2 - 邪念的事象,Exile II - Janen no Jishou (Japan) 流放 2 - 邪念的事象,2
Master of Monsters (Japan),万兽之王,Master of Monsters (Japan) 万兽之王,2
Wizardry V - Heart of the Maelstrom (Japan),巫术 5 - 漩涡之心,Wizardry V - Heart of the Maelstrom (Japan) 巫术 5 - 漩涡之心,2
Super Schwarzschild (Japan),超级银河战国列传,Super Schwarzschild (Japan) 超级银河战国列传,2
Super Schwarzschild 2 (Japan),超级银河战国列传 2,Super Schwarzschild 2 (Japan) 超级银河战国列传 2,2
BuilderLand - The Story of Melba (Japan),建造者之地 - 梅尔巴的故事,BuilderLand - The Story of Melba (Japan) 建造者之地 - 梅尔巴的故事,2
Valis IV (Japan),梦幻战士 4,Valis IV (Japan) 梦幻战士 4,2
Sherlock Holmes - Consulting Detective (Japan),夏洛克福尔摩斯 - 侦探课程,Sherlock Holmes - Consulting Detective (Japan) 夏洛克福尔摩斯 - 侦探课程,2
Sherlock Holmes - Consulting Detective - Vol. II (Japan),夏洛克福尔摩斯 - 侦探课程 2,Sherlock Holmes - Consulting Detective - Vol. II (Japan) 夏洛克福尔摩斯 - 侦探课程 2,2
"Pro Yakyuu, The (Japan)",职业棒球,"Pro Yakyuu, The (Japan) 职业棒球",2
Sengoku Kantou Sangokushi (Japan),战国关东三国志,Sengoku Kantou Sangokushi (Japan) 战国关东三国志,2
Princess Maker 2 (Japan),美少女梦工厂 2,Princess Maker 2 (Japan) 美少女梦工厂 2,2
Princess Maker 1 (Japan),美少女梦工厂 1,Princess Maker 1 (Japan) 美少女梦工厂 1,2
