index,title,release_year,score,number_of_votes,duration,main_genre,main_production,combined_text,clean_text,cluster
0,David Attenborough: A Life on Our Planet,2020,9.0,31180,83,documentary,GB,David Attenborough: A Life on Our Planet documentary GB,david attenborough life planet documentari gb,0
1,Inception,2010,8.8,2268288,148,scifi,GB,Inception scifi GB,incept scifi gb,0
2,Forrest Gump,1994,8.8,1994599,142,drama,US,Forrest Gump drama US,forrest gump drama us,3
3,Anbe Sivam,2003,8.7,20595,160,comedy,IN,Anbe Sivam comedy IN,anb sivam comedi,2
4,Bo Burnham: Inside,2021,8.7,44074,87,comedy,US,Bo Burnham: Inside comedy US,bo burnham insid comedi us,2
5,Saving Private Ryan,1998,8.6,1346020,169,drama,US,Saving Private Ryan drama US,save privat ryan drama us,3
6,Django Unchained,2012,8.4,1472668,165,western,US,Django Unchained western US,django unchain western us,3
7,Dangal,2016,8.4,180247,161,action,IN,Dangal action IN,dangal action,0
8,Bo Burnham: Make Happy,2016,8.4,14356,60,comedy,US,Bo Burnham: Make Happy comedy US,bo burnham make happi comedi us,2
9,Louis C.K.: Hilarious,2010,8.4,11973,84,comedy,US,Louis C.K.: Hilarious comedy US,loui c k hilari comedi us,2
10,Dave Chappelle: Sticks & Stones,2019,8.4,25687,65,comedy,US,Dave Chappelle: Sticks & Stones comedy US,dave chappel stick stone comedi us,2
11,3 Idiots,2009,8.4,385782,170,comedy,IN,3 Idiots comedy IN,idiot comedi,2
12,Black Friday,2004,8.4,20611,143,crime,IN,Black Friday crime IN,black friday crime,0
13,Super Deluxe,2019,8.4,13680,176,thriller,IN,Super Deluxe thriller IN,super delux thriller,1
14,Winter on Fire: Ukraine's Fight for Freedom,2015,8.3,17710,98,documentary,UA,Winter on Fire: Ukraine's Fight for Freedom documentary UA,winter fire ukrain fight freedom documentari ua,0
15,Once Upon a Time in America,1984,8.3,342335,229,drama,US,Once Upon a Time in America drama US,upon time america drama us,3
16,Taxi Driver,1976,8.3,795222,113,crime,US,Taxi Driver crime US,taxi driver crime us,0
17,Like Stars on Earth,2007,8.3,188234,165,drama,IN,Like Stars on Earth drama IN,like star earth drama,3
18,Bo Burnham: What.,2013,8.3,11488,60,comedy,US,Bo Burnham: What. comedy US,bo burnham comedi us,2
19,Full Metal Jacket,1987,8.3,723306,116,drama,GB,Full Metal Jacket drama GB,full metal jacket drama gb,3
20,Warrior,2011,8.2,463276,140,drama,US,Warrior drama US,warrior drama us,3
21,Drishyam,2015,8.2,79075,163,thriller,IN,Drishyam thriller IN,drishyam thriller,1
