Cluster,Number of Games,Percentage,Top Keywords
0,13,1.14,"jikkyou powerful, powerful pro, powerful, pro yakyuu, yakyuu, jikkyou, 实况力量棒球, yakyuu japan, pro, rev 实况力量棒球"
1,242,21.28,"europe, enfrde, europe enfrde, europe enfrdeesitnl, enfrdeesitnl, europe beta, europe enfrdees, enfrdees, europe proto, beta"
2,4,0.35,"ready rumble, boxing, rumble boxing, rumble, ready, 爆笑拳击, boxing usa, usa 爆笑拳击, lodgenet 爆笑拳击, enfrde 爆笑拳击"
3,33,2.9,"zelda, legend zelda, legend, ocarina, 塞尔达传说时之笛, zelda ocarina, ocarina time, time, gamecube, 塞尔达传说马祖拉的假面"
4,73,6.42,"world, enfrdeesit, europe enfrdeesit, europe, unl, world grand, f国际赛车大奖赛, world cup, cup, grand"
5,428,37.64,"usa, usa beta, beta, lodgenet, proto, usa lodgenet, usa proto, germany, mario, france"
6,45,3.96,"pokemon, pokemon stadium, stadium, 口袋妖怪竞技场, 口袋妖怪写真, pokemon snap, snap, pro skater, skater, hawks pro"
7,194,17.06,"japan, mario, mahjong, party japan, pro, party, jleague, super, star, japan proto"
8,29,2.55,"turok, turok shadow, oblivion, shadow oblivion, 恐龙猎人遗忘之影, shadow, beta 恐龙猎人遗忘之影, dinosaur hunter, turok dinosaur, dinosaur"
9,76,6.68,"rev, usa rev, nfl, usa, japan rev, madden, 劲爆美式橄榄球, madden nfl, club, japan"
