Name EN,Name CN,combined_text,cleaned_text,Cluster,Distance_to_Centroid
[BIOS] Nintendo 64 - PIF (Brazil),,[BIOS] Nintendo 64 - PIF (Brazil) ,bios nintendo pif brazil,7,1.0030620162575112
[BIOS] Nintendo 64 - PIF (Europe),,[BIOS] Nintendo 64 - PIF (Europe) ,bios nintendo pif europe,1,0.9921212785430602
"[BIOS] Nintendo 64 - PIF (Japan, USA)",,"[BIOS] Nintendo 64 - PIF (Japan, USA) ",bios nintendo pif japan usa,7,0.9836031995531135
"007 - The World Is Not Enough (Europe) (En,Fr,De)",007-明日帝国,"007 - The World Is Not Enough (Europe) (En,Fr,De) 007-明日帝国",world enough europe enfrde 明日帝国,1,0.9729382810852332
007 - The World Is Not Enough (USA),007-明日帝国,007 - The World Is Not Enough (USA) 007-明日帝国,world enough usa 明日帝国,4,0.9804326418528954
007 - The World Is Not Enough (USA) (v21) (Beta),007-明日帝国,007 - The World Is Not Enough (USA) (v21) (Beta) 007-明日帝国,world enough usa v beta 明日帝国,5,0.9821999784756468
007 - The World Is Not Enough (USA) (v2) (Beta),007-明日帝国,007 - The World Is Not Enough (USA) (v2) (Beta) 007-明日帝国,world enough usa v beta 明日帝国,5,0.9821999784756468
"1080 Snowboarding (Europe) (En,Ja,Fr,De)",1080度滑雪,"1080 Snowboarding (Europe) (En,Ja,Fr,De) 1080度滑雪",snowboarding europe enjafrde 度滑雪,1,0.9917080176267349
"1080 Snowboarding (Japan, USA) (En,Ja)",1080度滑雪,"1080 Snowboarding (Japan, USA) (En,Ja) 1080度滑雪",snowboarding japan usa enja 度滑雪,7,0.9870114939252586
"1080 Snowboarding (USA) (En,Ja) (LodgeNet)",1080度滑雪,"1080 Snowboarding (USA) (En,Ja) (LodgeNet) 1080度滑雪",snowboarding usa enja lodgenet 度滑雪,5,0.9905750912996019
3D Model RGB Test Program (USA) (Test Program),,3D Model RGB Test Program (USA) (Test Program) ,model rgb test program usa test program,5,0.9986606198101625
40 Winks (USA) (Proto) (2000-01-10),精灵大救援,40 Winks (USA) (Proto) (2000-01-10) 精灵大救援,winks usa proto 精灵大救援,5,0.9860969813010313
"40 Winks (Europe) (En,Es,It) (Proto) (1999-10-07)",精灵大救援,"40 Winks (Europe) (En,Es,It) (Proto) (1999-10-07) 精灵大救援",winks europe enesit proto 精灵大救援,1,0.9904959412834043
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan),64电子宠物世界,64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan) 64电子宠物世界,de hakken tamagotchi minna de tamagotchi world japan 电子宠物世界,4,0.9979429122434368
64 Hanafuda - Tenshi no Yakusoku (Japan),64花札-天使的约束,64 Hanafuda - Tenshi no Yakusoku (Japan) 64花札-天使的约束,hanafuda tenshi yakusoku japan 花札天使的约束,7,0.9916338335822531
64 Oozumou (Japan),64大相扑,64 Oozumou (Japan) 64大相扑,oozumou japan 大相扑,7,0.978761084297285
64 Oozumou 2 (Japan),64大相扑2,64 Oozumou 2 (Japan) 64大相扑2,oozumou japan 大相扑,7,0.978761084297285
64 Trump Collection - Alice no Wakuwaku Trump World (Japan),64扑克集锦,64 Trump Collection - Alice no Wakuwaku Trump World (Japan) 64扑克集锦,trump collection alice wakuwaku trump world japan 扑克集锦,4,0.9960956327488094
64GB Checker (Japan) (v1.05) (Test Program),,64GB Checker (Japan) (v1.05) (Test Program) ,gb checker japan v test program,7,0.9865629763494647
77a (World) (Presence of Mind '98) (Unl),,77a (World) (Presence of Mind '98) (Unl) ,world presence mind unl,4,0.9478998457645635
77a Special Edition (World) (Summer64) (Unl),,77a Special Edition (World) (Summer64) (Unl) ,special edition world summer unl,4,0.9715472479770457
Action Replay Pro 64 (Europe) (v3.0) (Unl),ActionReplayPro64,Action Replay Pro 64 (Europe) (v3.0) (Unl) ActionReplayPro64,action replay pro europe v unl actionreplaypro,1,0.9881674115715153
Action Replay Pro 64 (Europe) (v3.3) (Unl),ActionReplayPro64,Action Replay Pro 64 (Europe) (v3.3) (Unl) ActionReplayPro64,action replay pro europe v unl actionreplaypro,1,0.9881674115715153
"AeroFighters Assault (Europe) (En,Fr,De)",音速战机-突击,"AeroFighters Assault (Europe) (En,Fr,De) 音速战机-突击",aerofighters assault europe enfrde 音速战机突击,1,0.9737984358387288
AeroFighters Assault (USA),音速战机-突击,AeroFighters Assault (USA) 音速战机-突击,aerofighters assault usa 音速战机突击,5,0.9943735693576821
"AeroGauge (Europe) (En,Fr,De)",磁浮轨道车,"AeroGauge (Europe) (En,Fr,De) 磁浮轨道车",aerogauge europe enfrde 磁浮轨道车,1,0.96857276754629
AeroGauge (Japan) (Demo) (Kiosk),磁浮轨道车,AeroGauge (Japan) (Demo) (Kiosk) 磁浮轨道车,aerogauge japan demo kiosk 磁浮轨道车,7,0.9894249274924488
AeroGauge (Japan) (Rev 1),磁浮轨道车,AeroGauge (Japan) (Rev 1) 磁浮轨道车,aerogauge japan rev 磁浮轨道车,9,0.9720769493349339
AeroGauge (USA),磁浮轨道车,AeroGauge (USA) 磁浮轨道车,aerogauge usa 磁浮轨道车,5,0.9935082086581433
AI Shougi 3 (Japan),AI将棋3,AI Shougi 3 (Japan) AI将棋3,ai shougi japan ai将棋,7,0.9858508921693492
Aidyn Chronicles - The First Mage (Europe),爱丁编年史-首席魔法师,Aidyn Chronicles - The First Mage (Europe) 爱丁编年史-首席魔法师,aidyn chronicles first mage europe 爱丁编年史首席魔法师,1,0.9878404552349419
Aidyn Chronicles - The First Mage (USA),爱丁编年史-首席魔法师,Aidyn Chronicles - The First Mage (USA) 爱丁编年史-首席魔法师,aidyn chronicles first mage usa 爱丁编年史首席魔法师,5,0.991015116002635
Aidyn Chronicles - The First Mage (USA) (Rev 1),爱丁编年史-首席魔法师,Aidyn Chronicles - The First Mage (USA) (Rev 1) 爱丁编年史-首席魔法师,aidyn chronicles first mage usa rev 爱丁编年史首席魔法师,9,0.9740991831119507
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-02-10),爱丁编年史-首席魔法师,Aidyn Chronicles - The First Mage (USA) (Beta) (2000-02-10) 爱丁编年史-首席魔法师,aidyn chronicles first mage usa beta 爱丁编年史首席魔法师,5,0.981566762617904
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-05-09),爱丁编年史-首席魔法师,Aidyn Chronicles - The First Mage (USA) (Beta) (2000-05-09) 爱丁编年史-首席魔法师,aidyn chronicles first mage usa beta 爱丁编年史首席魔法师,5,0.981566762617904
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-12-05),爱丁编年史-首席魔法师,Aidyn Chronicles - The First Mage (USA) (Beta) (2000-12-05) 爱丁编年史-首席魔法师,aidyn chronicles first mage usa beta 爱丁编年史首席魔法师,5,0.981566762617904
Aidyn Chronicles - The First Mage (Europe) (Beta) (2001-03-02),爱丁编年史-首席魔法师,Aidyn Chronicles - The First Mage (Europe) (Beta) (2001-03-02) 爱丁编年史-首席魔法师,aidyn chronicles first mage europe beta 爱丁编年史首席魔法师,1,0.982723193263871
Aidyn Chronicles - The First Mage (Europe) (Beta) (2001-04-10),爱丁编年史-首席魔法师,Aidyn Chronicles - The First Mage (Europe) (Beta) (2001-04-10) 爱丁编年史-首席魔法师,aidyn chronicles first mage europe beta 爱丁编年史首席魔法师,1,0.982723193263871
Air Boarder 64 (Japan),疾风滑板64,Air Boarder 64 (Japan) 疾风滑板64,air boarder japan 疾风滑板,7,0.9888558460242056
Airboarder 64 (Europe),疾风滑板64,Airboarder 64 (Europe) 疾风滑板64,airboarder europe 疾风滑板,1,0.9898197850246552
Akumajou Dracula Mokushiroku - Real Action Adventure (Japan),恶魔城默示录,Akumajou Dracula Mokushiroku - Real Action Adventure (Japan) 恶魔城默示录,akumajou dracula mokushiroku real action adventure japan 恶魔城默示录,7,0.9927077345562798
Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan),恶魔城默示录外传,Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan) 恶魔城默示录外传,akumajou dracula mokushiroku gaiden legend cornell japan 恶魔城默示录外传,7,0.9931081715484656
"All Star Tennis '99 (Europe) (En,Fr,De,Es,It)",全明星网球'99,"All Star Tennis '99 (Europe) (En,Fr,De,Es,It) 全明星网球'99",star tennis europe enfrdeesit 全明星网球,4,0.9703380655000551
