ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,text,clean_text,Cluster
281,S. Abdul Hamid,M,,,,India,IND,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 110 metres Hurdles,,S. Abdul Hamid M India IND 1928 Summer Summer Amsterdam Athletics Athletics Men's 110 metres Hurdles ,abdul hamid india ind summer summer amsterdam athletics athletics mens metres hurdles,1
281,S. Abdul Hamid,M,,,,India,IND,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 400 metres Hurdles,,S. Abdul Hamid M India IND 1928 Summer Summer Amsterdam Athletics Athletics Men's 400 metres Hurdles ,abdul hamid india ind summer summer amsterdam athletics athletics mens metres hurdles,1
512,Shiny Kurisingal Abraham-Wilson,F,19.0,167.0,53.0,India,IND,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 800 metres,,Shiny Kurisingal Abraham-Wilson F India IND 1984 Summer Summer Los Angeles Athletics Athletics Women's 800 metres ,shiny kurisingal abrahamwilson f india ind summer summer los angeles athletics athletics womens metres,1
512,Shiny Kurisingal Abraham-Wilson,F,19.0,167.0,53.0,India,IND,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,,Shiny Kurisingal Abraham-Wilson F India IND 1984 Summer Summer Los Angeles Athletics Athletics Women's 4 x 400 metres Relay ,shiny kurisingal abrahamwilson f india ind summer summer los angeles athletics athletics womens x metres relay,1
512,Shiny Kurisingal Abraham-Wilson,F,23.0,167.0,53.0,India,IND,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 800 metres,,Shiny Kurisingal Abraham-Wilson F India IND 1988 Summer Summer Seoul Athletics Athletics Women's 800 metres ,shiny kurisingal abrahamwilson f india ind summer summer seoul athletics athletics womens metres,1
512,Shiny Kurisingal Abraham-Wilson,F,23.0,167.0,53.0,India,IND,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,,Shiny Kurisingal Abraham-Wilson F India IND 1988 Summer Summer Seoul Athletics Athletics Women's 4 x 400 metres Relay ,shiny kurisingal abrahamwilson f india ind summer summer seoul athletics athletics womens x metres relay,1
512,Shiny Kurisingal Abraham-Wilson,F,27.0,167.0,53.0,India,IND,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 800 metres,,Shiny Kurisingal Abraham-Wilson F India IND 1992 Summer Summer Barcelona Athletics Athletics Women's 800 metres ,shiny kurisingal abrahamwilson f india ind summer summer barcelona athletics athletics womens metres,1
512,Shiny Kurisingal Abraham-Wilson,F,31.0,167.0,53.0,India,IND,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,,Shiny Kurisingal Abraham-Wilson F India IND 1996 Summer Summer Atlanta Athletics Athletics Women's 4 x 400 metres Relay ,shiny kurisingal abrahamwilson f india ind summer summer atlanta athletics athletics womens x metres relay,1
663,Sharath Kamal Achanta,M,22.0,186.0,85.0,India,IND,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Singles,,Sharath Kamal Achanta M India IND 2004 Summer Summer Athina Table Tennis Table Tennis Men's Singles ,sharath kamal achanta india ind summer summer athina table tennis table tennis mens singles,0
663,Sharath Kamal Achanta,M,26.0,186.0,85.0,India,IND,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Singles,,Sharath Kamal Achanta M India IND 2008 Summer Summer Beijing Table Tennis Table Tennis Men's Singles ,sharath kamal achanta india ind summer summer beijing table tennis table tennis mens singles,0
663,Sharath Kamal Achanta,M,34.0,186.0,85.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,,Sharath Kamal Achanta M India IND 2016 Summer Summer Rio de Janeiro Table Tennis Table Tennis Men's Singles ,sharath kamal achanta india ind summer summer rio de janeiro table tennis table tennis mens singles,0
952,Badathala Adisekhar,M,28.0,,53.0,India,IND,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Flyweight,,Badathala Adisekhar M India IND 1992 Summer Summer Barcelona Weightlifting Weightlifting Men's Flyweight ,badathala adisekhar india ind summer summer barcelona weightlifting weightlifting mens flyweight,0
