player,tournament id,Player_initial_last,player id,DK_Hole_FP,DK_Streak_Bonus_FP,FD_Hole_FP,FD_Streak_Bonus_FP,tournament name,season,final position,DK_Finish_FP,FD_Finish_FP,DK_Total_FP,FD_Total_FP,major,made_cut,course,date,Finish,Score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,place,Cluster
Aaron Baddeley,2232,A. Baddeley,16,70.0,6,66.2,21.1,Waste Management Phoenix Open,2015,17.0,5,4,81.0,91.3,0,1,"TPC Scottsdale - Scottsdale, AZ",2015-02-01,T17,-8,1.73,0.1,0.32,-0.62,-0.2,1.53,17,0
Aaron Baddeley,2233,A. Baddeley,16,67.0,0,64.1,20.8,AT&T Pebble Beach Pro-Am,2015,54.0,0,0,67.0,84.9,0,1,"Pebble Beach - Pebble Beach, CA",2015-02-15,T54,-7,1.82,0.58,-2.26,-0.51,-2.19,-0.37,54,0
Aaron Baddeley,2234,A. Baddeley,16,27.0,0,20.9,10.6,Farmers Insurance Open,2015,,0,0,27.0,31.5,0,0,"Torrey Pines - La Jolla, CA",2015-02-08,CUT,3,-0.35,-0.62,-1.95,0.57,-1.99,-2.34,-,0
Aaron Baddeley,2236,A. Baddeley,16,27.0,0,18.5,5.6,Northern Trust Open,2015,,0,0,27.0,24.1,0,0,"Riviera - Pacific Palisades, CA",2015-02-22,,,,,,,,,-,0
Aaron Baddeley,2240,A. Baddeley,16,23.5,0,14.5,10.0,The Players Championship,2015,,0,0,23.5,24.5,0,0,"TPC Sawgrass - Ponte Vedra Beach, FL",2015-05-10,CUT,11,1.73,-0.46,-5.5,-1.0,-6.96,-5.23,-,0
Aaron Baddeley,2242,A. Baddeley,16,62.0,0,51.6,15.4,RBC Heritage,2015,66.0,0,0,62.0,67.0,0,1,"Harbour Town - Hilton Head, SC",2015-04-19,T66,1,-0.5,0.72,-0.45,-0.66,-0.39,-0.89,66,0
Aaron Baddeley,2243,A. Baddeley,16,36.5,0,31.8,15.2,Wyndham Championship,2015,,0,0,36.5,47.0,0,0,"Sedgefield - Greensboro, NC",2015-08-23,CUT,-1,0.06,-0.43,-0.78,0.6,-0.6,-0.54,-,0
Aaron Baddeley,2244,A. Baddeley,16,33.0,0,30.0,4.0,Shell Houston Open,2015,,0,0,33.0,34.0,0,0,"Golf Club of Houston - Houston, TX",2015-04-05,CUT,-2,-0.49,0.1,-0.23,0.15,0.02,-0.47,-,0
Aaron Baddeley,2245,A. Baddeley,16,33.0,3,31.3,5.8,AT&T Byron Nelson,2015,,0,0,36.0,37.1,0,0,"TPC Four Seasons Resort Las Colinas, Irving, TX",2015-05-31,CUT,E,1.14,2.24,-3.1,-0.76,-1.62,-0.48,-,0
Aaron Baddeley,2246,A. Baddeley,16,19.5,0,14.4,0.0,Crowne Plaza Invitation,2015,,0,0,19.5,14.4,0,0,"Colonial Country Club, Ft. Worth, TX",2015-05-24,,,,,,,,,-,0
Aaron Baddeley,2250,A. Baddeley,16,39.0,0,21.4,6.2,FedEx St. Jude Classic,2015,75.0,0,0,39.0,27.6,0,1,"TPC Southwind, Memphis, TN",2015-06-14,75,14,0.46,0.19,-1.23,-2.11,-3.15,-2.69,75,0
