species,model,dataset,threshold,scaling_factor,season_start,season_end,mean_in_season,mean_out_season,ratio_mean,kendall_corr
Alnus,2025-Beta-1,Basel,0,"4,3974",02.02.2024,08.03.2024,"33,6151","1,327","0,0395","0,7018"
Alnus,2025-Beta-1,Basel,"0,2","4,3974",02.02.2024,08.03.2024,"33,6151","1,327","0,0395","0,7018"
Alnus,2025-Beta-1,Basel,"0,4","4,4039",02.02.2024,08.03.2024,"33,5596","1,2931","0,0385","0,703"
Alnus,2025-Beta-1,Basel,"0,6","4,5461",02.02.2024,08.03.2024,"32,4795","1,0885","0,0335","0,7078"
Alnus,2025-Beta-1,Basel,"0,75","4,7722",02.02.2024,08.03.2024,"30,9239","0,8946","0,0289","0,7166"
Alnus,2025-Beta-1,Basel,"0,8","4,8801",02.02.2024,08.03.2024,"30,2317","0,8218","0,0272","0,7179"
Alnus,2025-Beta-1,Basel,"0,85","5,0114",02.02.2024,08.03.2024,"29,4202","0,7434","0,0253","0,716"
Alnus,2025-Beta-1,Basel,"0,9","5,2004",02.02.2024,08.03.2024,"28,3254","0,6474","0,0229","0,7223"
Alnus,2025-Beta-1,Basel,"0,91","5,2471",02.02.2024,08.03.2024,"28,0635","0,6278","0,0224","0,7208"
Alnus,2025-Beta-1,Basel,"0,92","5,3043",02.02.2024,08.03.2024,"27,758","0,6085","0,0219","0,721"
Alnus,2025-Beta-1,Basel,"0,93","5,3616",02.02.2024,08.03.2024,"27,4547","0,5855","0,0213","0,7249"
Alnus,2025-Beta-1,Basel,"0,94","5,4397",02.02.2024,08.03.2024,"27,0664","0,5651","0,0209","0,7251"
Alnus,2025-Beta-1,Basel,"0,95","5,5347",02.02.2024,08.03.2024,"26,6128","0,5372","0,0202","0,7272"
Alnus,2025-Beta-1,Basel,"0,96","5,6479",02.02.2024,08.03.2024,"26,0721","0,5017","0,0192","0,7277"
Alnus,2025-Beta-1,Basel,"0,97","5,8108",02.02.2024,08.03.2024,"25,3624","0,4643","0,0183","0,7302"
Alnus,2025-Beta-1,Basel,"0,98","6,0446",02.02.2024,08.03.2024,"24,3891","0,4152","0,017","0,7278"
Alnus,2025-Beta-1,Basel,"0,99","6,4916",02.02.2024,08.03.2024,"22,6896","0,3413","0,015","0,7318"
Alnus,2025-Beta-1,Basel,"0,999","8,6284",02.02.2024,08.03.2024,"17,0918","0,189","0,0111","0,7421"
Alnus,2025-Beta-1,Basel,"0,9999","12,5848",02.02.2024,08.03.2024,"11,7745","0,1107","0,0094","0,731"
Alnus,2025-Beta-1,Basel,1,"20,7239",02.02.2024,08.03.2024,"7,1641","0,0636","0,0089","0,7577"
Alnus,2025-Beta-1,Basel,1,"40,6074",02.02.2024,08.03.2024,"3,6581","0,0333","0,0091","0,7652"
Alnus,2025-Beta-1,Basel,1,"79,4109",02.02.2024,08.03.2024,"1,8851","0,0168","0,0089","0,7454"
Betula,2025-Beta-1,Basel,0,"1,5862",20.03.2024,18.04.2024,"45,2812","4,1894","0,0925","0,5309"
Betula,2025-Beta-1,Basel,"0,2","1,5862",20.03.2024,18.04.2024,"45,2812","4,1894","0,0925","0,5309"
Betula,2025-Beta-1,Basel,"0,4","1,5976",20.03.2024,18.04.2024,"44,9448","4,1105","0,0915","0,5314"
Betula,2025-Beta-1,Basel,"0,6","1,6976",20.03.2024,18.04.2024,"42,1092","3,5502","0,0843","0,539"
Betula,2025-Beta-1,Basel,"0,75","1,8372",20.03.2024,18.04.2024,"38,6472","2,9799","0,0771","0,549"
Betula,2025-Beta-1,Basel,"0,8","1,8987",20.03.2024,18.04.2024,"37,2791","2,7769","0,0745","0,5481"
Betula,2025-Beta-1,Basel,"0,85","1,981",20.03.2024,18.04.2024,"35,6007","2,5455","0,0715","0,5495"
Betula,2025-Beta-1,Basel,"0,9","2,096",20.03.2024,18.04.2024,"33,4891","2,2603","0,0675","0,5549"
Betula,2025-Beta-1,Basel,"0,91","2,1271",20.03.2024,18.04.2024,"32,9777","2,1911","0,0664","0,5566"
Betula,2025-Beta-1,Basel,"0,92","2,1619",20.03.2024,18.04.2024,"32,4022","2,116","0,0653","0,5581"
Betula,2025-Beta-1,Basel,"0,93","2,2016",20.03.2024,18.04.2024,"31,7621","2,036","0,0641","0,5609"
Betula,2025-Beta-1,Basel,"0,94","2,2458",20.03.2024,18.04.2024,"31,0521","1,9505","0,0628","0,5629"
Betula,2025-Beta-1,Basel,"0,95","2,3032",20.03.2024,18.04.2024,"30,2134","1,8491","0,0612","0,565"
Betula,2025-Beta-1,Basel,"0,96","2,37",20.03.2024,18.04.2024,"29,2772","1,7372","0,0593","0,5674"
Betula,2025-Beta-1,Basel,"0,97","2,4676",20.03.2024,18.04.2024,"28,0391","1,6071","0,0573","0,5696"
Betula,2025-Beta-1,Basel,"0,98","2,6166",20.03.2024,18.04.2024,"26,3167","1,4269","0,0542","0,5721"
Betula,2025-Beta-1,Basel,"0,99","2,9012",20.03.2024,18.04.2024,"23,607","1,159","0,0491","0,5774"
Betula,2025-Beta-1,Basel,"0,999","4,2306",20.03.2024,18.04.2024,"15,8389","0,5805","0,0367","0,5976"
Betula,2025-Beta-1,Basel,"0,9999","6,7771",20.03.2024,18.04.2024,"9,7409","0,2703","0,0277","0,6037"
Betula,2025-Beta-1,Basel,1,"12,5006",20.03.2024,18.04.2024,"5,2899","0,1159","0,0219","0,6284"
Betula,2025-Beta-1,Basel,1,"27,1988",20.03.2024,18.04.2024,"2,4607","0,0469","0,0191","0,6135"
Betula,2025-Beta-1,Basel,1,"52,7898",20.03.2024,18.04.2024,"1,2667","0,0239","0,0189","0,6342"
Corylus,2025-Beta-1,Basel,0,"4,505",26.01.2024,19.02.2024,"9,446","2,2205","0,2351","0,4929"
Corylus,2025-Beta-1,Basel,"0,2","4,505",26.01.2024,19.02.2024,"9,446","2,2205","0,2351","0,4929"
Corylus,2025-Beta-1,Basel,"0,4","4,5314",26.01.2024,19.02.2024,"9,4048","2,1857","0,2324","0,4937"
Corylus,2025-Beta-1,Basel,"0,6","4,9995",26.01.2024,19.02.2024,"8,6629","1,8517","0,2137","0,5152"
Corylus,2025-Beta-1,Basel,"0,75","5,6868",26.01.2024,19.02.2024,"7,754","1,5069","0,1943","0,5318"
Corylus,2025-Beta-1,Basel,"0,8","5,9766",26.01.2024,19.02.2024,"7,4244","1,3811","0,186","0,5392"
Corylus,2025-Beta-1,Basel,"0,85","6,3531",26.01.2024,19.02.2024,"7,032","1,2413","0,1765","0,5472"
Corylus,2025-Beta-1,Basel,"0,9","6,8878",26.01.2024,19.02.2024,"6,5406","1,075","0,1644","0,5544"
Corylus,2025-Beta-1,Basel,"0,91","7,0326",26.01.2024,19.02.2024,"6,4114","1,0367","0,1617","0,5572"
Corylus,2025-Beta-1,Basel,"0,92","7,1888",26.01.2024,19.02.2024,"6,2725","0,9891","0,1577","0,5578"
Corylus,2025-Beta-1,Basel,"0,93","7,3609",26.01.2024,19.02.2024,"6,1309","0,9447","0,1541","0,5606"
Corylus,2025-Beta-1,Basel,"0,94","7,5915",26.01.2024,19.02.2024,"5,9579","0,8964","0,1505","0,5654"
