class_2022;class_2025;n Events;Period
Other;Taxus;371616;Jan-March
Taxus;Taxus;293764;Jan-March
Other;Other;161945;Jan-March
Alnus;Alnus;102121;Jan-March
Other;Populus;48778;Jan-March
Other;Alnus;48311;Jan-March
Taxus;Populus;35923;Jan-March
Alnus;Other;34808;Jan-March
Other;Water;32857;Jan-March
Other;Cupressus;30360;Jan-March
Other;Corylus;29083;Jan-March
Water;Water;27477;Jan-March
Taxus;Other;27172;Jan-March
Corylus;Corylus;26621;Jan-March
Ulmus;Ulmus;16011;Jan-March
Ulmus;Other;14981;Jan-March
Ulmus;Corylus;13333;Jan-March
Taxus;Cupressus;13241;Jan-March
Corylus;Other;12749;Jan-March
Populus;Populus;12664;Jan-March
Alnus;Corylus;12411;Jan-March
Populus;Other;12275;Jan-March
Cupressus;Water;11441;Jan-March
Populus;Taxus;10430;Jan-March
Alnus;Taxus;9289;Jan-March
Taxus;Water;8937;Jan-March
Alnus;Populus;4987;Jan-March
Ulmus;Alnus;4727;Jan-March
Ulmus;Populus;4631;Jan-March
Other;Ulmus;4527;Jan-March
Cupressus;Other;4240;Jan-March
Cupressus;Cupressus;3720;Jan-March
Cupressus;Taxus;2881;Jan-March
Populus;Corylus;2880;Jan-March
Populus;Cupressus;2787;Jan-March
Ulmus;Taxus;2718;Jan-March
Populus;Alnus;2067;Jan-March
Ulmus;Cupressus;2007;Jan-March
Alnus;Cupressus;1918;Jan-March
Corylus;Alnus;1698;Jan-March
Corylus;Populus;1681;Jan-March
Cupressus;Populus;1639;Jan-March
Taxus;Alnus;1371;Jan-March
Cupressus;Corylus;1203;Jan-March
Alnus;Ulmus;977;Jan-March
Taxus;Corylus;856;Jan-March
Corylus;Cupressus;766;Jan-March
Corylus;Taxus;653;Jan-March
Populus;Ulmus;579;Jan-March
Corylus;Water;345;Jan-March
Cupressus;Alnus;338;Jan-March
Alnus;Water;311;Jan-March
Corylus;Ulmus;249;Jan-March
Water;Other;83;Jan-March
Populus;Water;79;Jan-March
Water;Cupressus;59;Jan-March
Taxus;Ulmus;22;Jan-March
Ulmus;Water;20;Jan-March
Water;Taxus;11;Jan-March
Cupressus;Ulmus;5;Jan-March
Water;Corylus;2;Jan-March
Water;Populus;2;Jan-March
Water;Ulmus;1;Jan-March
Other;Other;938434;Jan-Sept
Betula;Other;169025;Jan-Sept
Alnus;Alnus;102121;Jan-Sept
Alnus;Other;45231;Jan-Sept
Other;Corylus;42047;Jan-Sept
Other;Betula;32836;Jan-Sept
Betula;Alnus;32750;Jan-Sept
Corylus;Corylus;26621;Jan-Sept
Other;Alnus;24064;Jan-Sept
Betula;Betula;19588;Jan-Sept
Corylus;Other;13200;Jan-Sept
Alnus;Corylus;12411;Jan-Sept
Alnus;Betula;7059;Jan-Sept
Betula;Corylus;5310;Jan-Sept
Corylus;Betula;3243;Jan-Sept
Corylus;Alnus;1698;Jan-Sept
Other;Other;345369;May-Sept
Poaceae;Poaceae;199375;May-Sept
Other;Cupressus;123303;May-Sept
Other;Poaceae;83196;May-Sept
Pinaceae;Pinaceae;80126;May-Sept
Other;Water;31628;May-Sept
Poaceae;Other;26850;May-Sept
Water;Water;19872;May-Sept
Quercus;Other;19014;May-Sept
Cupressus;Poaceae;18310;May-Sept
Quercus;Quercus;15521;May-Sept
Quercus;Cupressus;14021;May-Sept
Poaceae;Water;12895;May-Sept
Other;Fagus;12069;May-Sept
Poaceae;Cupressus;11435;May-Sept
Cupressus;Cupressus;9514;May-Sept
Quercus;Poaceae;8987;May-Sept
Poaceae;Pinaceae;8778;May-Sept
Other;Quercus;7009;May-Sept
Cupressus;Water;6888;May-Sept
Fagus;Pinaceae;6655;May-Sept
Other;Pinaceae;6048;May-Sept
Pinaceae;Other;5621;May-Sept
Quercus;Fagus;5136;May-Sept
Fagus;Fagus;4346;May-Sept
Cupressus;Other;4305;May-Sept
Quercus;Pinaceae;3531;May-Sept
Poaceae;Fagus;2084;May-Sept
Pinaceae;Cupressus;1405;May-Sept
Poaceae;Quercus;1288;May-Sept
Fagus;Other;1186;May-Sept
Pinaceae;Fagus;968;May-Sept
Fagus;Poaceae;781;May-Sept
Fagus;Cupressus;587;May-Sept
Pinaceae;Poaceae;328;May-Sept
Water;Poaceae;317;May-Sept
Pinaceae;Quercus;274;May-Sept
Fagus;Quercus;182;May-Sept
Water;Other;163;May-Sept
Water;Cupressus;139;May-Sept
Cupressus;Pinaceae;61;May-Sept
Quercus;Water;50;May-Sept
Fagus;Water;37;May-Sept
Cupressus;Fagus;31;May-Sept
Pinaceae;Water;12;May-Sept
Cupressus;Quercus;4;May-Sept
