Name,Year,Teams,Total Posts,Total Comments,Total Scores,Avg Sentiment (TextBlob),Avg Sentiment (Vader),Viewers (Millions),combined_text,clean_text
2012 Stanley Cup Finals Game 1,2012,"Los Angeles Kings, New Jersey Devils",4,28,27,0.0337886947708376,0.1065,2.979,"2012 Stanley Cup Finals Game 1 Los Angeles Kings, New Jersey Devils",stanley cup final game los angeles king new jersey devil
2012 Stanley Cup Finals Game 2,2012,"Los Angeles Kings, New Jersey Devils",5,30,12,-0.1087497410761873,-0.0165,2.9,"2012 Stanley Cup Finals Game 2 Los Angeles Kings, New Jersey Devils",stanley cup final game los angeles king new jersey devil
2012 Stanley Cup Finals Game 3,2012,"Los Angeles Kings, New Jersey Devils",8,29,34,0.0175329656525596,0.2315125,2.9,"2012 Stanley Cup Finals Game 3 Los Angeles Kings, New Jersey Devils",stanley cup final game los angeles king new jersey devil
2012 Stanley Cup Finals Game 4,2012,"Los Angeles Kings, New Jersey Devils",9,20,27,0.2581088416187286,0.4746444444444444,1.743,"2012 Stanley Cup Finals Game 4 Los Angeles Kings, New Jersey Devils",stanley cup final game los angeles king new jersey devil
2012 Stanley Cup Finals Game 5,2012,"Los Angeles Kings, New Jersey Devils",7,13,22,-0.1095214045214045,0.1604571428571428,2.069,"2012 Stanley Cup Finals Game 5 Los Angeles Kings, New Jersey Devils",stanley cup final game los angeles king new jersey devil
2012 Stanley Cup Finals Game 6,2012,"Los Angeles Kings, New Jersey Devils",6,8,22,-0.0490249719416386,-0.0535166666666666,3.331,"2012 Stanley Cup Finals Game 6 Los Angeles Kings, New Jersey Devils",stanley cup final game los angeles king new jersey devil
2013 Stanley Cup Finals Game 1,2013,"Chicago Blackhawks, Boston Bruins",18,214,137,0.0460929232804232,0.1946777777777777,5.762,"2013 Stanley Cup Finals Game 1 Chicago Blackhawks, Boston Bruins",stanley cup final game chicago blackhawks boston bruin
2013 Stanley Cup Finals Game 2,2013,"Chicago Blackhawks, Boston Bruins",18,110,405,0.01566644004144,0.2804611111111111,6.358,"2013 Stanley Cup Finals Game 2 Chicago Blackhawks, Boston Bruins",stanley cup final game chicago blackhawks boston bruin
2013 Stanley Cup Finals Game 3,2013,"Chicago Blackhawks, Boston Bruins",6,64,401,0.0242108585858585,0.4263666666666666,3.964,"2013 Stanley Cup Finals Game 3 Chicago Blackhawks, Boston Bruins",stanley cup final game chicago blackhawks boston bruin
2013 Stanley Cup Finals Game 4,2013,"Chicago Blackhawks, Boston Bruins",7,58,208,-0.1680816326530612,0.2925142857142857,4.001,"2013 Stanley Cup Finals Game 4 Chicago Blackhawks, Boston Bruins",stanley cup final game chicago blackhawks boston bruin
2013 Stanley Cup Finals Game 5,2013,"Chicago Blackhawks, Boston Bruins",6,41,57,0.0347424242424242,0.3899333333333333,6.459,"2013 Stanley Cup Finals Game 5 Chicago Blackhawks, Boston Bruins",stanley cup final game chicago blackhawks boston bruin
2013 Stanley Cup Finals Game 6,2013,"Chicago Blackhawks, Boston Bruins",8,89,317,-0.0435048701298701,0.38555,8.16,"2013 Stanley Cup Finals Game 6 Chicago Blackhawks, Boston Bruins",stanley cup final game chicago blackhawks boston bruin
2014 Stanley Cup Finals Game 1,2014,"Los Angeles Kings, New York Rangers",14,37,57,0.0573593073593073,0.125,4.697,"2014 Stanley Cup Finals Game 1 Los Angeles Kings, New York Rangers",stanley cup final game los angeles king new york ranger
2014 Stanley Cup Finals Game 2,2014,"Los Angeles Kings, New York Rangers",7,40,255,0.0597402597402597,0.2992285714285714,4.777,"2014 Stanley Cup Finals Game 2 Los Angeles Kings, New York Rangers",stanley cup final game los angeles king new york ranger
2014 Stanley Cup Finals Game 3,2014,"Los Angeles Kings, New York Rangers",10,34,34,0.0324747474747474,0.11343,6.413,"2014 Stanley Cup Finals Game 3 Los Angeles Kings, New York Rangers",stanley cup final game los angeles king new york ranger
2014 Stanley Cup Finals Game 4,2014,"Los Angeles Kings, New York Rangers",8,6,20,-0.1077020202020202,0.0860625,2.893,"2014 Stanley Cup Finals Game 4 Los Angeles Kings, New York Rangers",stanley cup final game los angeles king new york ranger
2014 Stanley Cup Finals Game 5,2014,"Los Angeles Kings, New York Rangers",2,7,2,-0.1954545454545455,0.08895,6.021,"2014 Stanley Cup Finals Game 5 Los Angeles Kings, New York Rangers",stanley cup final game los angeles king new york ranger
2015 Stanley Cup Finals Game 1,2015,"Chicago Blackhawks, Tampa Bay Lightning",16,15,42,0.0922821969696969,0.02899375,5.53,"2015 Stanley Cup Finals Game 1 Chicago Blackhawks, Tampa Bay Lightning",stanley cup final game chicago blackhawks tampa bay lightning
2015 Stanley Cup Finals Game 2,2015,"Chicago Blackhawks, Tampa Bay Lightning",10,380,266,0.0082386363636363,0.1968599999999999,5.547,"2015 Stanley Cup Finals Game 2 Chicago Blackhawks, Tampa Bay Lightning",stanley cup final game chicago blackhawks tampa bay lightning
