County,Number of Starbucks,Starbucks per million inhabitants,Starbucks per 10 sq. mile,Median Age,Median Household Income,2010 Population,Percentage of white population,Land Area (Sq. miles),Number of Starbucks (Rank),Starbucks per million inhabitants (Rank),Starbucks per sq. mile (Rank),Median Age (Rank),Median Household Income (Rank),Percentage of white population (Rank)
Siskiyou County,1,22.0,0.002,47.0,"$37,865","44,900",85.0,6287.0,1,4.0,1.0,47.0,3.0,45.0
Inyo County,2,108.0,0.002,45.6,"$49,571",18546,74.0,10203.0,8,49.0,2.0,46.0,20.0,34.0
Trinity County,1,73.0,0.003,49.3,"$37,672",13786,87.0,3179.0,1,35.0,3.0,52.0,2.0,50.0
Mono County,2,141.0,0.007,37.2,"$60,469",14202,82.0,3044.0,8,52.0,4.0,30.0,35.0,42.0
Lassen County,3,86.0,0.007,37.1,"$52,484",34895,73.0,4557.0,12,43.0,5.0,28.0,23.0,32.0
Glenn County,1,36.0,0.008,35.3,"$43,239",28122,71.0,1315.0,1,9.0,6.0,21.0,9.0,29.0
Lake County,1,15.0,0.008,45.0,"$39,525",64665,80.0,1258.0,1,2.0,7.0,45.0,6.0,38.0
Calaveras County,1,22.0,0.01,49.2,"$55,256",45578,89.0,1020.0,1,3.0,8.0,51.0,25.0,51.0
Del Norte County,1,35.0,0.01,39.1,"$37,588",28610,74.0,1008.0,1,8.0,9.0,34.0,1.0,33.0
Tehama County,3,47.0,0.01,39.5,"$38,753",63463,81.0,2951.0,12,15.0,10.0,37.0,4.0,39.0
Tuolumne County,3,54.0,0.013,47.3,"$47,359",55365,87.0,2235.0,12,23.0,11.0,48.0,16.0,49.0
Mendocino County,5,57.0,0.014,41.5,"$44,527",87841,77.0,3509.0,16,26.0,12.0,41.0,13.0,35.0
Yuba County,1,14.0,0.016,32.1,"$46,617",72155,68.0,631.0,1,1.0,13.0,9.0,14.0,26.0
Imperial County,7,40.0,0.017,31.9,"$39,402",174528,59.0,4175.0,22,11.0,14.0,8.0,5.0,15.0
Humboldt County,6,45.0,0.017,37.1,"$40,376",134623,82.0,3573.0,21,12.0,15.0,28.0,7.0,40.0
