Year,Measure,Value,NLP_Text,Clean_Text
2000,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.96,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2000,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2001,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.95,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2001,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2002,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.96,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2002,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2003,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.99,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2003,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2004,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.93,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2004,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2005,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.89,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2005,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2006,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.92,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2006,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2007,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.88,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2007,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2008,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.82,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2008,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2009,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.79,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2009,"Total emissions due to deforestation (CO2e/yr, megatonnes)",16.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2010,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.73,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2010,"Total emissions due to deforestation (CO2e/yr, megatonnes)",16.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2011,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.68,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2011,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2012,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.63,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2012,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
2013,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.57,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",removal atmosphere due afforestation megatonnes
2013,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18.0,"Total emissions due to deforestation (CO2e/yr, megatonnes)",total emission due deforestation megatonnes
