Project,Actual des,Adjustment,CostPerFP,ExternalInterface,ExternalInputs,ExternalOutputs,ExternalQueries,HoursToCount,InternalLogicalFiles,TotalLaborCost,TotalUFP,Cluster,text
Project 1,106688,0.83,1638,16,69,16,29,4.0,75,5576,205,2,Project 1 106688
Project 7,1063230,1.15,2748,187,198,30,162,16.0,113,43609,690,1,Project 7 1063230
Project 9,460258,1.14,2150,155,108,7,22,20.0,112,19806,404,3,Project 9 460258
Project 10,525788,1.1,2303,29,55,53,66,22.0,94,15017,297,3,Project 10 525788
Project 11,567099,1.09,7922,12,25,9,24,4.0,14,14507,84,3,Project 11 567099
Project 13,1056145,1.0,2195,86,126,22,429,10.0,67,38476,730,1,Project 13 1056145
Project 15,521650,1.14,1598,109,0,94,99,55.0,114,15159,416,3,Project 15 521650
Project 16,249055,1.11,1311,131,52,14,81,40.0,51,9575,329,0,Project 16 249055
Project 18,0,1.16,59,15,25,27,46,2.0,45,217,158,2,Project 18 0
Project 19,129488,1.13,1801,41,67,140,95,10.0,77,17091,420,2,Project 19 129488
Project 20,233900,1.11,1035,91,52,94,147,114.0,48,9925,432,0,Project 20 233900
Project 21,632500,1.01,112,62,0,36,140,120.0,218,1028,456,3,Project 21 632500
Project 22,398738,1.04,1817,22,60,25,85,16.0,90,10661,282,3,Project 22 398738
Project 23,56613,0.9,2661,0,10,8,3,1.0,21,2012,42,2,Project 23 56613
Project 26,171342,0.78,1801,24,10,21,6,1.0,45,2978,106,0,Project 26 171342
Project 28,349125,1.09,4534,12,40,21,12,4.0,14,9786,99,0,Project 28 349125
Project 31,525000,1.03,4474,224,74,0,42,8.0,34,34472,374,3,Project 31 525000
Project 32,18628,1.11,2616,33,50,44,78,30.0,29,13591,234,2,Project 32 18628
Project 33,162463,1.05,1738,24,69,28,34,18.0,38,7043,193,0,Project 33 162463
Project 34,135888,1.07,3801,9,35,4,29,10.0,21,7971,98,2,Project 34 135888
Project 35,113513,1.19,1366,10,32,5,36,10.0,57,4552,140,2,Project 35 113513
Project 36,1046638,1.14,1371,324,65,605,12,2.0,204,37836,1210,1,Project 36 1046638
Project 38,146575,0.95,6435,25,15,12,6,1.0,21,9658,79,2,Project 38 146575
Project 39,268300,1.02,1525,76,57,68,33,20.0,129,11237,363,0,Project 39 268300
Project 40,98125,1.03,11891,6,0,7,6,3.0,7,6369,26,2,Project 40 98125
Project 41,769310,1.16,3556,40,24,0,116,10.0,0,14851,180,1,Project 41 769310
Project 42,80263,1.02,832,61,10,71,27,1.0,63,3936,232,2,Project 42 80263
Project 44,205000,1.06,1652,33,0,14,42,60.0,56,5362,155,0,Project 44 205000
Project 45,128525,1.02,1655,64,45,44,6,12.0,31,6078,180,2,Project 45 128525
Project 46,202463,1.08,2073,67,64,49,23,39.0,90,13121,293,0,Project 46 202463
Project 47,93870,1.11,639,35,5,26,34,8.0,101,2850,201,2,Project 47 93870
Project 48,207863,1.17,1036,34,40,33,156,49.0,118,9211,380,0,Project 48 207863
Project 49,100325,1.04,760,24,15,4,37,4.0,88,2655,168,2,Project 49 100325
Project 50,114813,1.08,548,0,22,56,27,8.0,223,3884,328,2,Project 50 114813
Project 51,102135,1.14,899,13,50,5,36,21.0,66,3483,170,2,Project 51 102135
Project 52,52325,1.05,567,37,15,29,21,4.0,42,1714,144,2,Project 52 52325
Project 54,283815,1.13,2736,33,52,0,47,22.0,64,12121,196,0,Project 54 283815
Project 55,199615,1.13,1485,52,65,8,39,60.0,76,8067,240,0,Project 55 199615
Project 56,75125,1.03,1799,26,40,0,33,16.0,88,6931,187,2,Project 56 75125
Project 58,313,1.08,1229,11,10,27,0,17.0,0,1274,48,2,Project 58 313
Project 60,60063,1.1,885,9,10,21,35,10.0,51,2454,126,2,Project 60 60063
Project 62,164625,1.1,1195,45,45,100,37,65.0,106,8754,333,0,Project 62 164625
Project 63,131250,1.1,1282,15,61,30,62,10.0,41,5896,209,2,Project 63 131250
Project 64,29413,1.08,507,43,22,14,39,18.0,123,2638,241,2,Project 64 29413
Project 65,19338,1.0,864,22,0,28,20,15.0,24,1625,94,2,Project 65 19338
Project 66,80500,0.91,2122,10,21,10,8,32.0,62,4287,111,2,Project 66 80500
Project 67,789640,1.18,156,130,79,114,136,50.0,135,2186,594,1,Project 67 789640
Project 68,91375,1.13,1312,60,7,12,33,32.0,15,3767,127,2,Project 68 91375
Project 70,35500,0.89,1110,4,0,5,0,3.0,7,316,16,2,Project 70 35500
Project 71,239526,1.12,968,94,22,47,122,21.0,71,7715,356,0,Project 71 239526
Project 72,56725,0.98,320,0,34,17,10,8.0,0,382,61,2,Project 72 56725
