Kilometres,Zone,Bonus,Make,Insured,Claims,Payment,Cluster
1,1,1,1,455.13,108,392491,0
1,1,1,2,69.17,19,46221,0
1,1,1,3,72.88,13,15694,0
1,1,1,4,1292.39,124,422201,0
1,1,1,5,191.01,40,119373,0
1,1,1,6,477.66,57,170913,0
1,1,1,7,105.58,23,56940,0
1,1,1,8,32.55,14,77487,0
1,1,1,9,9998.46,1704,6805992,1
1,1,2,1,314.58,45,214011,0
1,1,2,2,61.82,10,65303,0
1,1,2,3,47.06,5,20871,0
1,1,2,4,782.58,48,242894,0
1,1,2,5,115.43,11,23545,0
1,1,2,6,338.06,23,39598,0
1,1,2,7,70.44,7,48767,0
1,1,2,8,15.25,2,6560,0
1,1,2,9,6416.19,638,2873487,0
1,1,3,1,309.98,24,134931,0
1,1,3,2,49.18,6,50908,0
1,1,3,3,32.02,3,4399,0
1,1,3,4,497.2,23,112992,0
1,1,3,5,73.48,6,14788,0
1,1,3,6,278.01,9,48713,0
1,1,3,7,66.36,9,52076,0
1,1,3,8,17.86,3,13161,0
1,1,3,9,5063.15,408,1707680,0
1,1,4,1,318.48,29,103866,0
1,1,4,2,57.21,7,77588,0
1,1,4,3,35.33,4,11839,0
1,1,4,4,374.28,20,98140,0
1,1,4,5,85.18,7,27919,0
1,1,4,6,199.7,7,103910,0
1,1,4,7,60.46,4,38065,0
1,1,4,8,12.74,0,0,0
1,1,4,9,4263.09,300,1267678,0
1,1,5,1,444.37,25,69203,0
1,1,5,2,86.65,6,14620,0
1,1,5,3,53.81,5,40258,0
1,1,5,4,361.62,22,161455,0
1,1,5,5,117.91,3,20011,0
1,1,5,6,232.55,11,57214,0
1,1,5,7,81.27,3,4496,0
1,1,5,8,18.21,0,0,0
1,1,5,9,4761.37,301,1116208,0
1,1,6,1,1016.67,61,217617,0
1,1,6,2,150.56,12,58099,0
1,1,6,3,126.69,4,12268,0
1,1,6,4,517.31,16,59634,0
1,1,6,5,246.62,13,84966,0
1,1,6,6,482.96,19,137005,0
1,1,6,7,203.6,12,33767,0
1,1,6,8,25.88,3,6279,0
1,1,6,9,9197.99,522,1939894,0
1,1,7,1,5430.48,214,1048698,0
1,1,7,2,659.54,24,143915,0
1,1,7,3,657.34,22,153830,0
1,1,7,4,2795.72,60,202413,0
1,1,7,5,1119.12,41,180345,0
1,1,7,6,2861.69,92,484604,0
1,1,7,7,1111.0,37,152801,0
1,1,7,8,166.61,6,14084,0
1,1,7,9,48264.64,1875,8977527,1
1,2,1,1,458.89,98,532092,0
1,2,1,2,72.78,5,9006,0
1,2,1,3,33.23,7,45498,0
1,2,1,4,1544.55,101,337480,0
1,2,1,5,200.9,43,191982,0
1,2,1,6,663.98,65,300632,0
1,2,1,7,124.73,10,23349,0
1,2,1,8,29.24,4,13581,0
1,2,1,9,11381.0,1326,6173598,1
1,2,2,1,364.78,40,211494,0
1,2,2,2,51.89,5,10811,0
1,2,2,3,29.39,4,36204,0
1,2,2,4,1053.01,33,135007,0
1,2,2,5,110.1,16,49061,0
1,2,2,6,470.62,30,64287,0
1,2,2,7,93.29,8,51080,0
1,2,2,8,17.88,1,600,0
1,2,2,9,7607.66,591,2510207,0
1,2,3,1,315.14,17,106975,0
1,2,3,2,64.53,4,16922,0
1,2,3,3,27.24,2,8255,0
1,2,3,4,726.13,29,93656,0
1,2,3,5,96.49,4,44966,0
1,2,3,6,365.81,16,43426,0
1,2,3,7,80.8,5,48691,0
1,2,3,8,13.3,1,1325,0
1,2,3,9,5898.98,320,1392652,0
1,2,4,1,320.47,16,136143,0
1,2,4,2,69.55,4,34137,0
1,2,4,3,33.37,1,2702,0
1,2,4,4,507.57,9,22292,0
1,2,4,5,72.4,7,20295,0
1,2,4,6,316.14,9,57404,0
1,2,4,7,72.05,3,8538,0
1,2,4,8,18.35,0,0,0
1,2,4,9,4957.56,269,1375988,0
1,2,5,1,473.63,27,136376,0
1,2,5,2,88.09,8,19038,0
1,2,5,3,46.27,2,3604,0
1,2,5,4,467.96,9,10597,0
1,2,5,5,126.88,10,26433,0
1,2,5,6,316.15,11,52950,0
1,2,5,7,101.11,7,21620,0
1,2,5,8,23.37,1,2680,0
1,2,5,9,5481.31,282,1079230,0
1,2,6,1,996.27,61,236220,0
1,2,6,2,175.14,10,25036,0
1,2,6,3,111.97,5,22261,0
1,2,6,4,601.61,16,88961,0
1,2,6,5,260.69,14,64368,0
1,2,6,6,593.18,17,65578,0
1,2,6,7,229.72,7,46244,0
1,2,6,8,46.66,7,14385,0
1,2,6,9,9830.72,413,1840742,0
1,2,7,1,6021.43,233,1086534,0
1,2,7,2,852.8,33,165960,0
1,2,7,3,751.59,24,100564,0
1,2,7,4,3293.99,60,201401,0
1,2,7,5,1289.09,53,272610,0
1,2,7,6,3665.27,97,524316,0
1,2,7,7,1369.91,35,159658,0
1,2,7,8,183.98,5,18603,0
1,2,7,9,55084.54,1744,8500391,1
1,3,1,1,453.06,72,329632,0
1,3,1,2,67.13,9,79565,0
1,3,1,3,35.22,5,11746,0
1,3,1,4,1653.17,89,338305,0
1,3,1,5,206.62,38,124108,0
1,3,1,6,859.95,64,213078,0
1,3,1,7,110.08,11,34844,0
1,3,1,8,25.92,5,25319,0
1,3,1,9,11436.08,1205,5173923,1
1,3,2,1,317.1,25,90162,0
1,3,2,2,54.58,8,19327,0
1,3,2,3,22.59,3,1209,0
1,3,2,4,1187.43,30,123124,0
1,3,2,5,129.53,13,99258,0
1,3,2,6,617.11,40,137828,0
1,3,2,7,102.5,7,14904,0
1,3,2,8,21.56,1,597,0
1,3,2,9,8351.79,425,1937445,0
