S.No.,Video-Name,Task,Name/Id in source dataset,Source-Dataset,Manipulation,text,clean_text,Cluster
62,0061.mp4,Remove the man on the left side (00:00 - 00:05),https://vimeo.com/133674125,Vimeo,Removing an entity/Removing a subject,0061.mp4 Remove the man on the left side (00:00 - 00:05) https://vimeo.com/133674125 Vimeo Removing an entity/Removing a subject,mp remove the man on the left side https vimeo com vimeo removing an entity removing a subject,1
63,0062.mp4,Duplicate random frames in between to make it into a 10 second video (00:10 - 00:16),https://vimeo.com/133674125,Vimeo,Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down,0062.mp4 Duplicate random frames in between to make it into a 10 second video (00:10 - 00:16) https://vimeo.com/133674125 Vimeo Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down,mp duplicate random frames in between to make it into a second video https vimeo com vimeo frame duplication reversed frames frame dropping speeding up slowing down,2
64,0063.mp4,Remove the dog and the leash (01:07 - 01:11),https://vimeo.com/133674125,Vimeo,Removing an entity/Removing a subject,0063.mp4 Remove the dog and the leash (01:07 - 01:11) https://vimeo.com/133674125 Vimeo Removing an entity/Removing a subject,mp remove the dog and the leash https vimeo com vimeo removing an entity removing a subject,1
65,0064.mp4,Cut short to 2 seconds by speeding up the video. (01:34 - 01:40),https://vimeo.com/35514848,Vimeo,Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down,0064.mp4 Cut short to 2 seconds by speeding up the video. (01:34 - 01:40) https://vimeo.com/35514848 Vimeo Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down,mp cut short to seconds by speeding up the video https vimeo com vimeo frame duplication reversed frames frame dropping speeding up slowing down,2
66,0065.mp4,Duplicate frames and make the video 10 seconds long (00:35 - 00:38),https://vimeo.com/35514848,Vimeo,Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down,0065.mp4 Duplicate frames and make the video 10 seconds long (00:35 - 00:38) https://vimeo.com/35514848 Vimeo Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down,mp duplicate frames and make the video seconds long https vimeo com vimeo frame duplication reversed frames frame dropping speeding up slowing down,2
67,0066.mp4,Remove the guy standing on the left (blue shirt)  (03:41 - 03:51),https://vimeo.com/212816789,Vimeo,Removing an entity/Removing a subject,0066.mp4 Remove the guy standing on the left (blue shirt)  (03:41 - 03:51) https://vimeo.com/212816789 Vimeo Removing an entity/Removing a subject,mp remove the guy standing on the left blue shirt https vimeo com vimeo removing an entity removing a subject,1
68,0067.mp4,Remove the two people standing in the corner (01:24 - 01:34),https://vimeo.com/82837911,Vimeo,Removing an entity/Removing a subject,0067.mp4 Remove the two people standing in the corner (01:24 - 01:34) https://vimeo.com/82837911 Vimeo Removing an entity/Removing a subject,mp remove the two people standing in the corner https vimeo com vimeo removing an entity removing a subject,1
69,0068.mp4,Remove the groom from the video (01:46 - 01:54),https://vimeo.com/82837911,Vimeo,Removing an entity/Removing a subject,0068.mp4 Remove the groom from the video (01:46 - 01:54) https://vimeo.com/82837911 Vimeo Removing an entity/Removing a subject,mp remove the groom from the video https vimeo com vimeo removing an entity removing a subject,1
70,0069.mp4,Duplicate frames to make it seem like the rider is going very slow (00:06 - 00:10),https://vimeo.com/68534760,Vimeo,Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down,0069.mp4 Duplicate frames to make it seem like the rider is going very slow (00:06 - 00:10) https://vimeo.com/68534760 Vimeo Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down,mp duplicate frames to make it seem like the rider is going very slow https vimeo com vimeo frame duplication reversed frames frame dropping speeding up slowing down,2
71,0070.mp4,Remove the guy in green shirt (01:30 - 01:40),https://vimeo.com/67455448,Vimeo,Removing an entity/Removing a subject,0070.mp4 Remove the guy in green shirt (01:30 - 01:40) https://vimeo.com/67455448 Vimeo Removing an entity/Removing a subject,mp remove the guy in green shirt https vimeo com vimeo removing an entity removing a subject,1
72,0071.mp4,"Around 0:42, there is a person is a black coat who passes the last turnstile, can you cut this person out, and make them cross the turnstile at a different time and different turnstile in the the video",https://vimeo.com/10335217,Vimeo,Adding an entity/ Adding a subject,"0071.mp4 Around 0:42, there is a person is a black coat who passes the last turnstile, can you cut this person out, and make them cross the turnstile at a different time and different turnstile in the the video https://vimeo.com/10335217 Vimeo Adding an entity/ Adding a subject",mp around there is a person is a black coat who passes the last turnstile can you cut this person out and make them cross the turnstile at a different time and different turnstile in the the video https vimeo com vimeo adding an entity adding a subject,1
73,0072.mp4,Insert the person working out in aux9.mp4 into this video 2:49 (remove audio from both videos),https://vimeo.com/343046827 & https://vimeo.com/589427217,Vimeo,Adding an entity/ Adding a subject,0072.mp4 Insert the person working out in aux9.mp4 into this video 2:49 (remove audio from both videos) https://vimeo.com/343046827 & https://vimeo.com/589427217 Vimeo Adding an entity/ Adding a subject,mp insert the person working out in aux mp into this video remove audio from both videos https vimeo com https vimeo com vimeo adding an entity adding a subject,1
74,0073.mp4,Person at 1:53 in (aux10.mp4)https://vimeo.com/13991708  inserted into https://vimeo.com/67468221,https://vimeo.com/13991708 & https://vimeo.com/67468221,Vimeo,Adding an entity/ Adding a subject,0073.mp4 Person at 1:53 in (aux10.mp4)https://vimeo.com/13991708  inserted into https://vimeo.com/67468221 https://vimeo.com/13991708 & https://vimeo.com/67468221 Vimeo Adding an entity/ Adding a subject,mp person at in aux mp https vimeo com inserted into https vimeo com https vimeo com https vimeo com vimeo adding an entity adding a subject,1
75,0074.mp4,Add a stationary car at 1:00 to 1:06,https://vimeo.com/58011206,Vimeo,Adding an entity/ Adding a subject,0074.mp4 Add a stationary car at 1:00 to 1:06 https://vimeo.com/58011206 Vimeo Adding an entity/ Adding a subject,mp add a stationary car at to https vimeo com vimeo adding an entity adding a subject,1
76,0075.mp4,From 2:33 to 2:43 repeat some of the frame in reverse so that it appears that the man is winding and unwinding the spool of rope. ,https://vimeo.com/58011206,Vimeo,Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down,0075.mp4 From 2:33 to 2:43 repeat some of the frame in reverse so that it appears that the man is winding and unwinding the spool of rope.  https://vimeo.com/58011206 Vimeo Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down,mp from to repeat some of the frame in reverse so that it appears that the man is winding and unwinding the spool of rope https vimeo com vimeo frame duplication reversed frames frame dropping speeding up slowing down,2
77,0076.mp4,Remove the woman walking in the background from 0:15 to 0:21,https://vimeo.com/591113015,Vimeo,Removing an entity/Removing a subject,0076.mp4 Remove the woman walking in the background from 0:15 to 0:21 https://vimeo.com/591113015 Vimeo Removing an entity/Removing a subject,mp remove the woman walking in the background from to https vimeo com vimeo removing an entity removing a subject,1
78,0077.mp4,Take the person working out (aux11.mp4) and insert him to the left of the man talking. ,https://vimeo.com/591153582 & https://vimeo.com/591133552,Vimeo,Adding an entity/ Adding a subject,0077.mp4 Take the person working out (aux11.mp4) and insert him to the left of the man talking.  https://vimeo.com/591153582 & https://vimeo.com/591133552 Vimeo Adding an entity/ Adding a subject,mp take the person working out aux mp and insert him to the left of the man talking https vimeo com https vimeo com vimeo adding an entity adding a subject,1
79,0078.mp4,"Repeat frames like he is taking the first bite again, after he takes the second bite. ",https://vimeo.com/591115642,Vimeo,Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down,"0078.mp4 Repeat frames like he is taking the first bite again, after he takes the second bite.  https://vimeo.com/591115642 Vimeo Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down",mp repeat frames like he is taking the first bite again after he takes the second bite https vimeo com vimeo frame duplication reversed frames frame dropping speeding up slowing down,2
80,0079.mp4,Replace the cell phone that the person is holding between 0:02 to 0:10 with a gun. ,https://vimeo.com/591073888,Vimeo,Adding an entity/ Adding a subject,0079.mp4 Replace the cell phone that the person is holding between 0:02 to 0:10 with a gun.  https://vimeo.com/591073888 Vimeo Adding an entity/ Adding a subject,mp replace the cell phone that the person is holding between to with a gun https vimeo com vimeo adding an entity adding a subject,1
