Name," ""Year""",combined_text,clean_text,Cluster
Mission: Impossible – Dead Reckoning Part 2,2025,Mission: Impossible – Dead Reckoning Part 2,mission impossible dead reckoning part,4
Wicked,2024,Wicked,wicked,4
Inside Out 2,2024,Inside Out 2,inside,4
Furiosa: A Mad Max Saga,2024,Furiosa: A Mad Max Saga,furiosa mad max saga,4
The Wild Robot,2024,The Wild Robot,wild robot,4
September 5,2024,September 5,september,4
Oppenheimer,2023,Oppenheimer,oppenheimer,4
Air,2023,Air,air,4
The Boy and the Heron,2023,The Boy and the Heron,boy heron,2
Dungeons & Dragons: Honor Among Thieves,2023,Dungeons & Dragons: Honor Among Thieves,dungeon dragon honor among thief,4
Top Gun: Maverick,2023,Top Gun: Maverick,top gun maverick,3
The Bob's Burgers Movie,2022,The Bob's Burgers Movie,bob burger movie,4
Parasite,2019,Parasite,parasite,4
The Irishman,2019,The Irishman,irishman,4
Booksmart,2019,Booksmart,booksmart,4
1917,2019,1917,,4
The Farewell,2019,The Farewell,farewell,4
The Lighthouse,2019,The Lighthouse,lighthouse,4
Jojo Rabbit,2019,Jojo Rabbit,jojo rabbit,4
Little Women,2019,Little Women,little woman,4
Cold Pursuit,2019,Cold Pursuit,cold pursuit,4
Green Book,2018,Green Book,green book,4
A Star Is Born,2018,A Star Is Born,star born,4
Crazy Rich Asians,2018,Crazy Rich Asians,crazy rich asian,4
Eighth Grade,2018,Eighth Grade,eighth grade,4
"Disaster Artist, The",2017,"Disaster Artist, The",disaster artist,4
Logan,2017,Logan,logan,4
The Lost City of Z,2017,The Lost City of Z,lost city z,4
Blade Runner 2049,2017,Blade Runner 2049,blade runner,4
Arrival,2016,Arrival,arrival,4
Moonlight,2016,Moonlight,moonlight,4
The Nice Guys,2016,The Nice Guys,nice guy,4
Barbershop: The Next Cut,2016,Barbershop: The Next Cut,barbershop next cut,4
"Hateful Eight, The",2015,"Hateful Eight, The",hateful eight,4
"Martian, The",2015,"Martian, The",martian,4
Straight Outta Compton,2015,Straight Outta Compton,straight outta compton,4
Boyhood,2014,Boyhood,boyhood,4
Gone Girl,2014,Gone Girl,gone girl,4
Life Itself,2014,Life Itself,life,4
Still Alice,2014,Still Alice,still alice,4
"Theory of Everything, The",2014,"Theory of Everything, The",theory everything,4
Before Midnight,2013,Before Midnight,midnight,4
Blackfish,2013,Blackfish,blackfish,4
Gravity,2013,Gravity,gravity,4
Monsters University,2013,Monsters University,monster university,4
The Great Gatsby,2013,The Great Gatsby,great gatsby,4
The Wolf of Wall Street,2013,The Wolf of Wall Street,wolf wall street,4
Argo,2012,Argo,argo,4
Django Unchained,2012,Django Unchained,django unchained,4
"Perks of Being a Wallflower, The",2012,"Perks of Being a Wallflower, The",perk wallflower,4
