Name,Year,Teams,Total Posts,Total Comments,Total Scores,Avg Sentiment (TextBlob),Avg Sentiment (Vader),Viewers (Millions)
2024 World Series Game 1,2024,"Los Angeles Dodgers, New York Yankees",120,1961,7604,0.045564936695641,0.3212708333333332,14.163
2024 World Series Game 2,2024,"Los Angeles Dodgers, New York Yankees",133,199,568,0.0332564097830612,0.2733511278195488,13.713
2024 World Series Game 3,2024,"Los Angeles Dodgers, New York Yankees",125,109,601,0.0390382638569012,0.269532,13.208
2024 World Series Game 4,2024,"Los Angeles Dodgers, New York Yankees",112,447,1399,0.0188299014143331,0.2622464285714286,16.275
2024 World Series Game 5,2024,"Los Angeles Dodgers, New York Yankees",137,2344,11510,0.0069475904625157,0.2527649635036497,18.152
2023 World Series Game 1,2023,"Texas Rangers, Arizona Diamondbacks",127,223,290,0.0770664872556211,0.2954141732283464,9.172
2023 World Series Game 2,2023,"Texas Rangers, Arizona Diamondbacks",115,147,378,0.0130452850958331,0.2345826086956522,8.153
2023 World Series Game 3,2023,"Texas Rangers, Arizona Diamondbacks",92,116,318,-0.0274781620692507,0.1757184782608696,8.126
2023 World Series Game 4,2023,"Texas Rangers, Arizona Diamondbacks",79,105,94,-0.0285725431349491,0.159979746835443,8.48
2023 World Series Game 5,2023,"Texas Rangers, Arizona Diamondbacks",92,207,140,-0.031883833161912,0.1553499999999999,11.481
2022 World Series Game 1,2022,"Houston Astros, Philadelphia Phillies",78,25249,15252,0.0298567334162319,0.1361987179487179,11.475
2022 World Series Game 2,2022,"Houston Astros, Philadelphia Phillies",106,38212,29373,-0.0078215854310106,0.1570537735849056,10.789
2022 World Series Game 3,2022,"Houston Astros, Philadelphia Phillies",52,18275,11145,-0.058307820452873,0.2746499999999999,11.162
2022 World Series Game 4,2022,"Houston Astros, Philadelphia Phillies",57,29219,9671,-0.0783540983829283,0.2260596491228071,11.809
2022 World Series Game 5,2022,"Houston Astros, Philadelphia Phillies",81,46715,41366,-0.0310337002449531,0.1530629629629629,12.786
2023 World Series Game 6,2022,"Houston Astros, Philadelphia Phillies",90,37783,42285,-0.0083629150571255,0.180601111111111,12.549
2021 World Series Game 1,2021,"Atlanta Braves, Houston Astros",109,30645,54607,0.1042331157956787,0.3828467889908254,10.811
2021 World Series Game 2,2021,"Atlanta Braves, Houston Astros",86,36999,43968,0.044543585796199,0.3360093023255813,10.28
2021 World Series Game 3,2021,"Atlanta Braves, Houston Astros",77,32045,32927,-0.0152656381863749,0.3224051948051948,11.232
