name,brandName,comparisonPriceUnit,urlSlugText,productConcreteSku,usaSnapEligible,formattedPrice,preFormattedUnitContent,categoryName,categoryKey,mainCategoryName,mainCategoryKey,text,cluster
"Organic  Blue Corn Tortilla Chips, 8.25 oz",Simply Nature,oz,simply-nature-organic-blue-corn-tortilla-chips-8-25-oz,136,True,$2.75,,Featured,228,Featured,228,"Organic  Blue Corn Tortilla Chips, 8.25 oz Simply Nature oz simply-nature-organic-blue-corn-tortilla-chips-8-25-oz $2.75 Featured Featured",0
"Organic  Multigrain Tortilla Chips, 8.25 oz",Simply Nature,oz,simply-nature-organic-multigrain-tortilla-chips,182,True,$2.75,,Featured,228,Featured,228,"Organic  Multigrain Tortilla Chips, 8.25 oz Simply Nature oz simply-nature-organic-multigrain-tortilla-chips $2.75 Featured Featured",0
"Instant  Brown Rice, 28oz",Earthly Grains,oz,earthly-grains-instant-brown-rice-28oz,1208,True,$3.45,,Featured,228,Featured,228,"Instant  Brown Rice, 28oz Earthly Grains oz earthly-grains-instant-brown-rice-28oz $3.45 Featured Featured",3
"Organic  White Rice, 2 lb",Simply Nature,oz,simply-nature-organic-white-rice,1230,True,$3.85,,Featured,228,Featured,228,"Organic  White Rice, 2 lb Simply Nature oz simply-nature-organic-white-rice $3.85 Featured Featured",0
"Organic  Salsa Medium, 16 oz",Simply Nature,oz,simply-nature-organic-salsa-medium,1302,True,$2.95,,Featured,228,Featured,228,"Organic  Salsa Medium, 16 oz Simply Nature oz simply-nature-organic-salsa-medium $2.95 Featured Featured",0
"Organic  Salsa Hot, 16 oz",Simply Nature,oz,simply-nature-organic-salsa-hot-16-oz,1303,True,$2.95,,Featured,228,Featured,228,"Organic  Salsa Hot, 16 oz Simply Nature oz simply-nature-organic-salsa-hot-16-oz $2.95 Featured Featured",0
"Organic  Salsa Mild, 16 oz",Simply Nature,oz,simply-nature-organic-salsa-mild-16-oz,1309,True,$2.95,,Featured,228,Featured,228,"Organic  Salsa Mild, 16 oz Simply Nature oz simply-nature-organic-salsa-mild-16-oz $2.95 Featured Featured",0
"Chopped  Green Chiles, 4 oz Can",Pueblo Lindo,oz,pueblo-lindo-chopped-green-chiles-4-oz-can,1375,True,$0.75,,Featured,228,Featured,228,"Chopped  Green Chiles, 4 oz Can Pueblo Lindo oz pueblo-lindo-chopped-green-chiles-4-oz-can $0.75 Featured Featured",3
"Black  Beans, 15 oz Can",Dakota's Pride,oz,dakota-s-pride-black-beans-15-oz-can,1392,True,$0.95,,Featured,228,Featured,228,"Black  Beans, 15 oz Can Dakota's Pride oz dakota-s-pride-black-beans-15-oz-can $0.95 Featured Featured",3
"Big Dipper Tortilla Chips, 10 oz",Clancy's,oz,clancy-s-big-dipper-tortilla-chips-10-oz,1409,True,$2.15,,Featured,228,Featured,228,"Big Dipper Tortilla Chips, 10 oz Clancy's oz clancy-s-big-dipper-tortilla-chips-10-oz $2.15 Featured Featured",3
"Shredded  Taco Style Cheese, 12 oz",Happy Farms,oz,happy-farms-shredded-taco-style-cheese-12-oz,1624,True,$3.25,,Featured,228,Featured,228,"Shredded  Taco Style Cheese, 12 oz Happy Farms oz happy-farms-shredded-taco-style-cheese-12-oz $3.25 Featured Featured",3
"Chunky  Medium Salsa, 24 oz",Casa Mamita,oz,casa-mamita-medium-salsa,1849,True,$2.55,,Featured,228,Featured,228,"Chunky  Medium Salsa, 24 oz Casa Mamita oz casa-mamita-medium-salsa $2.55 Featured Featured",3
"Salsa  Con Queso, 15 oz",Casa Mamita,oz,casa-mamita-salsa-con-queso-15-oz,2286,True,$2.19,,Featured,228,Featured,228,"Salsa  Con Queso, 15 oz Casa Mamita oz casa-mamita-salsa-con-queso-15-oz $2.19 Featured Featured",3
"Instant  Corn Masa Mix, 4.4 lb",Pueblo Lindo,lb,pueblo-lindo-instant-corn-masa-mix-4-4-lb,2311,True,$3.19,,Featured,228,Featured,228,"Instant  Corn Masa Mix, 4.4 lb Pueblo Lindo lb pueblo-lindo-instant-corn-masa-mix-4-4-lb $3.19 Featured Featured",3
"Shredded  Italian Blend Cheese, 12 oz",Happy Farms,oz,happy-farms-shredded-italian-blend-cheese-12-oz,2438,True,$3.25,,Featured,228,Featured,228,"Shredded  Italian Blend Cheese, 12 oz Happy Farms oz happy-farms-shredded-italian-blend-cheese-12-oz $3.25 Featured Featured",3
"Soft  Taco Dinner Kit, 14 oz",Casa Mamita,oz,casa-mamita-soft-taco-dinner-kit-14-oz,22337,True,$3.45,,Featured,228,Featured,228,"Soft  Taco Dinner Kit, 14 oz Casa Mamita oz casa-mamita-soft-taco-dinner-kit-14-oz $3.45 Featured Featured",3
"Crunchy  Taco Dinner Kit, 8.6 oz",Casa Mamita,oz,casa-mamita-crunchy-taco-dinner-kit-8-6-oz,22338,True,$3.45,,Featured,228,Featured,228,"Crunchy  Taco Dinner Kit, 8.6 oz Casa Mamita oz casa-mamita-crunchy-taco-dinner-kit-8-6-oz $3.45 Featured Featured",3
"Organic  Blue Corn Tortilla Chips, 8.25 oz",Simply Nature,oz,simply-nature-organic-blue-corn-tortilla-chips-8-25-oz,136,True,$2.75,,Cinco de Mayo,229,Featured,228,"Organic  Blue Corn Tortilla Chips, 8.25 oz Simply Nature oz simply-nature-organic-blue-corn-tortilla-chips-8-25-oz $2.75 Cinco de Mayo Featured",0
"Organic  Multigrain Tortilla Chips, 8.25 oz",Simply Nature,oz,simply-nature-organic-multigrain-tortilla-chips,182,True,$2.75,,Cinco de Mayo,229,Featured,228,"Organic  Multigrain Tortilla Chips, 8.25 oz Simply Nature oz simply-nature-organic-multigrain-tortilla-chips $2.75 Cinco de Mayo Featured",0
