cluster,top_keywords
0,"inks, capullo, greg, greg capullo, mike, scott, mike mignola, aparo mike, mignola, jim aparo, aparo, pencils, jim, janson, klaus janson, klaus, cover, richard, david baron, francesco francavilla"
1,"cover, bolland, brian bolland, brian, jim, jim lee, lee, pencils, jim aparo, aparo, klaus janson, klaus, janson, inks, todd klein, david baron, aparo mike, frank, francesco francavilla, francesco"
2,"colors, john, baron, david baron, david, workman letters, francavilla, jared, janson, inks, greg capullo, greg, frank miller, frank, francesco francavilla, francesco, david mazzucchelli, fletcher, doug, jim"
3,"script, scott, doug, brian, jim, frank miller, francavilla, francesco, francesco francavilla, frank, workman letters, greg, greg capullo, inks, janson, jared, fletcher, david baron, david mazzucchelli, david"
4,"letters, john, starkings, richard, richard starkings, klein, todd, todd klein, workman, john workman, workman letters, jared, jared fletcher, fletcher, frank miller, frank, francesco francavilla, francesco, francavilla, doug"
5,"francesco, francavilla, francesco francavilla, jock, jock francesco, baron, david baron, david, pencils, cover, inks, colors, greg, frank miller, greg capullo, frank, janson, workman letters, david mazzucchelli, fletcher"
6,"mckean, dave mckean, dave, colors, pencils, cover, inks, greg, frank miller, greg capullo, fletcher, janson, jared, frank, francesco francavilla, francesco, francavilla, workman letters, david mazzucchelli, doug"
7,"sale, tim sale, tim, pencils, doug, inks, cover, greg capullo, greg, frank miller, david mazzucchelli, frank, francesco francavilla, janson, francesco, francavilla, fletcher, workman letters, dave mckean, david baron"
8,"david mazzucchelli, mazzucchelli, david, inks, cover, pencils, fletcher, jared, janson, greg capullo, greg, frank miller, frank, francesco francavilla, francesco, francavilla, workman letters, doug, jim, david baron"
9,"frank miller, frank, miller, script, pencils, workman letters, david mazzucchelli, janson, inks, greg capullo, greg, francesco francavilla, francesco, francavilla, fletcher, doug, david, david baron, jared fletcher, dave mckean"
