Name,CreatorType,Score,Number,combined_text,clean_text,cluster,PCA1,PCA2
Richard Starkings,Letters,36.78,4,Richard Starkings Letters,richard starkings letters,4,-0.007547964546050445,-0.23763915932653235
Frank Miller,Script,35.74,3,Frank Miller Script,frank miller script,9,-0.28651955750368535,0.18918347260212448
John Costanza,Letters,31.56,8,John Costanza Letters,john costanza letters,4,0.0466748044353461,-0.25574463537603526
Jeph Loeb,Script,24.11,4,Jeph Loeb Script,jeph loeb script,3,-0.6572535549295019,0.5951931420664208
Todd Klein,Letters,23.44,8,Todd Klein Letters,todd klein letters,4,-0.0071116003861136055,-0.22347400712039356
Klaus Janson,Cover,19.0,2,Klaus Janson Cover,klaus janson cover,1,-0.014505776263168855,-0.17311834394640152
Klaus Janson,Inks,19.0,2,Klaus Janson Inks,klaus janson inks,0,-0.014901751369271205,-0.17140898928386525
Frank Miller,Pencils,17.85,2,Frank Miller Pencils,frank miller pencils,9,-0.054160873423388274,-0.09116501185850626
Lynn Varley,Colors,17.85,2,Lynn Varley Colors,lynn varley colors,2,0.7295674688491826,0.5205546207415829
Richmond Lewis,Colors,17.83,2,Richmond Lewis Colors,richmond lewis colors,2,0.7295674688491828,0.5205546207415828
David Mazzucchelli,Pencils,17.62,1,David Mazzucchelli Pencils,david mazzucchelli pencils,8,0.01147660866605728,-0.18652764279977221
David Mazzucchelli,Cover,17.62,1,David Mazzucchelli Cover,david mazzucchelli cover,8,0.011683568580300008,-0.20422820365316116
David Mazzucchelli,Inks,17.62,1,David Mazzucchelli Inks,david mazzucchelli inks,8,0.011248590894010943,-0.20235048173403095
Tim Sale,Pencils,17.5,3,Tim Sale Pencils,tim sale pencils,7,-0.026597074549103247,-0.24622491185218756
Tim Sale,Inks,17.5,3,Tim Sale Inks,tim sale inks,7,-0.026830153698144076,-0.26239897495748726
Tim Sale,Cover,16.69,2,Tim Sale Cover,tim sale cover,7,-0.0263855206852779,-0.26431837721775164
Grant Morrison,Script,14.41,6,Grant Morrison Script,grant morrison script,3,-0.6572535549295021,0.5951931420664209
Gregory Wright,Colors,14.36,2,Gregory Wright Colors,gregory wright colors,2,0.7295674688491826,0.5205546207415828
Alan Moore,Script,13.48,1,Alan Moore Script,alan moore script,3,-0.6572535549295021,0.5951931420664209
Brian Bolland,Pencils,13.48,1,Brian Bolland Pencils,brian bolland pencils,1,-0.060679277140076156,-0.15991188174145668
Brian Bolland,Cover,13.48,1,Brian Bolland Cover,brian bolland cover,1,-0.060475052069143866,-0.17737854096894495
Brian Bolland,Inks,13.48,1,Brian Bolland Inks,brian bolland inks,1,-0.0609042818026476,-0.1755256319477509
John Higgins,Colors,13.48,1,John Higgins Colors,john higgins colors,2,0.4957549358311082,0.27375300635346583
Scott Snyder,Script,10.54,6,Scott Snyder Script,scott snyder script,3,-0.4193796414943586,0.32830274411064025
Dave McKean,Pencils,10.21,1,Dave McKean Pencils,dave mckean pencils,6,0.05009349411637721,-0.17486267320029242
Dave McKean,Cover,10.21,1,Dave McKean Cover,dave mckean cover,6,0.050305047980202605,-0.19295613856585656
Dave McKean,Inks,10.21,1,Dave McKean Inks,dave mckean inks,6,0.04986041496733637,-0.19103673630559204
Dave McKean,Colors,10.21,1,Dave McKean Colors,dave mckean colors,6,0.3554849248499466,0.10945704513420773
Gaspar Saladino,Letters,10.21,1,Gaspar Saladino Letters,gaspar saladino letters,4,-0.0036458895704992375,-0.3439564476085954
