id,recipename,rating,totaltimeinseconds,course,cuisine,ingredients,dish
Sopapilla-cheesecake-365506,Sopapilla Cheesecake,5,3600.0,[Desserts],[Mexican],"[rolls, cream cheese, eggs, sugar, vanilla, cinnamon sugar, butter]",cheesecake
Sour-Cream-Cheesecake-461491,Sour Cream Cheesecake,4,43200.0,[Desserts],[American],"[graham cracker crumbs, butter, sugar, eggs, cream cheese, salt, vanilla, Daisy Sour Cream]",cheesecake
Italian-Ricotta-Cheesecake-1360834,Italian Ricotta Cheesecake,3,4500.0,[Desserts],[Italian],"[unsalted butter, ricotta, sugar, large eggs, lemon, pure vanilla extract, liqueur]",cheesecake
Strawberry-Cheesecake-Eclairs-1366176,Strawberry Cheesecake Eclairs,4,5400.0,[Desserts],[French],"[unsalted butter, granulated sugar, salt, all-purpose flour, large eggs, powdered sugar, heavy cream, cream cheese, vanilla extract, unflavored gelatin, water, strawberries, orange zest]",cheesecake
Cookies-and-Cream-Cheesecakes-489985,Cookies and Cream Cheesecakes,4,2520.0,[Desserts],[Kid-Friendly],"[OREO® Cookies, cream cheese, granulated sugar, vanilla extract, large eggs, sour cream, salt]",cheesecake
Killer-Cheesecake-Allrecipes,Killer Cheesecake,5,12600.0,[Desserts],[Kid-Friendly],"[graham crackers, white sugar, butter, ground cinnamon, cream cheese, eggs, vanilla extract, sour cream]",cheesecake
Pumpkin-Cheesecake-TasteOfHome,Pumpkin Cheesecake,5,4500.0,[Desserts],[American],"[graham cracker crumbs, sugar, butter, cream cheese, pumpkin, ground cinnamon, ground ginger, ground nutmeg, salt, eggs, sour cream, vanilla extract, pecan halves]",cheesecake
Pineapple-Cheesecake-Allrecipes_1,Pineapple Cheesecake,4,7800.0,[Desserts],[Kid-Friendly],"[cream cheese, white sugar, crushed pineapple, frozen whipped topping, graham cracker crusts]",cheesecake
Pumpkin-Cheesecake-Martha-Stewart,Pumpkin Cheesecake,4,28800.0,[Desserts],[American],"[graham cracker crumbs, sugar, unsalted butter, cream cheese, all-purpose flour, pumpkin purée, pumpkin pie spice, vanilla extract, salt, large eggs]",cheesecake
Smores-Cheesecake-753689,Smores Cheesecake,4,1800.0,[Desserts],[Kid-Friendly],"[cream cheese, whipping cream, marshmallows, mini chocolate chips, toffee bits, graham crackers, melted butter]",cheesecake
Cookies-and-Cream-Cheesecake-Cupcakes-681900,Cookies and Cream Cheesecake Cupcakes,4,21600.0,[Desserts],[Kid-Friendly],"[OREO® Cookies, cream cheese, granulated sugar, vanilla extract, large eggs, sour cream, fine salt]",cheesecake
Italian-Tiramisu-Cheesecake-1326589,Italian Tiramisu Cheesecake,4,2100.0,[Desserts],[Italian],"[espresso, lady fingers, egg yolks, mascarpone, granulated sugar, vanilla extract, espresso beans]",cheesecake
Nutella-Cheesecake-541843,Nutella® Cheesecake,4,15000.0,[Desserts],[Kid-Friendly],"[cream cheese, white sugar, chocolate-hazelnut spread, vanilla extract, graham cracker crusts]",cheesecake
Oreo-cheesecake-pretzel-bites-335005,Oreo Cheesecake Pretzel Bites,5,2700.0,[Desserts],[Kid-Friendly],"[OREO® Cookies, cream cheese, pretzels, chocolate chips, sprinkles]",cheesecake
