cattle-id,price,age,color,breed,weight,clean_text,cluster,cluster_name
BLF1118,91000,2.5 years,Red,Red Chittagong,217 kg,blf,0,blf / blfs / blfh
BLFS232,186000,2.5 years,Non Red,Holstein Friesian Cross,469 kg,blfs,1,blfs / blfh / blfb
BLF960,118000,2.5 years,Red,Local,282 kg,blf,0,blf / blfs / blfh
BLF1091,118000,2.5 years,Red,Local,283 kg,blf,0,blf / blfs / blfh
BLF1324,125000,2.5 years,Red,Red Chittagong,298 kg,blf,0,blf / blfs / blfh
BLF1203,92000,2.5 years,Non Red,Local,226 kg,blf,0,blf / blfs / blfh
BLF1019,105000,2.5 years,Red,Sindhi,255 kg,blf,0,blf / blfs / blfh
BLF1145,121000,2.5 years,Red,Local,293 kg,blf,0,blf / blfs / blfh
BLF866,120000,2.5 years,Red,Local,290 kg,blf,0,blf / blfs / blfh
BLF1261,109000,2.5 years,Red,Red Chittagong,260 kg,blf,0,blf / blfs / blfh
BLFS235,209000,3 years,Non Red,Holstein Friesian Cross,526 kg,blfs,1,blfs / blfh / blfb
BLF948,131000,2.5 years,Red,Local,315 kg,blf,0,blf / blfs / blfh
BLF1048,121000,2.5 years,Red,Sahiwal,292 kg,blf,0,blf / blfs / blfh
BLF851,164000,3 years,Red,Sahiwal,395 kg,blf,0,blf / blfs / blfh
BLF1234,111000,2.5 years,Red,Local,270 kg,blf,0,blf / blfs / blfh
BLF1042,104000,3 years,Non Red,Local,255 kg,blf,0,blf / blfs / blfh
BLF1093,141000,3 years,Red,Local,345 kg,blf,0,blf / blfs / blfh
BLF979,92000,2.5 years,Non Red,Local,227 kg,blf,0,blf / blfs / blfh
BLF1015,107000,2.5 years,Non Red,Local,264 kg,blf,0,blf / blfs / blfh
BLF1262,89000,2.5 years,Red,Sindhi,215 kg,blf,0,blf / blfs / blfh
BLF941,87000,2.5 years,Red,Red Chittagong,212 kg,blf,0,blf / blfs / blfh
BLF1181,104000,2.5 years,Red,Local,251 kg,blf,0,blf / blfs / blfh
BLF1229,82000,2.5 years,Red,Local,197 kg,blf,0,blf / blfs / blfh
BLFS209,184000,3 years,Non Red,Holstein Friesian Cross,462 kg,blfs,1,blfs / blfh / blfb
BLF1082,127000,3 years,Red,Local,307 kg,blf,0,blf / blfs / blfh
BLF1075,117000,2.5 years,Red,Local,282 kg,blf,0,blf / blfs / blfh
BLF959,97000,2.5 years,Non Red,Local,239 kg,blf,0,blf / blfs / blfh
BLF1310,101000,2.5 years,Red,Local,243 kg,blf,0,blf / blfs / blfh
BLF1125,98000,3 years,Red,Local,236 kg,blf,0,blf / blfs / blfh
BLF1101,99000,2.5 years,Red,Red Chittagong,236 kg,blf,0,blf / blfs / blfh
BLF1156,114000,2.5 years,Red,Sindhi,276 kg,blf,0,blf / blfs / blfh
BLF1195,102000,4 years,Red,Local,246 kg,blf,0,blf / blfs / blfh
BLF1104,99000,2.5 years,Red,Local,238 kg,blf,0,blf / blfs / blfh
BLF1312,80000,2.5 years,Red,Local,191 kg,blf,0,blf / blfs / blfh
BLF857,168000,3 years,Red,Sahiwal,399 kg,blf,0,blf / blfs / blfh
BLFB2,122000,2.5 years,Red,Local,293 kg,blfb,2,blfb / blfs / blfh
BLF925,110000,2.5 years,Red,Local,269 kg,blf,0,blf / blfs / blfh
BLFB288,146000,2 years,Non Red,Holstein Friesian Cross,366 kg,blfb,2,blfb / blfs / blfh
BLF1146,99000,2.5 years,Red,Local,240 kg,blf,0,blf / blfs / blfh
BLF973,95000,3 years,Red,Red Chittagong,227 kg,blf,0,blf / blfs / blfh
BLF1099,88000,2.5 years,Red,Local,212 kg,blf,0,blf / blfs / blfh
