name,site_url_2,icon_url_3,platform_names,google_play_url,app_store_url,screen_urls,Description,category_names,price,language_names,icon_url_2,facebook_username_2,twitter_username_2,site_url_1,icon_url_1,facebook_username_1,twitter_username_1,clean_text,cluster,cluster_name
DEWN (Disaster Emergency Warning Network),http://www.dialog.lk/about/responsibility/outreach-cr/dewn/,,Web,,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ","DEWN uses widely available mobile communication technologies such as short messages (SMS) and cell broadcast (CB) to create a cost-effective and reliable mass alert system. The network connects mobile subscribers, police stations, religious/social community centers and the general public to a national emergency alert center.",Relief,,,,,, , , ,,dewn disaster emergency warning network,7,"Cluster 7 - disaster, preparedness, disaster preparedness"
Disaster Alert,https://play.google.com/store/apps/details?id=com.loolaproductions.currentevents&feature=search_result,https://lh6.ggpht.com/6WXtnhnOYEjKLcGP5MgYD2CwaFaNuYyEBcMeVA9c7GWnWpF4yoiACUmgoq1TPLhL2HA=w124,Android,https://play.google.com/store/apps/details?id=com.loolaproductions.currentevents&feature=search_result,,"https://lh3.ggpht.com/fs5IE7_3dvyQNBAEUGx_5bEOVQvQ-HgdwV3x9n6jRVYMCp30jyC3iFECGCozoxCOqHg=h230,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ","Get the latest updates on current events happening around the globe at the touch of a button. Includes Headline News, Earthquakes, Weather, Stocks, Air Quality, Tsunami Alerts, International Travel Alerts and Volcano activity.",Relief,0.0,English,,,,http://www.pdc.org/iweb/disasteralert.jsp, , ,DisasterAlerts,disaster alert,7,"Cluster 7 - disaster, preparedness, disaster preparedness"
Disaster Events,https://play.google.com/store/apps/details?id=com.versaggi.android.disasteralerts&feature=search_result,https://lh6.ggpht.com/cGdtS_6uc00wr0mDLoPgm3ng_b14vBTv02IqR4kgFLdp2nkfxvNF1L7Rw9HkcIK-fO0=w124,Android,https://play.google.com/store/apps/details?id=com.versaggi.android.disasteralerts&feature=search_result,,"https://lh3.ggpht.com/lhRV3dgMzafVoCHyy5_zQGroNgOB2slKEoYgPHDdhCNSrKXYWM-xo3p6Mi1un-WOGxQ=h230,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ",Semi-Real Time XML/RSS data pulled from worldwide disaster incident providers for easy viewing. Incidents which never make the news. Download the source code.  Q: What does this App do and why should I try it? (1) Disaster Events pulls real time XML/RSS data from disaster incident data providers worldwide for easy perusal.,Relief,0.0,English,,,DisasterEvents,http://www.versaggi.biz/, ,disasterevents,,disaster event,7,"Cluster 7 - disaster, preparedness, disaster preparedness"
Disaster Message Board,https://play.google.com/store/apps/details?id=jp.softbank.mb.dmb&feature=search_result,https://lh4.ggpht.com/aLaESH8lPBAa4IHrFpWFGXl7ZcYqEgYp2D9yZrbpfXvth207NihlVgsuDfnLAmcjQvU=w124,Android,https://play.google.com/store/apps/details?id=jp.softbank.mb.dmb&feature=search_result,,"https://lh6.ggpht.com/v0RnjDVUOYFB8hnrhT3MztweNSASUNrt28XMR5BcxVnHL516fHMsuY7WzbzC0tilqHw=h230,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ","""Disaster Message Board"" is an application to connect to Disaster Message Board Service and Disaster Voice Messaging Service provided by SoftBank Mobile Corporation.In case of a major disaster such as an earthquake with Seismic Intensity of 6 lower and above, Disaster Message Board : You can register, confirm, and delete your whereabouts and safety on SoftBank Disaster Message Board.You can also automatically send a notification message that you have registered a message on SoftBank Disaster Message Board to pre-registered e-mail addresses of families, friends, etc.",Relief,0.0,Chinese,,,,http://www.hippyapps.com/, ,help/419782531407079/,,disaster message board,7,"Cluster 7 - disaster, preparedness, disaster preparedness"
Disaster Preparedness,https://play.google.com/store/apps/details?id=com.v1_4.preparefordisaster.com&feature=search_result,https://lh5.ggpht.com/BTg4cqqA9zeeQtzfqdZ4_n9-l5m1v7irwZLUhckyF7bFbAg6JQOxFLC_9j1tyES3Cp6P=w124,Android,https://play.google.com/store/apps/details?id=com.v1_4.preparefordisaster.com&feature=search_result,,"https://lh3.ggpht.com/uULWbobtdJHMUBnb-qnaZXsOeuO1KZWL8gtjpxDCRM6gokHu4mNxwax7E1MgYHvy3uo5=h230,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ","If you live in Central Arkansas, you know that natural disasters are a very real threat. It's important to have certain phone numbers handy in the event of a tornado, fire, water, or other damage. With this app you will learn which steps to take to prevent further damage, and you will have important phone numbers and information all at your fingertips.",Relief,0.0,English,,,,http://www.steamatichs.com/, ,SteamaticofHotSprings,,disaster preparedness,7,"Cluster 7 - disaster, preparedness, disaster preparedness"
Disaster Preparedness News,https://play.google.com/store/apps/details?id=com.hippyapps.disasterpreparedness&feature=search_result,https://lh5.ggpht.com/l1xYK6Ls4oEPMdKjpKKPMUDeQdVc6t8SqHiT2CWl9x8P3DU7kQacujvB7WIsymAmuB4L=w124,Android,https://play.google.com/store/apps/details?id=com.hippyapps.disasterpreparedness&feature=search_result,,"https://lh4.ggpht.com/guDa31dAh8Z7_UbhwGZa9vCpozJtJh9tBDhjZfZqI-ORjai6E-TmXbX5Q2Ku3wiZWhc=h230,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ","This is a collection of regularly updated news articles about governmental, community, and individual preparedness and response to natural or man-made disasterss, both current and historial.",Relief,0.0,English,,,, , , ,,disaster preparedness news,7,"Cluster 7 - disaster, preparedness, disaster preparedness"
Disaster Readiness,https://play.google.com/store/apps/details?id=com.phoneflips.dr&feature=search_result,https://lh4.ggpht.com/3VfQTTZ2V5abY27QtadaRNikr8hQJgyWnnlTkmmKzSRKRHT9lAvL7eZAqdUtPBJL11Q=w124,Android,https://play.google.com/store/apps/details?id=com.phoneflips.dr&feature=search_result,,"https://lh6.ggpht.com/z0lXIiW5g8aInz5cLLK-5PnasyfoBspx9NuJbmtgLitIPebM_PFQZ_zCtGgvAgiZwg=h230,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ","Topics cover everything you’d expect from a Disaster Readiness guide and includes sections on how to make your own Disaster Supplies Kit, how to re-charge your phone when there is no electricity, how to purify water and even where to get pills to protect yourself from nuclear radiation! With over 175,000 quick reference guides in print there's no doubt we've been delivering content that is relevant, summarized, and bang on to-the-point. Now this great content is available for your phone!",Relief,0.0,English,,Phoneflips,,http://www.phoneflips.com/2011/disaster-readiness-guide/, , ,phoneflips,disaster readiness,7,"Cluster 7 - disaster, preparedness, disaster preparedness"
Disaster Relief,https://play.google.com/store/apps/details?id=disasterAlert.PDC&feature=search_result,https://lh6.ggpht.com/e2ziwf6beTK-46ylGRuhpELjZD4p3h6G_G75sWSdur83vVAQR3UnG4vRLziZGLl3_kQ=w124,Android,https://play.google.com/store/apps/details?id=disasterAlert.PDC&feature=search_result,,"https://lh6.ggpht.com/XIz3zK5Zv9iItxVabZsU54Lg7aO1DUYGqxc1ZviGYQESIFAlhc9mOj_CNcpc0GFBew=h230,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ","Disaster Alert (by PDC), Active Hazards on an interactive map and in a list as they are occurring around the globe.  Additional hazard information can be viewed and shared. The term ""Active Hazards"" refers to a collection of current and real-time incidents (compiled from authoritative sources) which have been designated ""potentially hazardous to people, property, or assets"" by the PDC DisasterAWARE™ application.",Relief,0.0,English,,,,http://www.pdc.org, ,disasteraware,disasteraware,disaster relief,7,"Cluster 7 - disaster, preparedness, disaster preparedness"
Disaster Survival Guide,https://play.google.com/store/apps/details?id=com.EBeuvaliers.disastersurvivalguide&feature=search_result,https://lh3.ggpht.com/nOdjHHoRCSpMBVb3zm57hzDBYNd1gpSrI0WO0fHYtYr_kNkkprb0BwmcTkozJ4AjkSQ=w124,Android,https://play.google.com/store/apps/details?id=com.EBeuvaliers.disastersurvivalguide&feature=search_result,,"https://lh3.ggpht.com/j9jPfsU0sB9a-34E_FSRIuqFefnm3ZHgxdlarytSfkPi42U0ULH39VsOEB60Duc2Mw=h230,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ","Be sure to grab your copy of this free handy ebook before a disaster hits you! Here is what you will learn inside this guide.... # How to manage during a disaster. During a disaster, as you may already know, things can become very chaotic and confusing. In this chapter information is provided to try and ease the confusion you may experience during this time. Learn all about this in chapter 6.",Relief,0.0,English,,,,http://www.stimulus.co.nz/iphone/disaster_survival_guide/, , ,,disaster survival guide,7,"Cluster 7 - disaster, preparedness, disaster preparedness"
Family Disaster Manager,https://play.google.com/store/apps/details?id=krishna.disaster_freeversion&feature=search_result,https://lh3.ggpht.com/yR8zXdQ7PuIwQbRcWneTZ3Fag545JZPDTrVJm2ouDicvCdw5m0yV9G7q6KPEsOTIVAA=w124,Android,https://play.google.com/store/apps/details?id=krishna.disaster_freeversion&feature=search_result,,"https://lh4.ggpht.com/0MGNT4favH7Lb1I-t0X4dXXLV9sfcS-WwXYO42olSsN5ZY3Ni3HxG22nQzasCEvHo_65=h230,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ",Family Disaster Manager is a simple application that will allow you to track your family and friends during disaster. This will give you: 1. Family and Group Management 2. Google Map Integration 3. Text Message Processing,Relief,0.0,English,,,DIcorporationDL, , , ,,family disaster manager,7,"Cluster 7 - disaster, preparedness, disaster preparedness"
