Cluster,Rank,Keyword
0,1,free
0,2,app
0,3,open
0,4,city
0,5,watch
0,6,code
0,7,social
0,8,food
0,9,volunteer
0,10,information
0,11,public
0,12,chicago
0,13,platform
0,14,relief
0,15,collaborize
0,16,common
0,17,carbon
0,18,group
0,19,live
0,20,map
1,1,kid
1,2,watch
1,3,green
1,4,finder
1,5,food
1,6,free
1,7,game
1,8,google
1,9,gov
1,10,government
1,11,greener
1,12,warning
1,13,group
1,14,guide
1,15,homeless
1,16,hurricane
1,17,idea
1,18,impact
1,19,information
1,20,farmer
2,1,project
2,2,watch
2,3,live
2,4,finder
2,5,food
2,6,free
2,7,game
2,8,google
2,9,gov
2,10,government
2,11,green
2,12,greener
2,13,group
2,14,guide
2,15,homeless
2,16,hurricane
2,17,idea
2,18,impact
2,19,information
2,20,farmer
3,1,game
3,2,election
3,3,warning
3,4,finder
3,5,food
3,6,free
3,7,google
3,8,gov
3,9,government
3,10,green
3,11,greener
3,12,group
3,13,guide
3,14,homeless
3,15,hurricane
3,16,idea
3,17,impact
3,18,information
3,19,kid
3,20,farmer
4,1,sahana
4,2,watch
4,3,election
4,4,finder
4,5,food
4,6,free
4,7,game
4,8,google
4,9,gov
4,10,government
4,11,green
4,12,greener
4,13,group
4,14,guide
4,15,homeless
4,16,hurricane
4,17,idea
4,18,impact
4,19,information
4,20,farmer
5,1,mobile
5,2,politics
5,3,watch
5,4,green
5,5,food
5,6,free
5,7,game
5,8,google
5,9,gov
5,10,government
5,11,greener
5,12,farmer
5,13,group
5,14,guide
5,15,homeless
5,16,hurricane
5,17,idea
5,18,impact
5,19,information
5,20,finder
6,1,finder
6,2,nyc
6,3,google
6,4,volunteer
6,5,watch
6,6,food
6,7,free
6,8,game
6,9,gov
6,10,government
6,11,green
6,12,greener
6,13,election
6,14,group
6,15,guide
6,16,homeless
6,17,hurricane
6,18,idea
6,19,impact
6,20,information
7,1,disaster
7,2,preparedness
7,3,disaster preparedness
7,4,natural
7,5,natural disaster
7,6,alert
7,7,guide
7,8,relief
7,9,network
7,10,warning
7,11,monitor
7,12,news
7,13,game
7,14,google
7,15,gov
7,16,watch
7,17,government
7,18,green
7,19,food
7,20,greener
8,1,voice
8,2,change
8,3,google
8,4,real
8,5,project
8,6,government
8,7,finder
8,8,food
8,9,free
8,10,game
8,11,gov
8,12,greener
8,13,green
8,14,election
8,15,group
8,16,guide
8,17,homeless
8,18,hurricane
8,19,idea
8,20,impact
9,1,green
9,2,directory
9,3,watch
9,4,farmer
9,5,food
9,6,free
9,7,game
9,8,google
9,9,gov
9,10,government
9,11,greener
9,12,group
9,13,guide
9,14,homeless
9,15,hurricane
9,16,idea
9,17,impact
9,18,information
9,19,kid
9,20,finder
