Cluster,Records,Percentage,Top Keywords
0,446,89.2,"free, app, open, city, watch, code, social, food, volunteer, information"
1,2,0.4,"kid, watch, green, finder, food, free, game, google, gov, government"
2,4,0.8,"project, watch, live, finder, food, free, game, google, gov, government"
3,3,0.6,"game, election, warning, finder, food, free, google, gov, government, green"
4,3,0.6,"sahana, watch, election, finder, food, free, game, google, gov, government"
5,9,1.8,"mobile, politics, watch, green, food, free, game, google, gov, government"
6,7,1.4,"finder, nyc, google, volunteer, watch, food, free, game, gov, government"
7,14,2.8,"disaster, preparedness, disaster preparedness, natural, natural disaster, alert, guide, relief, network, warning"
8,4,0.8,"voice, change, google, real, project, government, finder, food, free, game"
9,8,1.6,"green, directory, watch, farmer, food, free, game, google, gov, government"
