id,dataElements,description,name,dataElementsCount
0983ac30-580d-45cc-812c-13c2dba5e192,"76b3501c-f490-4697-b973-3cec99c4f39c, 6e7d0525-ef67-4046-8d21-737b326c0d1e, d1737b21-0f65-43d6-a9c2-febc1265f4e9, 4b899a96-d132-4c3a-a32c-09d881d9905f, 1e25a46a-f54b-4555-b012-3c43caaac6cc, 1c923f02-cc9b-4306-a4ad-c26e8a49b400, cdc8623d-e743-406f-83eb-de15d4fd97b5, 7d733f83-25ad-4681-954b-a73fd56f7a79, a9fa7752-6384-4b6a-9de8-a459c71c68be, e2b1aff9-e630-4532-b4c0-1b566d49cd0a",Genomic variant of concern calls table,GENOMIC_VOC_CALLS,10
b811050c-e71e-4f60-90a8-93dc6251b9f5,"0893b020-8f33-4bd8-b26f-d19008f8bd60, 2c04b5b5-2c9a-4700-9d1b-3e99325c2b58, c9bfe32a-ac08-40db-9eae-1433dca88638, 5b144f98-d876-4e28-8381-5de3c7b6b73d, cb1abecb-9d3f-4722-bcf6-516132d5ef5a",Genomic summary table,GENOMIC_SUMMARY,5
d96ed8a1-826d-4791-8fba-8301c981e03c,"c8a8be9c-d769-4d56-8d2a-9354e7775871, ce84efc4-b4c4-480e-91b9-d7106c68316f, f50139e7-004b-48a4-b628-ba6e315d8ad5, 1930becd-9db0-4842-b672-08764bb3b976, 658f99cd-59a8-479b-b2d8-28c1e7e28092, 368d2889-8c43-4355-9cb4-a44bba6ccdf7, 429d6e38-3a82-436e-aec6-4ea1918f34d3, b2e5034a-52a2-4065-83e9-29e3a91369d8, ee2eb299-0cf5-4419-8f7b-3c491e55b5c8, 13eecb57-c023-43c7-8d53-14079a1db889, 9234b39b-be45-44e7-898f-a0f691cac1f7, a2e5f493-bb0d-4e2e-b1b5-4af39665b5a2, d9ccd11a-6c6e-43ff-8359-9a7b8b990037, 5aadc5cc-9d02-4f47-b7c7-8a6ae0e4aae4",Genomic ALF table,GENOMIC_ALF,14
c6899c35-e26b-4deb-b941-b6b329d6f2d5,"cb175a08-f789-49e0-8d5f-85fe90df70da, 15a97525-f38b-4408-b4f6-c7a9a5f36f8a, 60584116-d3a4-447c-91eb-d4752be86045, 487be747-8d81-44ee-83f1-e97a6c4890d9, db2c1792-3a55-4726-ac0e-d1e4028b44cd",Genomic mutations table,GENOMIC_MUTATIONS,5
64f02959-926b-4952-b6b8-c0ce9c2238ad,"d467ed99-5b60-48ef-b2ef-789b5ef3e44e, 64959a36-de4a-48d6-8c0b-f57fbcce3a3d, 1141d71c-7524-4eef-97c8-ebcd7d9f7be5, 78327c9e-cdf7-4e96-b22f-ab053ddd857c, 7272e319-d35d-450f-88b8-c20d96e13d3c, 6cf1c38a-1986-4565-966d-f7a89f188863, 9f9b7400-23c9-4079-99e8-69397273c64e, e1f612e4-b6a6-47ae-a5cc-0b4427c2efd9, b472959b-4fe6-4ca7-bcb7-2a6280e986cc, 81640c02-5504-4f44-a27c-ff6360e6a666, c5d88b61-e183-4de5-8f79-91cd20f43657, 1ccf2931-737f-4ade-a32e-2d217f5c1aba, de90497d-f20a-4c78-b5ca-1a6fcfc09d42, 47070807-2c9b-4295-a164-5b72f0b4a4a5, eb19a41c-d570-48d7-88e4-3e6ea8dba618, 6f0b645a-8001-4d44-9e0b-9596122505cf, fe6f829e-212b-4279-8489-ff44d8683005, f7977840-b3c7-480a-8ca5-6059b776af13",Diagnostic Section,General Clinical Information,18
f91d613e-0bfd-4c71-909a-03e7550edd5a,"78288207-bd63-4928-8ecb-f6198f48ed35, f493ad2a-bb27-475c-81b9-6cc5657a3eea, 55aaf0c8-fb85-4e4c-85c1-e8cacaf20410, 89a9c381-e694-4c5a-9ce3-ca6f95102a5a, 02eb98c5-2e22-4dd7-a19a-b0c3bf72fe8f, 6f812377-b866-4bcd-af51-8815002fdbd4, 04e067c4-df5c-4870-a61e-cf681fa29b34, 34e17355-649b-4c7e-95bf-f58c61b0d5f5, 780cac28-c1c1-453a-bde2-f93958ad53f4, 7988cdf9-cd70-4402-afc4-8b4724e27a76, ff56330e-94ac-4925-b60c-6e1530e0c747, 824a69ce-97ca-457d-82eb-064679953a18, 07784dc5-a83d-42fe-9aa3-f0c66ae5407a, a620ed7d-208f-4025-a9fa-e755410a2fd8, 8f085fb6-3947-488c-bea8-aabc1199d93a, 77e73a44-55a3-4daa-85d9-21fc2d6e4328, c9a2bd61-0fd4-46f8-abb0-53b0aa258378, 3070f4d9-43be-4fce-b76e-fdbc51b80bcd, d8f30d1f-1657-48b5-b70b-f2a5b0b28e4c, 5b8e8a72-e675-45af-aa37-e808ec8bb390, 4b090014-d01d-4f55-b684-c65f5b4da632, 4881b819-690f-46fd-a2e3-a3af487c1279, 45f68968-29f0-4d7c-b9ab-a2fdbd32e0ef",Episode Management Data,Episode Management Data,23
9d76e87f-f7f8-4cb2-9ff6-db054bbc7b5a,"a080e3a8-65fd-4f9d-b721-b60183e60f22, 0c0f9db5-3dd8-4cac-a7e0-bcce38dc0abd, f79de799-8177-42a5-9ce5-db07abad94ec, d9092b17-2189-4ad0-a84b-92156527e2d4, 2329895f-8108-4c7e-8981-bd2a107c5b74, 045aece9-ff78-4556-bdf9-44db193fdf11, 74fe8a45-6cdc-4a89-9a4d-a5111a8c1dcb, 74882fbe-6796-4025-a009-b9b636d039fe, 5de20592-f309-411b-9071-c01407a74721, 03c3f134-f925-45cf-b89e-5b8bbc982871, 9e5d6465-7928-486c-a6d8-42b18edcfd3d, 6aaf47b2-94be-4f2b-ae6e-1a34146d0dfd","An SMR04 is generated for patients receiving care in Mental Health Specialties when the following events occur. Part 1 of the record containing admission details is completed and submitted; on discharge Part 2 is completed and submitted.

Inpatients and Day Cases are admitted to NHS hospitals from locations external to the NHS.
Inpatients and Day Cases are admitted to contracted NHS beds in non-NHS institutions.
Inpatients and Day Cases change specialty (with or without a change of consultant):
An inpatient transfers to become an Inpatient in another specialty in the same hospital
An inpatient becomes a Day Case in another specialty during the inpatient stay
A day case transfers to become an Inpatient in another specialty (except when the day case episode during an inpatient stay and the patient is transferring back to the original consultant)
A day case transfers back to resume an Inpatient stay but DOES NOT transfer back to the original consultant for medical reasons
Inpatients and Day Cases transfer from another NHS hospital (including contracted NHS beds in non-NHS institutions).
Inpatients and Day Cases change consultant for medical reasons within the same specialty:
An inpatient transfers as an Inpatient to the care of a different consultant for medical reasons in the same specialty in the same hospital
An inpatient becomes a Day Case in the same specialty under a different consultant for medical reasons during the inpatient stay
A day case transfers to become an Inpatient under the care of a different consultant in the same specialty for medical reasons (except when the day case episode is during an inpatient stay and the patient is transferring back to the original consultant)
A day case transfers back to resume an Inpatient stay in the same specialty but DOES NOT transfer back to the original consultant for medical reasons
Inpatients move into and/or out of one of the significant facilities listed in this section.
Note: The General Definition of Psychiatric is now referred to as Mental Health.",Mental Health Inpatient and Day Case,12
7cc3a0ee-24b4-4960-a91f-8c5ee52c64b3,"6a06b9f7-dd4d-4f58-afcc-caf69b534ddd, 6fd5de1e-83de-434d-8579-9ff5294574ab, 596a86f2-f50a-4432-908a-24c3d92ed5d0, 44dfc6d0-6b58-4ef4-b187-5d63d9cbd374, 23cde354-16ed-47f6-8f0a-6d1c654281e8, 2b16afb4-13d9-443d-a134-c74425206385, bafd7cb5-9aa6-4b81-a8c5-f0fe3a30ec0a, 3a73db0a-68b4-4b32-a467-c20f88a5e7de, e1036f58-db43-4ce4-b0ff-f5e78b61fcef, ace84891-cf77-4985-85d6-b26b149079e5, c3b1d3e2-2d7a-4bd2-aa03-7299f0fdc104, b7cbe99d-c31f-4083-9b72-8b812ab23837, 26930525-68fe-4cac-a517-dbbfd28c68ea, b271a8c9-b698-4768-8203-39605ee36d23, 7484342c-40a8-4feb-a31d-41d913cb2bca, d92a38a4-a1cd-46d3-be52-c527651eea4e, 84d04e48-4450-4887-b31a-119e4b801e0d",Patient Identification and Demographic Information,Patient Identification and Demographic Information,17
f1b0557b-8c62-4685-a724-e489a3a41891,"a57f9fb6-b5b5-4d70-8552-39b2e6ac8932, 740021b0-b806-4269-a96d-17960df91f4e, b9229e47-40a8-4772-a8ab-04ebdf6c367d, aeabe030-42d9-424d-9f30-31b8fce5c580, 88566a65-3a00-4e9e-9090-00ae6885e836, 383dc0ff-3649-45a1-b2dd-c11d6ac126f9, 278bc673-9912-4b6d-b216-da5380023641, a8d4f3d9-f7c1-41f6-a4e9-4c32d63f81ae, 556a1287-c4b7-4f8c-aefa-0538610e5534, 7fb73bad-960f-4946-9e32-9385ec7475aa, 95ba394f-58b0-41c4-ae2c-8a430ae7d6aa, 9edd322c-92b2-4aaa-a77f-faee5216064b",Development Data,Development Data,12
d95d1c91-83e7-4623-87ba-cc5571b996c2,"d3e3398c-ba47-40ec-9d71-cfc24c8e9734, e47aaa1d-7f12-4d47-b764-a6ea8503f3b9, 6c29e6d3-6092-4f72-a500-8d254b56bdaa, c59f6c47-2eb8-4a3c-b94b-dc03497e8569, 7517d730-34c2-49c8-887c-ff40c0c0c5c9, af7dd189-44ed-4ca3-abaf-01c9c659f4d6, c2b7ca70-b47b-48fc-973c-c6632214939b, 13c3497a-d56c-4988-a709-50a6b431362b, 1d3fe091-5940-4657-91e7-4036ab4c8b33, beedb7a9-b654-4f8d-bfe1-226699059f7d, 05a64d73-b1ef-423c-99ad-919d00dc9c56, 0eb74f58-3547-4c6f-b5c3-bbe79b972d4f, f1db6e9e-7402-4331-a7ae-8cdea197d967, 67835b9c-6247-455b-9413-15e44fbd60dd, 10c2b2a1-9f5e-407e-9767-cff616402f20, 61174f41-08ef-4da0-a61f-2ab2a7f3109e, 1503bf69-d616-4c49-a26b-342a46388df1",,BathTAP Switching 2,17
