original_code,original_name,translated_name,HCAT3_name,HCAT3_code,cluster
48,Mischung Mais/Bohne,Corn / bean mixture,grain_maize_corn_popcorn,3301010600,0
49,Blühmischung für Biogas,Flowering mixture for biogas,flowers_ornamental_plants,3301080000,0
50,Mischkulturen mit Saatgutmischung,Mixed cultures with seed mix,arable_land_seed_seedlings,3301100000,0
51,Mischkulturen in Reihenanbau,Mixed crops in rows,other_arable_land_crops,3301990000,0
52,Zwischenfrucht / Gründecke ÖVF,Intercrop / groundcover,other_arable_land_crops,3301990000,0
53,Untersaat ÖVF,Undersowing ÖVF,arable_land_seed_seedlings,3301100000,0
54,Streifen am Waldrand (Ohne Produktion) ÖVF,Strip at the edge of the forest (Without production) ÖVF,tree_wood_forest,3306000000,2
55,Ufervegetation ÖVF,Riparian vegetation,not_known_and_other,3399000000,1
56,ÖVF-Streifen AL,Ecological Preferance Area strips AL,not_known_and_other,3399000000,1
57,Feldrand / Pufferstreifen ÖVF DGL,Buffer strips ecological preference zones permanent grassland,pasture_meadow_grassland_grass,3302000000,0
58,Feldrand / Puferstreifen ÖVF AL,Buffer strips ecological preference zones permanent grassland,pasture_meadow_grassland_grass,3302000000,0
59,KuP ÖVF,Priority ecological areas short rotation plants,not_known_and_other,3399000000,1
60,Leguminosen ÖVF,Legumes ÖVF,legumes_dried_pulses_protein_crops,3301020000,0
61,Aufforstungsflächen ÖVF,Afforestation areas ÖVF,afforestation_reforestation,3306010000,2
62,Brachen Ohne Erzeugung ÖVF,Fallow land Without production ÖVF,fallow_land_not_crop,3301110000,0
63,Miscanthus,silvergrass,miscanthus_silvergrass,3301083000,0
64,Durchwachsene Silphie,cup plant,silphium_rosinweeds,3301084400,0
65,brachliegende Flächen öVF Honigpflanzen (pollen- und nektarreiche Arten) -einjährig,fallow land öVF honey plants (species rich in pollen and nectar) -annual,fallow_land_not_crop,3301110000,0
66,brachliegende Flächen öVF Honigpflanzen (pollen- und nektarreiche Arten) -mehrjährig,fallow land öVF honey plants (species rich in pollen and nectar) -perennial,fallow_land_not_crop,3301110000,0
70,Hecken Oder Knicks > 10m CC,Hedges Or Knicks > 10m CC,not_known_and_other,3399000000,1
71,Baumreihe >50m CC,Tree row >50m CC,tree_wood_forest,3306000000,2
72,Feldgehölze 50-2.000 rn2 CC,"Field groves 50-2,000 rn2 CC",tree_wood_forest,3306000000,2
73,Feuchtgebiete < 2.000 m2 CC,"Wetlands < 2,000 m2 CC",not_known_and_other,3399000000,1
74,Einzelbäume CC,Single trees CC,tree_wood_forest,3306000000,2
75,Tümpel Sölle und Doline CC,Ponds sinkholes and doline CC,not_known_and_other,3399000000,1
76,"Natur-, Stein- Oder Trockenmauer CC","Natural, stone or dry stone wall CC",not_known_and_other,3399000000,1
77,"Fels- und Steinriegel, naturversteinte Fläche CC","Rock and stone bar, natural petrified area CC",not_known_and_other,3399000000,1
78,Feldraine CC,Field margins CC,not_known_and_other,3399000000,1
79,"Trocken-, Be- und Entwässerungsgräben CC","Dry, irrigation and drainage ditches CC",not_known_and_other,3399000000,1
80,Terrassen CC,Terraces CC,not_known_and_other,3399000000,1
112,Winterhartweizen/Durum,Winter hard wheat / durum,winter_durum_hard_wheat,3301010201,0
113,Sommerhartweizen/Durum,Summer durum wheat / durum,spring_durum_hard_wheat,3301010202,0
114,Winter-Dinkel,Winter spelt,winter_spelt,3301011001,0
115,Winterweichweizen,Winter soft wheat,winter_common_soft_wheat,3301010101,0
116,Sommerweichweizen,summer wheat/Summer soft wheat,spring_common_soft_wheat,3301010102,0
118,Winter-Emmer/-Einkorn,Winter emmer / single grain/Winter emmer / Einkorn,winter_emmer,3301011201,0
119,Sommer-Emmer/-Einkom,Summer emmer / single grain/Summer emmer / Einkorn,spring_emmer,3301011202,0
120,Sommer-Dinkel,Summer spelt,spring_spelt,3301011002,0
121,"Winterroggen, Winter-Waldstaudenroggen",Winter rye,winter_rye,3301010301,0
122,"Sommerroggen, Sommer-Waldstaudenroggen",Summer rye,spring_rye,3301010302,0
125,Wintermenggetreide,Winter mixed grain,winter_meslin,3301011101,0
126,Wintermenggetreide ohne Weizen,Winter mixed grain without wheat,winter_meslin,3301011101,0
131,Wintergerste,Winter barley,winter_barley,3301010401,0
132,Sommergerste,Summer barley,spring_barley,3301010402,0
142,Winterhafer,Winter oats,winter_oats,3301010501,0
143,Sommerhafer,Summer oats,spring_oats,3301010502,0
144,Sommermenggetreide,Summer mixed grain,spring_meslin,3301011102,0
145,Sommermenggetreide ohne Weizen,Summer mixed grain without wheat,spring_meslin,3301011102,0
156,Wintertriticale,Winter triticale,winter_triticale,3301010801,0
157,Sommertriticale,Summer triticale,spring_triticale,3301010802,0
171,Mais (ohne Silomais NC 411 ),Corn without silage maize,grain_maize_corn_popcorn,3301010600,0
172,Mais (Biogas),Corn (biogas),grain_maize_corn_popcorn,3301010600,0
181,Rispenhirse,Millet/Millet (Panicum),millet_sorghum,3301010900,0
182,Buchweizen,Buckwheat,buckwheat,3301150200,0
183,Mohren-Zuckerhirse (ohne Sudangras NC 803),Sorghum,millet_sorghum,3301010900,0
184,Kolbenhirse,Millet,millet_sorghum,3301010900,0
186,"Amarant, Fuchsschwanz",amaranth,amaranth,3301150100,0
187,Quinoa,Quinoa,quinoa,3301150300,0
190,"Getreide einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",Cereals of a genus/species not included in the current list,other_cereals,3301019900,0
210,"Erbsen (Markerbse, Schalerbse, Zuckererbse, Futtererbse, Peluschke",Peas (fresh / table peas free range)/Peas for grain production,peas,3301020600,0
211,"Gemüseerbse (Markerbse, Schalerbse, Zuckererbse)",Vegetable pea (marrow pea/Vegetable pea,peas,3301020600,0
212,Platterbse,Flat pea,peas,3301020600,0
220,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Field bean / broad bean / horse bean / broad bean/Field / broad / horse bean,beans,3301020100,0
221,"Wicken (Pannonische Wicke, Zottelwicke, Saatwicke)",Vetches,vetches,3301090305,0
222,Dicke Bohne,Broad bean,beans,3301020100,0
230,"Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine, geIbe Lupine, Anden-Lupine",Lupins (sweet lupine/Lupins,sweet_lupins,3301020700,0
240,Erbsen/Bohnen,Peas beans/Mixed peas / beans,legumes_dried_pulses_protein_crops,3301020000,0
250,Gemenge Leguminosen/Getreide,Mixture of legumes / grain,legumes_dried_pulses_protein_crops,3301020000,0
290,"Hülsenfrucht einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",Legume of a genus/species not included in the current list,legumes_dried_pulses_protein_crops,3301020000,0
292,Linsen,Lentils,lentils,3301020500,0
311,Winterraps,Winter rape,winter_rapeseed_rape,3301060401,0
312,Sommerraps,Summer rape,summer_rapeseed_rape,3301060403,0
315,"Winterrübsen (Rübsen, Rübsamen, Rübsaat)",Winter rape (oil radish/Winter turnip rape (also rapeseed),winter_rapeseed_rape,3301060401,0
316,"Sommerrübsen (Rübsen, Rübsamen, Rübsaat)",Summer rapeseed (rapeseed/Summer turnip rape (also rapeseed),summer_rapeseed_rape,3301060403,0
320,Sonnenblumen,sunflowers,sunflower,3301060500,0
330,Sojabohnen,Soybeans,soy_soybeans,3301160000,0
341,"Lein, Flachs",Flax/Flax (flax linseed),flax_linseed,3301060700,0
390,"Ölfrucht einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",Oil fruit of a genus/species not included in the current list,oilseed_crops,3301060800,0
392,Meerkohl/Krambe,Sea Kale/Crambe,other_brassica_oleracea_cabbage,3301210299,0
393,Leindotter,Camelina,camelina,3301061500,0
411,Silomais (als Hauptfutter),Silage maize (as staple feed),green_silo_maize,3301090400,0
413,Futterrübe/Runkelrübe,Fodder beet / beetroot,mangelwurzel_fodder_beet,3301290400,0
414,"Kohlrübe, Steckrübe",Rutabaga,swede_rutabaga,3301210500,0
421,Rot-/Weiß-/Alexandriner-/lnkarnat-/Erd-/Schweden-/Persischer Klee,Clover (nitrogen-fixing plant VF)/different types of clover,clover,3301090303,0
422,Kleegras,Clover grass,clover,3301090303,0
423,"Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne",alfalfa,alfalfa_lucerne,3301090301,0
424,Ackergras,Arable grass,pasture_meadow_grassland_grass,3302000000,0
425,Klee-Luzerne-Gemisch,Clover and alfalfa mixture,clover,3301090303,0
426,"Bockshornklee, Schabzieger Klee",Clover (not VF)/Fenugreek clover,clover,3301090303,0
427,"Hornklee, Hornschotenklee",Horn clover/Horn clover horn pod clover,clover,3301090303,0
428,Wechselgrünland,Alternating grassland,pasture_meadow_grassland_grass,3302000000,0
429,Esparsette,Esparsette,esparsette_onobrychis,3301020300,0
430,Serradella,serradella,serradella,3301084200,0
431,Steinklee,Sweet clover,melilot,3301090304,0
432,"Kleemischung aus NC 421, 427, 431 (stickstoffbindend)",Clover mixture from NC 421/Clover mixture (or box horn clover),clover,3301090303,0
433,Luzerne-Gras,Alfalfa grass/Alfalfa-grass mixture,alfalfa_lucerne,3301090301,0
441,Wiesen (Grünlandneueinsaat im Rahmen von AUKM),Meadows (grassland reseeding under AUKM),pasture_meadow_grassland_grass,3302000000,0
442,Mähweiden (Grünlandneueinsaat im Rahmen von AUKM),Mowing pastures,pasture_meadow_grassland_grass,3302000000,0
443,Weiden (Grünlandneueinsaat im Rahmen von AUKM),pastures,pasture_meadow_grassland_grass,3302000000,0
444,DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch,DGL new sowing as a replacement for approved DGL plowing,other_arable_land_crops,3301990000,0
451,Wiesen,grasslands,pasture_meadow_grassland_grass,3302000000,0
452,Mähweiden,Mowing pastures,pasture_meadow_grassland_grass,3302000000,0
453,Weiden und Almen,Pastures and alpine pastures,pasture_meadow_grassland_grass,3302000000,0
454,Hutungen,low-yield permanent grassland,pasture_meadow_grassland_grass,3302000000,0
455,Almen und Alpen,Mountain pastures and alps,pasture_meadow_grassland_grass,3302000000,0
458,Streuwiesen,Scattered meadows,pasture_meadow_grassland_grass,3302000000,0
459,Grünland,Grassland (permanent grassland),pasture_meadow_grassland_grass,3302000000,0
460,Sommerweiden für Wanderschafe,Summer pastures for wandering sheep,pasture_meadow_grassland_grass,3302000000,0
462,Beweidete Sandheiden,Grazed sandy heaths,pasture_meadow_grassland_grass,3302000000,0
463,Beweidete Moorheiden,Grazed bog heaths,pasture_meadow_grassland_grass,3302000000,0
464,Beweidete Magerrasen,Grazed grasslands,pasture_meadow_grassland_grass,3302000000,0
465,Beweidete montane Wiesen,Grazed montane meadows,pasture_meadow_grassland_grass,3302000000,0
466,Gemähte Magerrasen,Mowed grasslands,pasture_meadow_grassland_grass,3302000000,0
467,Gemähte montane Wiesen,Mown montane meadows,pasture_meadow_grassland_grass,3302000000,0
480,Streuobstfläche mit Grünlandnutzung,Orchards with grassland use/Orchards with Permanent grassland use,orchards_fruits,3303010000,3
481,Streuobstfläche ohne Grünlandnutzung,Orchards without grassland use/Orchards without Permanent grassland use,orchards_fruits,3303010000,3
490,Nicht DZ-beihilfefähige Hutungen,Hute forest not eligible for DZ aid.,tree_wood_forest,3306000000,2
491,Anteil an Gemeinschaftsweiden,Proportion of common pastures,pasture_meadow_grassland_grass,3302000000,0
492,Dauergrünland unter etablierten lokalen Praktiken (z.B. Heide),Permanent grassland under established local practices (e.g. heather)/established local practices,pasture_meadow_grassland_grass,3302000000,0
510,Goldrute (Solidago),Goldenrod (Solidago),goldenrod,3301082200,0
511,Streptocarpus/Drehfrucht,Streptocarpus/Twist fruit,other_flowers_ornamental_plants,3301089900,0
512,Iberischer Drachenkopf,dragonhead,other_flowers_ornamental_plants,3301089900,0
513,Braunellen,prunella vulgaris,other_flowers_ornamental_plants,3301089900,0
514,Hauswurz (Sempervivum),houseleeks,other_flowers_ornamental_plants,3301089900,0
515,Mühlenbeckia/Drahtsträucher,wire bushes,wire_bush,3303080700,3
516,Knöterich (Persicaria),Knotweed (Persicaria),other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0
517,Garten-Petunie,Garden petunias,other_flowers_ornamental_plants,3301089900,0
518,Polygonum,Polygonum,polygonum,3301061229,0
519,Köcherblümchen (Cuphea),Caddis flower (Cuphea),other_flowers_ornamental_plants,3301089900,0
520,Silberbrandschopf,Silver comb,silver_comb,3301061233,0
545,Stilllegung nach FELEG/GAUALG,Decommissioning according to FELEG/GAUALG,unmaintained,3308000000,2
555,"Stillgelegte Fläche gem. FLAMA, 20-jährig hier: Ökologische Stilllegung ab 1999","Set-aside area according to FLAMA, 20-year here: Ecological set-aside as of 1999",unmaintained,3308000000,2
556,Aufforstung nach der Aufforstungsprämie (vor 1995),Afforestation after the afforestation premium (before 1995).,afforestation_reforestation,3306010000,2
549,Stilllegung für Naturschutz und Landschaftspflege (5-Jahresprogramm) (auf AL),Set-aside for nature conservation and landscape management (5-year program) (on AL).,unmaintained,3308000000,2
559,Stilllegung für Naturschutz und Landschaftspflege (5-Jahresprogramm) (auf GL),Set-aside for nature conservation and landscape management (5-year program) (on GL).,unmaintained,3308000000,2
560,Brache im Rahmen einer VNS-Maßnahme,Fallow land within the framework of a VNS measure,fallow_land_not_crop,3301110000,0
563,nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 stillgelegte Ackerfläche,arable land set aside according to Art. 22 to 24 of Regulation (EC) No. 1257/99,unmaintained,3308000000,2
564,nach VO 1257/1999 oder VO (EG) Nr. 1698/2005 oder VO 1305/2013 aufgeforstete Flächen,Areas afforested according to VO 1257/1999 or VO (EG) No. 1698/2005 or VO 1305/2013/Afforestation in rural areas,afforestation_reforestation,3306010000,2
567,nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 stillgelegte Dauergrünlandfläche,Longterm. o. 20 years old stilll. Permanent grass land,pasture_meadow_grassland_grass,3302000000,0
568,"aufgeforstete Dauergrünlandfächen, weder nach CO 1257/99 oder VO 1698/2005 oder VO 1305/2013","afforested permanent grassland areas, neither according to CO 1257/99 or VO 1698/2005 or VO 1305/2013",afforestation_reforestation,3306010000,2
572,Uferrandstrfprog.(DGL nur AUM),Bank edge control program (permanent greenland only AUM),not_known_and_other,3399000000,1
573,Uferrandstreifenprogramm,Riparian fringe program/Uferrandstrfprog. (AL only AUM),not_known_and_other,3399000000,1
574,Blühstreifen (MSL-Maßnahme),Flower strips (only to be used for areas with AUM-BS 1)/Flower strips (only AUM),flowers_ornamental_plants,3301080000,0
575,Blühfläche (MSL-Maßnahme),Flowering area (only to be used for areas with AUM-BS 1)/Flowering area (only AUM),flowers_ornamental_plants,3301080000,0
576,Schutzstreifen Erosion,Protection strip erosion (only to be used for areas with AUM-BS 7.1)/Protective strip erosion (only AUM),not_known_and_other,3399000000,1
581,Grünbrache 1-jährig,Green fallow 1-year,fallow_land_not_crop,3301110000,0
582,Grünbrache 2-jährig,Green fallow 2-year,fallow_land_not_crop,3301110000,0
583,"Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO (EG) Nr.1307/2013 beihilfefähige Fläche Naturschutzfiächen die 2008",Not agricultural/Nature conservation (1307 / 2013-32-2bi),not_known_and_other,3399000000,1
584,"Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO (EG) Nr. 1307/2013 beihilfefähige Fläche Maßnahmen aus Natura2000",Non-agricultural area eligible for aid under Article 32(2b (i)) of Regulation (EC) No 1307/2013 Natura2000 measures,not_known_and_other,3399000000,1
