symbol,name,sector,price,price/earnings,dividend_yield,earnings/share,52_week_low,52_week_high,market_cap,ebitda,price/sales,price/book,sec_filings,combined_text,cluster
MMM,3M,Industrial Conglomerates,168.56,29.939608,0.0185,5.63,139.34,184.9,86930169856.0,6488000000.0,3.45235,29.447939,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,MMM 3M Industrial Conglomerates http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,1
AOS,A. O. Smith,Building Products,60.48,16.846796,0.0238,3.59,54.16,81.87,8219750400.0,783699968.0,2.1603065,4.46281,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS,AOS A. O. Smith Building Products http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS,1
ABT,Abbott Laboratories,Health Care Equipment,108.33,35.058254,0.0233,3.09,81.97,137.49,188690612224.0,11681000448.0,4.0504584,3.6676033,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT,ABT Abbott Laboratories Health Care Equipment http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT,1
ABBV,AbbVie,Biotechnology,256.46,72.44633,0.027,3.54,190.75,267.47,453194874880.0,30762999808.0,7.0387177,-76.350105,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV,ABBV AbbVie Biotechnology http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV,1
ACN,Accenture,IT Consulting & Other Services,186.72,14.901836,0.0349,12.53,118.15,291.09,114261827584.0,12943767552.0,1.5630766,3.5824332,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN,ACN Accenture IT Consulting & Other Services http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN,1
ADBE,Adobe Inc.,Application Software,266.51,15.246569,0.0187,17.48,190.12,370.86,105937731584.0,9729000448.0,4.2042117,9.232342,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE,ADBE Adobe Inc. Application Software http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE,1
AMD,Advanced Micro Devices,Semiconductors,477.57,121.82908,0.0187,3.92,149.22,584.73,779621105664.0,9562000384.0,18.874739,11.594037,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD,AMD Advanced Micro Devices Semiconductors http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD,0
AES,AES Corporation,Independent Power Producers & Energy Traders,14.79,5.5393257,0.0476,2.67,12.33,17.65,10547602432.0,4070000128.0,0.8079977,2.1341991,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES,AES AES Corporation Independent Power Producers & Energy Traders http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES,1
AFL,Aflac,Life & Health Insurance,117.21,12.644012,0.0208,9.27,104.66,130.22,58762448896.0,6064999936.0,3.252114,1.9421062,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL,AFL Aflac Life & Health Insurance http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL,1
A,Agilent Technologies,Life Sciences Tools & Services,150.86,29.755423,0.0068,5.07,108.35,163.75,42531786752.0,2080000000.0,5.7693686,5.777199,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A,A Agilent Technologies Life Sciences Tools & Services http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A,1
APD,Air Products,Industrial Gases,301.27,23.8595715,0.024,-0.21,229.11,314.87,67088470016.0,4652199936.0,5.323552,4.832149,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD,APD Air Products Industrial Gases http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD,1
ABNB,Airbnb,"Hotels, Resorts & Cruise Lines",181.94,41.53881,0.0187,4.38,110.81,193.453,108943065088.0,2760999936.0,8.278977,13.763522,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABNB,"ABNB Airbnb Hotels, Resorts & Cruise Lines http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABNB",1
AKAM,Akamai Technologies,Internet Services & Infrastructure,105.22,38.123188,0.0187,2.76,70.82,165.45,15121861632.0,1079897984.0,3.498136,3.1817358,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM,AKAM Akamai Technologies Internet Services & Infrastructure http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM,1
ALB,Albemarle Corporation,Specialty Chemicals,126.28,467.70367,0.013,0.27,71.25,221.0,14901678080.0,1482468992.0,2.522329,1.8532434,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB,ALB Albemarle Corporation Specialty Chemicals http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB,1
ARE,Alexandria Real Estate Equities,Office REITs,52.65,23.8595715,0.0547,-6.05,39.41,88.24,9060816896.0,1781940992.0,3.1900613,0.57791734,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE,ARE Alexandria Real Estate Equities Office REITs http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE,1
