event_name,event_date,event_location,Weight class,fighter1,fighter2,outcome,Kd,Str,Td,Sub,Method,Round,Time,timestamp,text,clean_text,cluster
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Women's Flyweight,Alexa Grasso,Valentina Shevchenko,Draw,1                                  0,84                                  80,1                                  4,1                                  1,S-DEC,5,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Grasso vs. Shevchenko 2 September 16 2023 Las Vegas, Nevada, USA Women's Flyweight Alexa Grasso Valentina Shevchenko Draw 1                                  0 84                                  80 1                                  4 1                                  1 S-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night grasso vs shevchenko september las vegas nevada usa womens flyweight alexa grasso valentina shevchenko draw sdec,1
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Welterweight,Jack Della Maddalena,Kevin Holland,fighter1,0                                  0,105                                  127,0                                  0,0                                  0,S-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Grasso vs. Shevchenko 2 September 16 2023 Las Vegas, Nevada, USA Welterweight Jack Della Maddalena Kevin Holland fighter1 0                                  0 105                                  127 0                                  0 0                                  0 S-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night grasso vs shevchenko september las vegas nevada usa welterweight jack della maddalena kevin holland fighter sdec,1
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Bantamweight,Raul Rosas Jr.,Terrence Mitchell,fighter1,1                                  0,18                                  6,0                                  0,0                                  0,KO/TKO              Punches,1,0:54,2023-09-21 02:02:55.178363,"UFC Fight Night: Grasso vs. Shevchenko 2 September 16 2023 Las Vegas, Nevada, USA Bantamweight Raul Rosas Jr. Terrence Mitchell fighter1 1                                  0 18                                  6 0                                  0 0                                  0 KO/TKO              Punches 0:54 2023-09-21 02:02:55.178363",ufc fight night grasso vs shevchenko september las vegas nevada usa bantamweight raul rosas jr terrence mitchell fighter kotko punches,1
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Lightweight,Daniel Zellhuber,Christos Giagos,fighter1,0                                  0,36                                  38,0                                  0,1                                  0,SUB              Anaconda Choke,2,3:26,2023-09-21 02:02:55.178363,"UFC Fight Night: Grasso vs. Shevchenko 2 September 16 2023 Las Vegas, Nevada, USA Lightweight Daniel Zellhuber Christos Giagos fighter1 0                                  0 36                                  38 0                                  0 1                                  0 SUB              Anaconda Choke 3:26 2023-09-21 02:02:55.178363",ufc fight night grasso vs shevchenko september las vegas nevada usa lightweight daniel zellhuber christos giagos fighter sub anaconda choke,1
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Featherweight,Kyle Nelson,Fernando Padilla,fighter1,0                                  0,82                                  72,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Grasso vs. Shevchenko 2 September 16 2023 Las Vegas, Nevada, USA Featherweight Kyle Nelson Fernando Padilla fighter1 0                                  0 82                                  72 0                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night grasso vs shevchenko september las vegas nevada usa featherweight kyle nelson fernando padilla fighter udec,1
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Women's Strawweight,Loopy Godinez,Elise Reed,fighter1,1                                  0,21                                  3,5                                  0,6                                  0,SUB              Rear Naked Choke,2,3:38,2023-09-21 02:02:55.178363,"UFC Fight Night: Grasso vs. Shevchenko 2 September 16 2023 Las Vegas, Nevada, USA Women's Strawweight Loopy Godinez Elise Reed fighter1 1                                  0 21                                  3 5                                  0 6                                  0 SUB              Rear Naked Choke 3:38 2023-09-21 02:02:55.178363",ufc fight night grasso vs shevchenko september las vegas nevada usa womens strawweight loopy godinez elise reed fighter sub rear naked choke,4
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Middleweight,Roman Kopylov,Josh Fremd,fighter1,1                                  0,49                                  38,0                                  0,0                                  0,KO/TKO              Punch,2,4:44,2023-09-21 02:02:55.178363,"UFC Fight Night: Grasso vs. Shevchenko 2 September 16 2023 Las Vegas, Nevada, USA Middleweight Roman Kopylov Josh Fremd fighter1 1                                  0 49                                  38 0                                  0 0                                  0 KO/TKO              Punch 4:44 2023-09-21 02:02:55.178363",ufc fight night grasso vs shevchenko september las vegas nevada usa middleweight roman kopylov josh fremd fighter kotko punch,1
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Flyweight,Edgar Chairez,Daniel Lacerda,No contest,0                                  0,12                                  4,0                                  1,1                                  0,Overturned,1,3:47,2023-09-21 02:02:55.178363,"UFC Fight Night: Grasso vs. Shevchenko 2 September 16 2023 Las Vegas, Nevada, USA Flyweight Edgar Chairez Daniel Lacerda No contest 0                                  0 12                                  4 0                                  1 1                                  0 Overturned 3:47 2023-09-21 02:02:55.178363",ufc fight night grasso vs shevchenko september las vegas nevada usa flyweight edgar chairez daniel lacerda contest overturned,1
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Women's Flyweight,Tracy Cortez,Jasmine Jasudavicius,fighter1,0                                  0,103                                  77,0                                  2,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Grasso vs. Shevchenko 2 September 16 2023 Las Vegas, Nevada, USA Women's Flyweight Tracy Cortez Jasmine Jasudavicius fighter1 0                                  0 103                                  77 0                                  2 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night grasso vs shevchenko september las vegas nevada usa womens flyweight tracy cortez jasmine jasudavicius fighter udec,1
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Lightweight,Charlie Campbell,Alex Reyes,fighter1,1                                  0,43                                  14,0                                  0,0                                  0,KO/TKO              Punches,1,3:38,2023-09-21 02:02:55.178363,"UFC Fight Night: Grasso vs. Shevchenko 2 September 16 2023 Las Vegas, Nevada, USA Lightweight Charlie Campbell Alex Reyes fighter1 1                                  0 43                                  14 0                                  0 0                                  0 KO/TKO              Punches 3:38 2023-09-21 02:02:55.178363",ufc fight night grasso vs shevchenko september las vegas nevada usa lightweight charlie campbell alex reyes fighter kotko punches,1
