Cluster,Top Keywords
0,"coc cc, coc, ccocc, ccc ccocc, cc ccc, cc, ccc, ccocc nc, ccocc ncc, ccccc, ncc, nc, ccocc ccccc, cn coc, cn, ncc ccc, nc cc, cc ccccc, ccccc oc, ccn coc"
1,"br, br cc, ccc br, cc, ccc, cc ccccc, cc ccc, ccc cc, cccc br, cccc, cc cc, coc ccc, ccccc, cl cc, ccc cl, cl, br ccc, coc, cc ccocc, ccccc cccc"
2,"nc, cs, cc cs, ccocc cc, nc nc, nc ccc, ccc ccocc, ccocc, cc, coc ccccc, ccc, ccccc nc, cc nc, br nc, cccc ccc, ccccc, cc br, cs coc, cccc, coc"
3,"cl cc, ccn, cccc, cl, cccc nh, ccc cl, ccc, ccocc ccc, cc, cnc, ccc cccc, nh ccc, cc ccn, nh, ccocc, ccc cnc, cco, cc cccc, coc ccc, ccc ccc"
4,"cl, cc cl, ncccc ccccc, ncccc, cl cl, cl ccc, cc, ccc, cl cc, ccccc, oc ccc, ccccc cc, ccc cl, oc, ccccc ccc, ccs, ccs ccc, csc ccccc, ccccc cl, ccoc cc"
5,"oc, nc nh, nc, nh, ccccnc, ccccnc oc, oc oc, nc nc, cc oc, nh ccccnc, ccoc, oc cc, nh nc, ccc nc, ccccc, nc ccccc, occ ccccc, cc, oc ncccc, ncccc nc"
6,"cc, cc cc, cc nc, nc ccc, ccc, ccc cc, nc, nn, ccoc ccc, csc ccc, ccc cn, cn nc, ccoc, csc, ccc ccc, cl, cn, ccnc, ccnc cc, cc ccnc"
7,"nc, oc, ccccc nc, ccccc, cccc, oc ccccc, cc, ccc, nc ccc, csc, ccc oc, oc nc, nc ccccc, csc nc, scc ccccc, ccc cc, cccc nc, scc, nc cccc, cc ccc"
8,"ccccc ccc, ccccc, ccccc ccccc, nh ccccc, cc nh, ccc, ccc ccccc, ccc cc, cc, coc cc, nh, coc, cc ccc, ccccnc oc, ss ccc, cccn, cccn ccc, cccnc, ccccnc, cccccoc"
9,"cc, ccccc cc, ccccc, cc ccc, ccc, cc ccccc, cc cc, ccc cc, ccn, cn, ccc ccccc, ccn ccccc, cccc, nc, nc cn, cn ccn, cn cc, ccc ccn, sc, ccccc oc"
