country,food_category,consumption,co2_emmission,Cluster
Argentina,Pork,10.51,37.2,0
Argentina,Poultry,38.66,41.53,0
Argentina,Beef,55.48,1712.0,0
Argentina,Lamb & Goat,1.56,54.63,0
Argentina,Fish,4.359999999999999,6.96,0
Argentina,Eggs,11.39,10.46,0
Argentina,Milk - inc. cheese,195.08,277.87,0
Argentina,Wheat and Wheat Products,103.11,19.66,0
Argentina,Rice,8.77,11.22,0
Argentina,Soybeans,0.0,0.0,0
Argentina,Nuts inc. Peanut Butter,0.49,0.8700000000000001,0
Australia,Pork,24.14,85.44000000000001,0
Australia,Poultry,46.120000000000005,49.54,0
Australia,Beef,33.86,1044.85,0
Australia,Lamb & Goat,9.87,345.65000000000003,0
Australia,Fish,17.69,28.25,0
Australia,Eggs,8.51,7.819999999999999,0
Australia,Milk - inc. cheese,234.49,334.01,0
Australia,Wheat and Wheat Products,70.46000000000001,13.44,0
Australia,Rice,11.03,14.12,0
Australia,Soybeans,0.19,0.09,0
Australia,Nuts inc. Peanut Butter,8.729999999999999,15.45,0
Albania,Pork,10.88,38.51,0
Albania,Poultry,13.23,14.21,0
Albania,Beef,22.5,694.3,0
Albania,Lamb & Goat,15.32,536.5,0
Albania,Fish,3.85,6.1499999999999995,0
Albania,Eggs,12.45,11.44,0
Albania,Milk - inc. cheese,303.71999999999997,432.62,0
Albania,Wheat and Wheat Products,138.64,26.44,0
Albania,Rice,7.78,9.96,0
Albania,Soybeans,0.0,0.0,0
Albania,Nuts inc. Peanut Butter,4.359999999999999,7.72,0
Iceland,Pork,21.69,76.77,0
Iceland,Poultry,26.87,28.86,0
Iceland,Beef,13.36,412.26,0
Iceland,Lamb & Goat,21.12,739.62,0
Iceland,Fish,74.41000000000001,118.81,0
Iceland,Eggs,8.239999999999998,7.57,0
Iceland,Milk - inc. cheese,225.82,321.66,0
Iceland,Wheat and Wheat Products,72.92,13.91,0
Iceland,Rice,3.89,4.98,0
Iceland,Soybeans,0.11,0.05,0
Iceland,Nuts inc. Peanut Butter,3.88,6.87,0
New Zealand,Pork,22.29,78.9,0
New Zealand,Poultry,34.98,37.58,0
New Zealand,Beef,22.49,693.99,0
New Zealand,Lamb & Goat,18.91,662.23,0
New Zealand,Fish,20.36,32.51,0
New Zealand,Eggs,9.91,9.1,0
New Zealand,Milk - inc. cheese,137.25,195.5,0
New Zealand,Wheat and Wheat Products,76.91000000000001,14.67,0
New Zealand,Rice,9.16,11.72,0
New Zealand,Soybeans,0.44,0.2,0
New Zealand,Nuts inc. Peanut Butter,8.219999999999999,14.55,0
USA,Pork,27.64,97.83,0
USA,Poultry,50.01,53.720000000000006,0
USA,Beef,36.24,1118.29,0
USA,Lamb & Goat,0.43,15.06,0
USA,Fish,12.35,19.72,0
USA,Eggs,14.58,13.39,0
USA,Milk - inc. cheese,254.69,362.78,0
USA,Wheat and Wheat Products,80.43,15.34,0
USA,Rice,6.88,8.8,0
USA,Soybeans,0.04,0.02,0
USA,Nuts inc. Peanut Butter,7.859999999999999,13.91,0
Uruguay,Pork,16.84,59.61,0
Uruguay,Poultry,27.45,29.49,0
Uruguay,Beef,29.1,897.9599999999999,0
Uruguay,Lamb & Goat,8.229999999999999,288.21,0
Uruguay,Fish,6.53,10.43,0
Uruguay,Eggs,13.14,12.07,0
Uruguay,Milk - inc. cheese,210.54,299.89,0
Uruguay,Wheat and Wheat Products,109.31,20.85,0
Uruguay,Rice,11.5,14.72,0
Uruguay,Soybeans,0.01,0.0,0
Uruguay,Nuts inc. Peanut Butter,0.95,1.6800000000000002,0
Luxembourg,Pork,43.58,154.25,0
Luxembourg,Poultry,21.37,22.959999999999997,0
Luxembourg,Beef,29.88,922.03,0
Luxembourg,Lamb & Goat,1.6700000000000002,58.48,0
Luxembourg,Fish,23.09,36.87,0
Luxembourg,Eggs,14.64,13.45,0
Luxembourg,Milk - inc. cheese,255.3,363.65,0
Luxembourg,Wheat and Wheat Products,103.2,19.68,0
Luxembourg,Rice,4.2,5.37,0
Luxembourg,Soybeans,0.04,0.02,0
Luxembourg,Nuts inc. Peanut Butter,0.93,1.65,0
Brazil,Pork,12.6,44.6,0
Brazil,Poultry,45.0,48.34,0
Brazil,Beef,39.25,1211.1699999999998,0
Brazil,Lamb & Goat,0.62,21.71,0
Brazil,Fish,10.01,15.98,0
Brazil,Eggs,8.98,8.25,0
Brazil,Milk - inc. cheese,149.28,212.63,0
Brazil,Wheat and Wheat Products,53.0,10.11,0
Brazil,Rice,32.13,41.120000000000005,0
Brazil,Soybeans,3.62,1.63,0
Brazil,Nuts inc. Peanut Butter,0.6699999999999999,1.1900000000000002,0
Kazakhstan,Pork,10.36,36.67,0
Kazakhstan,Poultry,18.38,19.74,0
Kazakhstan,Beef,23.38,721.4599999999999,0
Kazakhstan,Lamb & Goat,9.56,334.78999999999996,0
Kazakhstan,Fish,5.21,8.32,0
Kazakhstan,Eggs,8.29,7.619999999999999,0
Kazakhstan,Milk - inc. cheese,288.12,410.4,0
Kazakhstan,Wheat and Wheat Products,92.31,17.6,0
Kazakhstan,Rice,7.319999999999999,9.37,0
Kazakhstan,Soybeans,0.03,0.01,0
Kazakhstan,Nuts inc. Peanut Butter,5.14,9.1,0
Sweden,Pork,37.0,130.96,0
Sweden,Poultry,16.64,17.87,0
Sweden,Beef,24.58,758.49,0
Sweden,Lamb & Goat,1.41,49.379999999999995,0
Sweden,Fish,23.86,38.1,0
Sweden,Eggs,13.37,12.28,0
Sweden,Milk - inc. cheese,341.22999999999996,486.05,0
Sweden,Wheat and Wheat Products,79.59,15.18,0
Sweden,Rice,5.96,7.63,0
Sweden,Soybeans,0.13,0.06,0
Sweden,Nuts inc. Peanut Butter,6.23,11.03,0
Bermuda,Pork,28.24,99.96,0
Bermuda,Poultry,32.620000000000005,35.04,0
Bermuda,Beef,33.15,1022.94,0
Bermuda,Lamb & Goat,2.71,94.9,0
Bermuda,Fish,33.220000000000006,53.04,0
Bermuda,Eggs,14.92,13.71,0
Bermuda,Milk - inc. cheese,95.56,136.12,0
Bermuda,Wheat and Wheat Products,54.879999999999995,10.47,0
Bermuda,Rice,5.38,6.88,0
Bermuda,Soybeans,0.22,0.1,0
Bermuda,Nuts inc. Peanut Butter,5.72,10.12,0
Denmark,Pork,24.87,88.03,0
Denmark,Poultry,26.75,28.73,0
Denmark,Beef,28.459999999999997,878.22,0
Denmark,Lamb & Goat,0.92,32.220000000000006,0
Denmark,Fish,16.49,26.33,0
Denmark,Eggs,15.35,14.1,0
Denmark,Milk - inc. cheese,277.3,394.9899999999999,0
Denmark,Wheat and Wheat Products,98.0,18.69,0
Denmark,Rice,4.96,6.35,0
Denmark,Soybeans,0.03,0.01,0
Denmark,Nuts inc. Peanut Butter,5.94,10.51,0
Finland,Pork,36.14,127.92,0
Finland,Poultry,19.87,21.34,0
Finland,Beef,19.22,593.09,0
Finland,Lamb & Goat,0.53,18.56,0
Finland,Fish,33.8,53.97,0
Finland,Eggs,9.55,8.77,0
Finland,Milk - inc. cheese,430.76,613.57,0
Finland,Wheat and Wheat Products,81.99000000000001,15.64,0
Finland,Rice,4.42,5.659999999999999,0
Finland,Soybeans,0.08,0.04,0
Finland,Nuts inc. Peanut Butter,3.4299999999999997,6.07,0
Ireland,Pork,32.4,114.68,0
Ireland,Poultry,26.26,28.21,0
Ireland,Beef,22.35,689.6700000000001,0
Ireland,Lamb & Goat,4.1,143.58,0
Ireland,Fish,17.39,27.77,0
Ireland,Eggs,8.96,8.229999999999999,0
Ireland,Milk - inc. cheese,291.86,415.73,0
Ireland,Wheat and Wheat Products,107.98,20.59,0
Ireland,Rice,3.0,3.84,0
Ireland,Soybeans,0.25,0.11,0
Ireland,Nuts inc. Peanut Butter,4.1,7.26,0
Greece,Pork,28.31,100.2,0
Greece,Poultry,15.739999999999998,16.91,0
Greece,Beef,16.1,496.81,0
Greece,Lamb & Goat,12.47,436.7,0
Greece,Fish,14.42,23.02,0
Greece,Eggs,10.13,9.31,0
Greece,Milk - inc. cheese,255.26,363.59,0
Greece,Wheat and Wheat Products,124.04,23.65,0
Greece,Rice,6.64,8.5,0
Greece,Soybeans,0.02,0.01,0
Greece,Nuts inc. Peanut Butter,10.5,18.59,0
France,Pork,33.05,116.98,0
France,Poultry,22.93,24.630000000000003,0
France,Beef,23.81,734.73,0
France,Lamb & Goat,3.28,114.87,0
France,Fish,22.91,36.58,0
France,Eggs,13.13,12.06,0
France,Milk - inc. cheese,241.31,343.71999999999997,0
France,Wheat and Wheat Products,108.43,20.68,0
France,Rice,4.88,6.24,0
France,Soybeans,0.05,0.02,0
France,Nuts inc. Peanut Butter,5.39,9.54,0
Canada,Pork,22.81,80.74000000000001,0
Canada,Poultry,36.68,39.4,0
Canada,Beef,30.25,933.45,0
Canada,Lamb & Goat,0.97,33.97,0
Canada,Fish,14.56,23.25,0
Canada,Eggs,12.95,11.9,0
Canada,Milk - inc. cheese,187.77,267.46,0
