number,title,rating,nbr_votes,description,season,clean_text,cluster
1,Rose,7.6,6504,When ordinary shop-worker Rose Tyler meets a mysterious stranger called the Doctor she is drawn into his strange and dangerous world; her life will never be the same again.,1,ordinary shop worker rose tyler meet mysterious stranger called doctor drawn strange dangerous world life never,0
2,The End of the World,7.6,5684,The Doctor takes Rose to the year 5 billion to witness the destruction of the Earth.,1,doctor take rose year billion witness destruction earth,1
3,The Unquiet Dead,7.6,5326,The Doctor has great expectations for his latest adventure when he and Rose join forces with Charles Dickens to investigate a mysterious plague of zombies.,1,doctor great expectation latest adventure rose join force charles dickens investigate mysterious plague zombie,2
4,Aliens of London,7.0,5116,"The Doctor returns Rose to her own time - well, sort of - but her family reunion is ruined when a spaceship crashes in the middle of London. What is the origin of the spaceship, and where has the Prime Minister gone in this time of crisis?",1,doctor return rose time well sort family reunion ruined spaceship crash middle london origin spaceship prime minister gone time crisis,2
5,World War Three,7.1,4943,The Slitheen have infiltrated Parliament and have the Doctor and his friends trapped as the Doctor works to prevent them from starting World War Three.,1,slitheen infiltrated parliament doctor friend trapped doctor work prevent starting world war three,3
6,Dalek,8.7,5636,"The TARDIS is drawn to an alien museum deep below the Utah desert, where a ruthless billionaire keeps prisoner the last of the Doctor's most fearsome enemies.",1,tardis drawn alien museum deep utah desert ruthless billionaire keep prisoner last doctor fearsome enemy,1
7,The Long Game,7.2,4872,"In the year 200,000 the Doctor discovers that a satellite with a dark secret is controlling humanity and slowing its development.",1,year doctor discovers satellite dark secret controlling humanity slowing development,1
8,Father's Day,8.4,5433,"All of her life, Rose's mother told how great a man her father Pete was. He was killed by a hit and run driver when Rose was just a baby and among her many regrets was that her father died alone, just lying on the street. Rose asks the Doctor to take her back to that day. Rather than just be with him when he dies, she actually saves him and later admits that this was her plan all along. She soon realizes that her parents' marriage was not exactly the golden relationship she had claimed it to be. Far worse however, is that by saving her father, Rose has created a tear ...",1,life rose mother told great man father pete killed hit run driver rose baby among many regret father died alone lying street rose asks doctor take back day rather dy actually save later admits plan along soon realizes parent marriage exactly golden relationship claimed far worse however saving father rose created tear,1
9,The Empty Child,9.2,6659,"When a spaceship crashes in the middle of the London Blitz the Doctor, Rose and the enigmatic Captain Jack Harkness find themselves investigating a plague of physical injuries and a little boy in a gas mask.",1,spaceship crash middle london blitz doctor rose enigmatic captain jack harkness find investigating plague physical injury little boy gas mask,2
10,The Doctor Dances,9.1,6108,The gas mask zombies are on the rise as the plague spreads across war-torn London.,1,gas mask zombie rise plague spread across war torn london,2
11,Boom Town,7.2,4631,"Stopping off in present-day Cardiff to recharge the TARDIS, The Doctor, Rose and Jack encounter an old foe in the midst of hatching a scheme that could destroy the entire planet.",1,stopping present day cardiff recharge tardis doctor rose jack encounter old foe midst hatching scheme could destroy entire planet,2
12,Bad Wolf,8.7,5314,The TARDIS team is separated and forced to compete in twisted and deadly games on the Game Station.,1,tardis team separated forced compete twisted deadly game game station,3
13,The Parting of the Ways,9.1,5788,"As the Dalek fleet begin their attack on the Earth, the Doctor and his allies make one final stand against his greatest foes and not everyone will make it out alive.",1,dalek fleet begin attack earth doctor ally make one final stand greatest foe everyone make alive,1
0,The Christmas Invasion,8.2,5291,"It's Christmas Eve, but this is to be a far from silent night - the cruel Sycorax have come to Earth to enslave mankind and, as ever, only The Doctor can stop them. Unfortunately, he's lying in a coma in Jackie's home...",2,christmas eve far silent night cruel sycorax come earth enslave mankind ever doctor stop unfortunately lying coma jackie home,4
1,New Earth,7.5,4891,The Doctor and Rose arrive on New Earth and meet old friends and enemies in a hospital which can cure every disease. But the cures come at a terrible cost.,2,doctor rose arrive new earth meet old friend enemy hospital cure every disease cure come terrible cost,1
2,Tooth and Claw,7.9,5041,"The Doctor and Rose are transported to 19th Century Scotland, where they meet Queen Victoria, and try to protect her from a ravenous werewolf and a band of assassinating warrior-monks",2,doctor rose transported th century scotland meet queen victoria try protect ravenous werewolf band assassinating warrior monk,2
3,School Reunion,8.4,5397,"The Krillitanes - aliens with a mix-and-match physiology - are trying to crack the 'God-Maker', a paradigm to give them ultimate power. They are using children as a computer, and only the Doctor and Rose, re-united with Sarah Jane Smith and K9 can prevent them from becoming masters of time and space.",2,krillitanes alien mix match physiology trying crack god maker paradigm give ultimate power using child computer doctor rose united sarah jane smith k prevent becoming master time space,3
4,The Girl in the Fireplace,9.3,8504,"The Doctor, Mickey and Rose land on a spaceship in the 51st century only to find 18th century Versailles on board, the time of Madame De Pompadour! To find out what's going on the Doctor must enter Versailles and save Madame De Popmpadour but it turns into an emotional roller coaster for the Doctor.",2,doctor mickey rose land spaceship st century find th century versailles board time madame de pompadour find going doctor must enter versailles save madame de popmpadour turn emotional roller coaster doctor,2
5,Rise of the Cybermen,7.8,4688,"The TARDIS crash lands in London on a parallel world, where Rose's dad is still alive, people are disappearing off the streets and one of the Doctor's deadliest enemies is about to be reborn.",2,tardis crash land london parallel world rose dad still alive people disappearing street one doctor deadliest enemy reborn,2
6,The Age of Steel,7.9,4636,The Cybermen take control of London as the population is enslaved and the Doctor and his friends become fugitives.,2,cybermen take control london population enslaved doctor friend become fugitive,1
7,The Idiot's Lantern,6.9,4814,"As the coronation of Elizabeth II nears, the streets of London live in fear. Faceless people are stolen from their homes in the night and something evil is lurking in the television.",2,coronation elizabeth ii nears street london live fear faceless people stolen home night something evil lurking television,1
8,The Impossible Planet,8.7,5399,"When the Doctor and Rose become stranded on a planet orbiting a black hole, they find a human expedition crew and their servants, the Ood, being terrorised by the Devil.",2,doctor rose become stranded planet orbiting black hole find human expedition crew servant ood terrorised devil,2
9,The Satan Pit,8.8,5609,"The Doctor risks his life to investigate the pit and is forced to make a terrible decision, while Rose and the crew fend for their lives against the Legion of the Beast.",2,doctor risk life investigate pit forced make terrible decision rose crew fend life legion beast,4
10,Love & Monsters,6.2,5738,"Elton Pope is an ordinary man intrigued by the world of the Doctor. When he and fellow enthusiasts - L.I.N.D.A. - meet the mysterious Victor Kennedy, their lives will never be the same again.",2,elton pope ordinary man intrigued world doctor fellow enthusiast l n meet mysterious victor kennedy life never,0
11,Fear Her,6.1,5047,"When children vanish into thin air in 2012 London, the Doctor and Rose find the answers in a seemingly ordinary household and a girl whose drawings can come to life.",2,child vanish thin air london doctor rose find answer seemingly ordinary household girl whose drawing come life,2
12,Army of Ghosts,8.5,4885,"When ghosts of loved ones appear all over the world the Doctor traces the phenomena to the Torchwood Tower, where some old friends and enemies are waiting.",2,ghost loved one appear world doctor trace phenomenon torchwood tower old friend enemy waiting,1
13,Doomsday,9.3,6836,"Earth becomes a battleground for the Daleks and the Cybermen. With the whole planet at stake and the Genesis Ark activated, how much will the Doctor sacrifice in order to end the war?",2,earth becomes battleground daleks cybermen whole planet stake genesis ark activated much doctor sacrifice order end war,1
0,The Runaway Bride,7.6,4991,"The Doctor is baffled when a young woman is transported to the TARDIS on her wedding day, and attempts to find out how she is connected to an alien plot to destroy Earth.",3,doctor baffled young woman transported tardis wedding day attempt find connected alien plot destroy earth,1
