journey,journey_count,distance_in_meters,av_duration_s,clean_text,cluster
"Hyde Park Corner, Hyde Park to Hyde Park Corner, Hyde Park",157171,0.0,3112.1019272003114,hyde park corner hyde park to hyde park corner hyde park,0
"Albert Gate, Hyde Park to Albert Gate, Hyde Park",86432,0.0,2759.7268488522764,albert gate hyde park to albert gate hyde park,0
"Black Lion Gate, Kensington Gardens to Black Lion Gate, Kensington Gardens",83532,0.0,3107.99715079251,black lion gate kensington gardens to black lion gate kensington gardens,1
"Triangle Car Park, Hyde Park to Triangle Car Park, Hyde Park",69580,0.0,2801.6959614831835,triangle car park hyde park to triangle car park hyde park,0
"Park Lane , Hyde Park to Park Lane , Hyde Park",60110,0.0,3299.8857594410265,park lane  hyde park to park lane  hyde park,0
"Podium, Queen Elizabeth Olympic Park to Podium, Queen Elizabeth Olympic Park",44478,0.0,2725.640361527047,podium queen elizabeth olympic park to podium queen elizabeth olympic park,0
"Palace Gate, Kensington Gardens to Palace Gate, Kensington Gardens",40655,0.0,2721.0165785266254,palace gate kensington gardens to palace gate kensington gardens,1
"Wellington Arch, Hyde Park to Wellington Arch, Hyde Park",35861,0.0,2663.1928836340307,wellington arch hyde park to wellington arch hyde park,0
"Hyde Park Corner, Hyde Park to Albert Gate, Hyde Park",32565,342.07906390568036,2541.7759250729305,hyde park corner hyde park to albert gate hyde park,0
"Hyde Park Corner, Hyde Park to Triangle Car Park, Hyde Park",31508,1217.7165255139414,1781.9277961152727,hyde park corner hyde park to triangle car park hyde park,0
"Black Lion Gate, Kensington Gardens to Palace Gate, Kensington Gardens",30526,906.5303714589717,1417.7310489418855,black lion gate kensington gardens to palace gate kensington gardens,1
"Triangle Car Park, Hyde Park to Hyde Park Corner, Hyde Park",29552,1217.7165255139414,1801.1282146724418,triangle car park hyde park to hyde park corner hyde park,0
"Black Lion Gate, Kensington Gardens to Hyde Park Corner, Hyde Park",29407,2492.548462864748,1930.6926242051209,black lion gate kensington gardens to hyde park corner hyde park,1
"Albert Gate, Hyde Park to Hyde Park Corner, Hyde Park",29292,342.07906390568036,2561.625324320634,albert gate hyde park to hyde park corner hyde park,0
"Queen's Gate, Kensington Gardens to Queen's Gate, Kensington Gardens",28710,0.0,2534.4442354580287,queens gate kensington gardens to queens gate kensington gardens,1
"Serpentine Car Park, Hyde Park to Serpentine Car Park, Hyde Park",28602,0.0,2445.660268512691,serpentine car park hyde park to serpentine car park hyde park,0
"Queen's Circus, Battersea Park to Queen's Circus, Battersea Park",27002,0.0,3136.6054736686165,queens circus battersea park to queens circus battersea park,0
"Palace Gate, Kensington Gardens to Black Lion Gate, Kensington Gardens",26898,906.5303714589717,1558.0211911666297,palace gate kensington gardens to black lion gate kensington gardens,1
"Hyde Park Corner, Hyde Park to Black Lion Gate, Kensington Gardens",26540,2492.548462864748,2226.824189902034,hyde park corner hyde park to black lion gate kensington gardens,1
"Hyde Park Corner, Hyde Park to Serpentine Car Park, Hyde Park",26043,1368.741144693246,1659.0653150558692,hyde park corner hyde park to serpentine car park hyde park,0
"Timber Lodge, Queen Elizabeth Olympic Park to Timber Lodge, Queen Elizabeth Olympic Park",24444,0.0,3253.6626570107605,timber lodge queen elizabeth olympic park to timber lodge queen elizabeth olympic park,0
"Serpentine Car Park, Hyde Park to Hyde Park Corner, Hyde Park",21632,1368.741144693246,1568.8678346893491,serpentine car park hyde park to hyde park corner hyde park,0
"Black Lion Gate, Kensington Gardens to Albert Gate, Hyde Park",21597,2175.9257765437737,1672.5569292031298,black lion gate kensington gardens to albert gate hyde park,1
"East Village, Queen Elizabeth Olympic Park to East Village, Queen Elizabeth Olympic Park",20734,0.0,4486.487074370599,east village queen elizabeth olympic park to east village queen elizabeth olympic park,0
"Parsons Green Station, Parsons Green to St. Peter's Terrace, Fulham",20117,622.1128492491379,303.5866182830441,parsons green station parsons green to st peters terrace fulham,0
"The Tennis Courts, The Regent's Park to The Tennis Courts, The Regent's Park",19976,0.0,2253.245294353225,the tennis courts the regents park to the tennis courts the regents park,0
"Lee Valley VeloPark, Queen Elizabeth Olympic Park to Lee Valley VeloPark, Queen Elizabeth Olympic Park",19250,0.0,2914.7885714285703,lee valley velopark queen elizabeth olympic park to lee valley velopark queen elizabeth olympic park,0
"Palace Gate, Kensington Gardens to Hyde Park Corner, Hyde Park",18553,2140.7047437712995,1837.3641998598607,palace gate kensington gardens to hyde park corner hyde park,1
"Albert Gate, Hyde Park to Black Lion Gate, Kensington Gardens",18384,2175.9257765437737,1855.2109442993903,albert gate hyde park to black lion gate kensington gardens,1
"St. Peter's Terrace, Fulham to Parsons Green Station, Parsons Green",17729,622.1128492491379,245.7276778160077,st peters terrace fulham to parsons green station parsons green,0
"Park Lane , Hyde Park to Hyde Park Corner, Hyde Park",17218,809.9764314163704,2433.392380067372,park lane  hyde park to hyde park corner hyde park,0
"Hyde Park Corner, Hyde Park to Park Lane , Hyde Park",16926,809.9764314163704,2582.28453267163,hyde park corner hyde park to park lane  hyde park,0
"Bayswater Road, Hyde Park to Bayswater Road, Hyde Park",16769,0.0,3637.1697775657462,bayswater road hyde park to bayswater road hyde park,0
"Nesham Street, Wapping to Wapping Lane, Wapping",16748,700.2596370828122,326.834427991402,nesham street wapping to wapping lane wapping,2
"Queen's Gate, Kensington Gardens to Hyde Park Corner, Hyde Park",16585,1829.3660135366208,1726.2348507687673,queens gate kensington gardens to hyde park corner hyde park,1
"Hyde Park Corner, Hyde Park to Queen's Gate, Kensington Gardens",16180,1829.3660135366208,1718.487577255872,hyde park corner hyde park to queens gate kensington gardens,1
"Albert Gate, Hyde Park to Triangle Car Park, Hyde Park",15956,906.0767121390128,1893.9020431185763,albert gate hyde park to triangle car park hyde park,0
"Riverlight North, Nine Elms to Vauxhall Cross, Vauxhall",15684,898.6040554920728,359.0995281815865,riverlight north nine elms to vauxhall cross vauxhall,0
"Albert Gate, Hyde Park to Park Lane , Hyde Park",15543,789.6544249954313,2036.212764588562,albert gate hyde park to park lane  hyde park,0
"Vauxhall Cross, Vauxhall to Riverlight North, Nine Elms",15223,898.6040554920728,407.70524863693095,vauxhall cross vauxhall to riverlight north nine elms,0
"Park Lane , Hyde Park to Triangle Car Park, Hyde Park",15197,983.4299745410926,1690.849970388892,park lane  hyde park to triangle car park hyde park,0
"Park Road (Baker Street), The Regent's Park to Park Road (Baker Street), The Regent's Park",15017,0.0,2924.896916827595,park road baker street the regents park to park road baker street the regents park,0
"Queen's Gate, Kensington Gardens to Black Lion Gate, Kensington Gardens",14837,1065.666561964244,1753.8724809597627,queens gate kensington gardens to black lion gate kensington gardens,1
"Hyde Park Corner, Hyde Park to Palace Gate, Kensington Gardens",14482,2140.7047437712995,2065.0698107996136,hyde park corner hyde park to palace gate kensington gardens,1
"Cadogan Close, Victoria Park to Cadogan Close, Victoria Park",14225,0.0,3358.940175746926,cadogan close victoria park to cadogan close victoria park,0
"Triangle Car Park, Hyde Park to Black Lion Gate, Kensington Gardens",14020,1274.8344495374574,1707.86362339515,triangle car park hyde park to black lion gate kensington gardens,1
"Triangle Car Park, Hyde Park to Albert Gate, Hyde Park",13966,906.0767121390128,1914.7895603608763,triangle car park hyde park to albert gate hyde park,0
"Ethelburga Estate, Battersea Park to Ethelburga Estate, Battersea Park",13846,0.0,2661.100173335259,ethelburga estate battersea park to ethelburga estate battersea park,0
"Storey's Gate, Westminster to Storey's Gate, Westminster",13612,0.0,2322.5005142521286,storeys gate westminster to storeys gate westminster,0
"Storey's Gate, Westminster to Wellington Arch, Hyde Park",13540,1393.9072095315028,1321.4870753323487,storeys gate westminster to wellington arch hyde park,0
"Triangle Car Park, Hyde Park to Park Lane , Hyde Park",13246,983.4299745410926,1916.543182847652,triangle car park hyde park to park lane  hyde park,0
"Barons Court Station, West Kensington to Greyhound Road, Hammersmith",13094,464.3233011161667,342.3258744463114,barons court station west kensington to greyhound road hammersmith,1
"Red Lion Street, Holborn to Belgrove Street , King's Cross",13032,1343.8955276255183,480.24063842848375,red lion street holborn to belgrove street  kings cross,2
"Albert Gate, Hyde Park to Serpentine Car Park, Hyde Park",12955,1036.4589298323065,1663.8150521034352,albert gate hyde park to serpentine car park hyde park,0
"Belgrove Street , King's Cross to Red Lion Street, Holborn",12730,1343.8955276255183,496.9023566378633,belgrove street  kings cross to red lion street holborn,2
"Saunders Ness Road, Cubitt Town to Saunders Ness Road, Cubitt Town",12620,0.0,4886.416957210775,saunders ness road cubitt town to saunders ness road cubitt town,0
