geofips,geoname,2013,text,cluster
1998,Alabama (Metropolitan Portion),88.9,alabama  metropolitan portion ,2
1999,Alabama (Nonmetropolitan Portion),82.9,alabama  nonmetropolitan portion ,2
2998,Alaska (Metropolitan Portion),110.0,alaska  metropolitan portion ,2
2999,Alaska (Nonmetropolitan Portion),98.6,alaska  nonmetropolitan portion ,2
4998,Arizona (Metropolitan Portion),97.6,arizona  metropolitan portion ,2
4999,Arizona (Nonmetropolitan Portion),89.1,arizona  nonmetropolitan portion ,2
5998,Arkansas (Metropolitan Portion),89.2,arkansas  metropolitan portion ,2
5999,Arkansas (Nonmetropolitan Portion),84.2,arkansas  nonmetropolitan portion ,2
6998,California (Metropolitan Portion),112.8,california  metropolitan portion ,2
6999,California (Nonmetropolitan Portion),97.5,california  nonmetropolitan portion ,2
8998,Colorado (Metropolitan Portion),103.4,colorado  metropolitan portion ,2
8999,Colorado (Nonmetropolitan Portion),96.3,colorado  nonmetropolitan portion ,2
9998,Connecticut (Metropolitan Portion),109.0,connecticut  metropolitan portion ,2
9999,Connecticut (Nonmetropolitan Portion),102.3,connecticut  nonmetropolitan portion ,2
10998,Delaware (Metropolitan Portion),101.6,delaware  metropolitan portion ,2
10999,Delaware (Nonmetropolitan Portion),0.0,delaware  nonmetropolitan portion ,1
11998,District of Columbia (Metropolitan Portion),118.1,district of columbia  metropolitan portion ,2
11999,District of Columbia (Nonmetropolitan Portion),0.0,district of columbia  nonmetropolitan portion ,1
12998,Florida (Metropolitan Portion),99.4,florida  metropolitan portion ,2
12999,Florida (Nonmetropolitan Portion),88.6,florida  nonmetropolitan portion ,2
13998,Georgia (Metropolitan Portion),93.5,georgia  metropolitan portion ,2
13999,Georgia (Nonmetropolitan Portion),84.7,georgia  nonmetropolitan portion ,2
15998,Hawaii (Metropolitan Portion),119.3,hawaii  metropolitan portion ,2
15999,Hawaii (Nonmetropolitan Portion),98.9,hawaii  nonmetropolitan portion ,2
16998,Idaho (Metropolitan Portion),93.4,idaho  metropolitan portion ,2
16999,Idaho (Nonmetropolitan Portion),91.0,idaho  nonmetropolitan portion ,2
17998,Illinois (Metropolitan Portion),103.3,illinois  metropolitan portion ,2
17999,Illinois (Nonmetropolitan Portion),84.2,illinois  nonmetropolitan portion ,2
18998,Indiana (Metropolitan Portion),93.0,indiana  metropolitan portion ,2
18999,Indiana (Nonmetropolitan Portion),84.5,indiana  nonmetropolitan portion ,2
19998,Iowa (Metropolitan Portion),93.2,iowa  metropolitan portion ,2
19999,Iowa (Nonmetropolitan Portion),86.1,iowa  nonmetropolitan portion ,2
20998,Kansas (Metropolitan Portion),93.4,kansas  metropolitan portion ,2
20999,Kansas (Nonmetropolitan Portion),85.1,kansas  nonmetropolitan portion ,2
21998,Kentucky (Metropolitan Portion),90.8,kentucky  metropolitan portion ,2
21999,Kentucky (Nonmetropolitan Portion),86.2,kentucky  nonmetropolitan portion ,2
22998,Louisiana (Metropolitan Portion),92.7,louisiana  metropolitan portion ,2
