FOD1P,Major,Major_Category,Cluster
1100,GENERAL AGRICULTURE,Agriculture & Natural Resources,0
1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources,0
1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources,0
1103,ANIMAL SCIENCES,Agriculture & Natural Resources,0
1104,FOOD SCIENCE,Agriculture & Natural Resources,0
1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources,0
1106,SOIL SCIENCE,Agriculture & Natural Resources,0
1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,0
1302,FORESTRY,Agriculture & Natural Resources,0
1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,0
6000,FINE ARTS,Arts,0
6001,DRAMA AND THEATER ARTS,Arts,0
6002,MUSIC,Arts,0
6003,VISUAL AND PERFORMING ARTS,Arts,0
6004,COMMERCIAL ART AND GRAPHIC DESIGN,Arts,0
6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts,0
6007,STUDIO ARTS,Arts,0
6099,MISCELLANEOUS FINE ARTS,Arts,0
1301,ENVIRONMENTAL SCIENCE,Biology & Life Science,0
3600,BIOLOGY,Biology & Life Science,0
3601,BIOCHEMICAL SCIENCES,Biology & Life Science,0
3602,BOTANY,Biology & Life Science,0
3603,MOLECULAR BIOLOGY,Biology & Life Science,0
3604,ECOLOGY,Biology & Life Science,0
3605,GENETICS,Biology & Life Science,0
3606,MICROBIOLOGY,Biology & Life Science,0
3607,PHARMACOLOGY,Biology & Life Science,0
3608,PHYSIOLOGY,Biology & Life Science,0
3609,ZOOLOGY,Biology & Life Science,0
3611,NEUROSCIENCE,Biology & Life Science,0
3699,MISCELLANEOUS BIOLOGY,Biology & Life Science,0
4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,0
6200,GENERAL BUSINESS,Business,0
6201,ACCOUNTING,Business,0
6202,ACTUARIAL SCIENCE,Business,0
6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business,0
6204,OPERATIONS LOGISTICS AND E-COMMERCE,Business,0
6205,BUSINESS ECONOMICS,Business,0
6206,MARKETING AND MARKETING RESEARCH,Business,0
6207,FINANCE,Business,0
6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business,0
6210,INTERNATIONAL BUSINESS,Business,0
6211,HOSPITALITY MANAGEMENT,Business,0
6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,0
6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business,0
1901,COMMUNICATIONS,Communications & Journalism,0
1902,JOURNALISM,Communications & Journalism,0
1903,MASS MEDIA,Communications & Journalism,0
1904,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,0
2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,0
2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,0
2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,0
2102,COMPUTER SCIENCE,Computers & Mathematics,4
2105,INFORMATION SCIENCES,Computers & Mathematics,0
2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,0
2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,0
3700,MATHEMATICS,Computers & Mathematics,0
3701,APPLIED MATHEMATICS,Computers & Mathematics,0
3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,0
4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,0
2300,GENERAL EDUCATION,Education,0
2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,0
2303,SCHOOL STUDENT COUNSELING,Education,0
2304,ELEMENTARY EDUCATION,Education,0
2305,MATHEMATICS TEACHER EDUCATION,Education,0
2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education,0
2307,EARLY CHILDHOOD EDUCATION,Education,0
2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education,0
2309,SECONDARY TEACHER EDUCATION,Education,0
2310,SPECIAL NEEDS EDUCATION,Education,0
2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,0
2312,TEACHER EDUCATION: MULTIPLE LEVELS,Education,0
2313,LANGUAGE AND DRAMA EDUCATION,Education,0
2314,ART AND MUSIC EDUCATION,Education,0
2399,MISCELLANEOUS EDUCATION,Education,0
3501,LIBRARY SCIENCE,Education,0
1401,ARCHITECTURE,Engineering,0
2400,GENERAL ENGINEERING,Engineering,0
2401,AEROSPACE ENGINEERING,Engineering,0
2402,BIOLOGICAL ENGINEERING,Engineering,0
2403,ARCHITECTURAL ENGINEERING,Engineering,0
2404,BIOMEDICAL ENGINEERING,Engineering,0
2405,CHEMICAL ENGINEERING,Engineering,0
2406,CIVIL ENGINEERING,Engineering,0
2407,COMPUTER ENGINEERING,Engineering,0
2408,ELECTRICAL ENGINEERING,Engineering,0
2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,0
2410,ENVIRONMENTAL ENGINEERING,Engineering,0
2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,0
2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,1
2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,0
2414,MECHANICAL ENGINEERING,Engineering,0
2415,METALLURGICAL ENGINEERING,Engineering,0
2416,MINING AND MINERAL ENGINEERING,Engineering,0
2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,0
2418,NUCLEAR ENGINEERING,Engineering,0
2419,PETROLEUM ENGINEERING,Engineering,0
2499,MISCELLANEOUS ENGINEERING,Engineering,0
2500,ENGINEERING TECHNOLOGIES,Engineering,0
2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,0
2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,0
2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,0
2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,0
2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,0
5008,MATERIALS SCIENCE,Engineering,0
4002,NUTRITION SCIENCES,Health,0
6100,GENERAL MEDICAL AND HEALTH SERVICES,Health,2
6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,0
6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,0
6104,MEDICAL ASSISTING SERVICES,Health,0
6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health,0
6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,0
6107,NURSING,Health,0
6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,0
6109,TREATMENT THERAPY PROFESSIONS,Health,0
6110,COMMUNITY AND PUBLIC HEALTH,Health,0
6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,0
1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,0
2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,0
2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,0
2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,0
3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,0
3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts,0
3401,LIBERAL ARTS,Humanities & Liberal Arts,0
3402,HUMANITIES,Humanities & Liberal Arts,0
4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts,0
4801,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts,0
4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts,0
