cancelled,contract length,days active,invites sent,money spent,occupation,used coupon code,user ID,Cluster,NLP_Cluster
no,monthly,143,1,456,engineering manager,yes,3001,2,2
no,monthly,43,14,1068,developer,no,3002,2,1
no,monthly,31,12,105,product manager,no,3003,2,0
no,annual,31,17,811,product manager,no,3004,0,0
no,monthly,19,4,970,developer,no,3005,2,1
no,monthly,76,18,244,product manager,no,3006,0,0
no,annual,62,6,355,engineering manager,no,3007,2,2
yes,monthly,72,2,1073,marketer,no,3008,2,1
no,monthly,119,18,870,developer,no,3009,0,1
no,annual,4,11,121,engineering manager,yes,3010,2,2
no,monthly,33,18,7,engineering manager,no,3011,0,2
no,monthly,146,17,276,developer,no,3012,0,1
no,monthly,43,15,14,developer,no,3013,2,1
no,monthly,47,20,1110,product manager,no,3014,0,0
no,monthly,130,3,876,engineering manager,no,3015,2,2
no,monthly,62,9,746,product manager,no,3016,2,0
no,annual,94,15,247,engineering manager,yes,3017,0,2
no,annual,39,16,322,engineering manager,yes,3018,2,2
no,monthly,112,3,393,developer,no,3019,2,1
yes,monthly,1,6,1139,designer,no,3020,2,1
no,monthly,144,6,601,engineering manager,no,3021,2,2
no,monthly,132,9,271,developer,no,3022,2,1
no,monthly,18,5,895,product manager,yes,3023,2,0
no,monthly,52,10,200,developer,no,3024,2,1
no,monthly,136,2,941,product manager,no,3025,2,0
yes,monthly,68,11,146,product manager,no,3026,2,0
no,monthly,136,10,70,product manager,no,3027,2,0
no,monthly,24,2,918,engineering manager,yes,3028,2,2
yes,monthly,78,12,206,developer,no,3029,2,1
no,monthly,8,15,684,engineering manager,no,3030,2,2
yes,monthly,71,5,1152,sales,yes,3031,2,1
no,monthly,0,9,8,developer,yes,3032,2,1
yes,monthly,55,12,993,marketer,no,3033,2,1
no,monthly,72,4,516,developer,yes,3034,2,1
no,monthly,77,20,276,product manager,no,3035,0,0
yes,annual,86,12,956,sales,no,3036,2,1
yes,monthly,46,8,117,developer,no,3037,2,1
no,annual,67,5,373,product manager,no,3038,2,0
no,monthly,77,17,302,product manager,no,3039,0,0
yes,monthly,46,5,821,designer,yes,3040,2,1
yes,monthly,13,10,481,marketer,no,3041,2,1
no,monthly,39,1,665,product manager,no,3042,2,0
no,monthly,147,7,84,engineering manager,no,3043,2,2
no,monthly,116,8,403,engineering manager,yes,3044,2,2
no,monthly,34,19,1144,engineering manager,no,3045,0,2
no,annual,71,7,222,developer,no,3046,2,1
no,monthly,141,13,834,product manager,yes,3047,0,0
yes,monthly,39,1,1110,designer,no,3048,2,1
no,monthly,77,12,670,developer,no,3049,2,1
no,monthly,90,16,245,developer,no,3050,0,1
no,monthly,147,12,610,developer,no,3051,0,1
no,monthly,114,1,971,product manager,no,3052,2,0
no,annual,40,20,1176,engineering manager,yes,3053,0,2
no,monthly,67,11,237,engineering manager,yes,3054,2,2
no,annual,129,0,623,product manager,no,3055,2,0
yes,monthly,56,3,727,designer,no,3056,2,1
yes,monthly,33,11,713,engineering manager,no,3057,2,2
no,annual,14,6,1089,engineering manager,yes,3058,2,2
yes,monthly,72,2,497,designer,no,3059,2,1
no,monthly,35,2,1059,engineering manager,yes,3060,2,2
yes,annual,31,12,701,engineering manager,no,3061,2,2
yes,monthly,56,2,676,engineering manager,no,3062,2,2
no,monthly,116,8,968,product manager,no,3063,2,0
no,monthly,40,13,671,engineering manager,no,3064,2,2
no,monthly,148,9,427,product manager,yes,3065,2,0
no,monthly,9,9,211,developer,yes,3066,2,1
yes,monthly,68,10,189,designer,no,3067,2,1
no,monthly,27,15,1114,engineering manager,yes,3068,2,2
no,monthly,135,19,55,product manager,no,3069,0,0
yes,annual,12,6,963,developer,yes,3070,2,1
no,monthly,10,7,1144,engineering manager,no,3071,2,2
no,monthly,41,18,677,product manager,no,3072,0,0
no,annual,104,6,80,developer,no,3073,2,1
yes,monthly,62,10,705,sales,no,3074,2,1
no,monthly,87,14,286,product manager,no,3075,0,0
no,annual,147,14,35,engineering manager,no,3076,0,2
no,monthly,136,3,448,engineering manager,no,3077,2,2
yes,monthly,32,3,901,engineering manager,no,3078,2,2
yes,monthly,18,8,949,developer,yes,3079,2,1
no,annual,144,1,8,developer,no,3080,2,1
no,annual,3,12,50,engineering manager,yes,3081,2,2
no,monthly,70,18,611,engineering manager,no,3082,0,2
no,annual,113,3,406,product manager,no,3083,2,0
no,monthly,95,5,729,product manager,no,3084,2,0
yes,annual,71,10,172,product manager,no,3085,2,0
yes,annual,47,8,898,product manager,no,3086,2,0
no,monthly,65,14,807,developer,no,3087,2,1
no,monthly,96,4,187,product manager,yes,3088,2,0
