Month,pounds per cow,Year,Cluster,Text,NLP_Cluster
1,589,1962,0,year 1962 month 1 milk production 589,1
2,561,1962,0,year 1962 month 2 milk production 561,1
3,640,1962,0,year 1962 month 3 milk production 640,1
4,656,1962,0,year 1962 month 4 milk production 656,1
5,727,1962,0,year 1962 month 5 milk production 727,1
6,697,1962,0,year 1962 month 6 milk production 697,1
7,640,1962,2,year 1962 month 7 milk production 640,1
8,599,1962,2,year 1962 month 8 milk production 599,1
9,568,1962,2,year 1962 month 9 milk production 568,1
10,577,1962,2,year 1962 month 10 milk production 577,1
11,553,1962,2,year 1962 month 11 milk production 553,1
12,582,1962,2,year 1962 month 12 milk production 582,1
1,600,1963,0,year 1963 month 1 milk production 600,2
2,566,1963,0,year 1963 month 2 milk production 566,2
3,653,1963,0,year 1963 month 3 milk production 653,2
4,673,1963,0,year 1963 month 4 milk production 673,2
5,742,1963,0,year 1963 month 5 milk production 742,2
6,716,1963,0,year 1963 month 6 milk production 716,2
7,660,1963,2,year 1963 month 7 milk production 660,2
8,617,1963,2,year 1963 month 8 milk production 617,2
9,583,1963,2,year 1963 month 9 milk production 583,2
10,587,1963,2,year 1963 month 10 milk production 587,2
11,565,1963,2,year 1963 month 11 milk production 565,2
12,598,1963,2,year 1963 month 12 milk production 598,2
1,628,1964,0,year 1964 month 1 milk production 628,2
2,618,1964,0,year 1964 month 2 milk production 618,2
3,688,1964,0,year 1964 month 3 milk production 688,2
4,705,1964,0,year 1964 month 4 milk production 705,2
5,770,1964,0,year 1964 month 5 milk production 770,2
6,736,1964,0,year 1964 month 6 milk production 736,2
7,678,1964,2,year 1964 month 7 milk production 678,2
8,639,1964,2,year 1964 month 8 milk production 639,2
9,604,1964,2,year 1964 month 9 milk production 604,2
10,611,1964,2,year 1964 month 10 milk production 611,2
11,594,1964,2,year 1964 month 11 milk production 594,2
12,634,1964,2,year 1964 month 12 milk production 634,2
1,658,1965,0,year 1965 month 1 milk production 658,2
2,622,1965,0,year 1965 month 2 milk production 622,2
3,709,1965,0,year 1965 month 3 milk production 709,2
4,722,1965,0,year 1965 month 4 milk production 722,2
5,782,1965,0,year 1965 month 5 milk production 782,2
6,756,1965,0,year 1965 month 6 milk production 756,2
7,702,1965,2,year 1965 month 7 milk production 702,2
8,653,1965,2,year 1965 month 8 milk production 653,2
9,615,1965,2,year 1965 month 9 milk production 615,2
10,621,1965,2,year 1965 month 10 milk production 621,2
11,602,1965,2,year 1965 month 11 milk production 602,2
12,635,1965,2,year 1965 month 12 milk production 635,2
1,677,1966,0,year 1966 month 1 milk production 677,2
2,635,1966,0,year 1966 month 2 milk production 635,2
3,736,1966,0,year 1966 month 3 milk production 736,2
4,755,1966,0,year 1966 month 4 milk production 755,2
5,811,1966,0,year 1966 month 5 milk production 811,2
6,798,1966,0,year 1966 month 6 milk production 798,2
7,735,1966,2,year 1966 month 7 milk production 735,2
8,697,1966,2,year 1966 month 8 milk production 697,2
9,661,1966,2,year 1966 month 9 milk production 661,2
10,667,1966,2,year 1966 month 10 milk production 667,2
11,645,1966,2,year 1966 month 11 milk production 645,2
12,688,1966,2,year 1966 month 12 milk production 688,2
1,713,1967,0,year 1967 month 1 milk production 713,2
