label,train,val,clean_text,cluster,cluster_name
zumba,18,,zumba,1,"Cluster 1 - eating, putting, riding"
yoga,11,,yoga,1,"Cluster 1 - eating, putting, riding"
yawning,752,2.0,yawning,1,"Cluster 1 - eating, putting, riding"
yarn spinning,771,,yarn spinning,1,"Cluster 1 - eating, putting, riding"
writing,797,,writing,1,"Cluster 1 - eating, putting, riding"
wrestling,15,1.0,wrestling,1,"Cluster 1 - eating, putting, riding"
wrapping present,37,,wrapping present,1,"Cluster 1 - eating, putting, riding"
wood burning (art),725,1.0,wood burning art,2,"Cluster 2 - wood, sanding, chiseling"
winking,756,3.0,winking,1,"Cluster 1 - eating, putting, riding"
windsurfing,775,,windsurfing,1,"Cluster 1 - eating, putting, riding"
whistling,773,1.0,whistling,1,"Cluster 1 - eating, putting, riding"
welding,1000,2.0,welding,1,"Cluster 1 - eating, putting, riding"
weaving fabric,744,1.0,weaving fabric,1,"Cluster 1 - eating, putting, riding"
weaving basket,295,1.0,weaving basket,1,"Cluster 1 - eating, putting, riding"
waxing legs,896,,waxing leg,1,"Cluster 1 - eating, putting, riding"
waxing eyebrows,678,,waxing eyebrow,1,"Cluster 1 - eating, putting, riding"
waxing chest,809,1.0,waxing chest,1,"Cluster 1 - eating, putting, riding"
waxing back,587,,waxing back,1,"Cluster 1 - eating, putting, riding"
waxing armpits,452,3.0,waxing armpit,1,"Cluster 1 - eating, putting, riding"
waving hand,743,1.0,waving hand,1,"Cluster 1 - eating, putting, riding"
watering plants,23,1.0,watering plant,1,"Cluster 1 - eating, putting, riding"
water sliding,995,2.0,water sliding,1,"Cluster 1 - eating, putting, riding"
water skiing,965,1.0,water skiing,1,"Cluster 1 - eating, putting, riding"
watching tv,749,2.0,watching,1,"Cluster 1 - eating, putting, riding"
washing hands,998,3.0,washing hand,1,"Cluster 1 - eating, putting, riding"
washing hair,592,1.0,washing hair,1,"Cluster 1 - eating, putting, riding"
washing feet,755,2.0,washing foot,1,"Cluster 1 - eating, putting, riding"
washing dishes,93,,washing dish,1,"Cluster 1 - eating, putting, riding"
walking with crutches,23,4.0,walking crutch,1,"Cluster 1 - eating, putting, riding"
walking through snow,740,1.0,walking snow,1,"Cluster 1 - eating, putting, riding"
walking the dog,945,1.0,walking dog,1,"Cluster 1 - eating, putting, riding"
walking on stilts,762,,walking stilt,1,"Cluster 1 - eating, putting, riding"
waking up,956,2.0,waking,1,"Cluster 1 - eating, putting, riding"
waiting in line,757,1.0,waiting line,1,"Cluster 1 - eating, putting, riding"
wading through water,1,3.0,wading water,1,"Cluster 1 - eating, putting, riding"
wading through mud,6,,wading mud,1,"Cluster 1 - eating, putting, riding"
visiting the zoo,770,1.0,visiting zoo,1,"Cluster 1 - eating, putting, riding"
