Rank,0,1,2,3,4,5,6,7,8,9
0,ireland,south,france,finland,norway,sweden,japan,canada,united,italy
1,australia,africa,zealand,zealand,zealand,zealand,zealand,zealand,kingdom,zealand
2,switzerland,south africa,emerging,emerging,hong,hong kong,hong,estonia,united kingdom,hong
3,denmark,hong kong,estonia,estonia,estonia,estonia,estonia,euro,united state,estonia
4,belgium,estonia,euro,euro,euro,euro,euro,euro area,state,euro
5,netherlands,euro,euro area,euro area,euro area,euro area,euro area,finland,hong,euro area
6,germany,euro area,finland,france,finland,finland,finland,france,emerging market,finland
7,spain,finland,germany,germany,france,france,france,germany,estonia,france
8,korea,france,greece,greece,germany,germany,germany,greece,euro,germany
9,iceland,germany,hong,hong,greece,greece,greece,hong,euro area,greece
10,austria,greece,hong kong,hong kong,hong kong,hong,hong kong,hong kong,finland,hong kong
11,malaysia,hong,hungary,hungary,kong,hungary,emerging,emerging,france,emerging
12,colombia,zealand,iceland,iceland,hungary,emerging,hungary,hungary,germany,hungary
13,portugal,emerging,india,india,iceland,iceland,iceland,iceland,greece,iceland
14,new,hungary,indonesia,indonesia,india,india,india,india,hungary,india
15,new zealand,iceland,ireland,ireland,indonesia,indonesia,indonesia,indonesia,hong kong,indonesia
16,zealand,india,israel,israel,ireland,ireland,ireland,ireland,economy aggregate,ireland
17,hungary,indonesia,italy,italy,israel,israel,israel,israel,iceland,israel
18,thailand,ireland,japan,japan,italy,italy,italy,italy,india,japan
19,israel,israel,emerging market,emerging market,japan,japan,emerging market,japan,indonesia,emerging market
