Cluster,Number_of_Records,Percentage,Top_Terms
0,6593,72.49835056080933,"ireland, australia, switzerland, denmark, belgium, netherlands, germany, spain, korea, iceland"
1,241,2.6500989663514405,"south, africa, south africa, hong kong, estonia, euro, euro area, finland, france, germany"
2,225,2.4741587860127554,"france, zealand, emerging, estonia, euro, euro area, finland, germany, greece, hong"
3,224,2.463162524741588,"finland, zealand, emerging, estonia, euro, euro area, france, germany, greece, hong"
4,225,2.4741587860127554,"norway, zealand, hong, estonia, euro, euro area, finland, france, germany, greece"
5,224,2.463162524741588,"sweden, zealand, hong kong, estonia, euro, euro area, finland, france, germany, greece"
6,284,3.122938201011656,"japan, zealand, hong, estonia, euro, euro area, finland, france, germany, greece"
7,225,2.4741587860127554,"canada, zealand, estonia, euro, euro area, finland, france, germany, greece, hong"
8,457,5.0252914009236855,"united, kingdom, united kingdom, united state, state, hong, emerging market, estonia, euro, euro area"
9,396,4.35451946338245,"italy, zealand, hong, estonia, euro, euro area, finland, france, germany, greece"
