date,country_code,country,price,combined_text,clean_text,cluster,SVD_1,SVD_2
1927-03-31,IT,Italy,0.0189,1927-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1927-06-30,IT,Italy,0.0188,1927-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1927-09-30,IT,Italy,0.0187,1927-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1927-12-31,IT,Italy,0.0186,1927-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1928-03-31,IT,Italy,0.0186,1928-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1928-06-30,IT,Italy,0.0185,1928-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1928-09-30,IT,Italy,0.0183,1928-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1928-12-31,IT,Italy,0.0182,1928-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1929-03-31,IT,Italy,0.018,1929-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1929-06-30,IT,Italy,0.0178,1929-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1929-09-30,IT,Italy,0.0175,1929-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1929-12-31,IT,Italy,0.0172,1929-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1930-03-31,IT,Italy,0.0169,1930-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1930-06-30,IT,Italy,0.0165,1930-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1930-09-30,IT,Italy,0.0162,1930-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1930-12-31,IT,Italy,0.0157,1930-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1931-03-31,IT,Italy,0.0153,1931-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1931-06-30,IT,Italy,0.0148,1931-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1931-09-30,IT,Italy,0.0144,1931-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1931-12-31,IT,Italy,0.014,1931-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1932-03-31,IT,Italy,0.0136,1932-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1932-06-30,IT,Italy,0.0132,1932-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1932-09-30,IT,Italy,0.0129,1932-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1932-12-31,IT,Italy,0.0128,1932-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1933-03-31,IT,Italy,0.0126,1933-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1933-06-30,IT,Italy,0.0125,1933-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1933-09-30,IT,Italy,0.0123,1933-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1933-12-31,IT,Italy,0.0121,1933-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1934-03-31,IT,Italy,0.0118,1934-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1934-06-30,IT,Italy,0.0116,1934-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1934-09-30,IT,Italy,0.0115,1934-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1934-12-31,IT,Italy,0.0116,1934-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1935-03-31,IT,Italy,0.0117,1935-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1935-06-30,IT,Italy,0.0118,1935-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1935-09-30,IT,Italy,0.0119,1935-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1935-12-31,IT,Italy,0.0119,1935-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1936-03-31,IT,Italy,0.0119,1936-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1936-06-30,IT,Italy,0.012,1936-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1936-09-30,IT,Italy,0.012,1936-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1936-12-31,IT,Italy,0.0121,1936-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1937-03-31,IT,Italy,0.0122,1937-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1937-06-30,IT,Italy,0.0123,1937-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1937-09-30,IT,Italy,0.0124,1937-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1937-12-31,IT,Italy,0.0125,1937-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1938-03-31,IT,Italy,0.0126,1938-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1938-06-30,IT,Italy,0.0127,1938-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1938-09-30,IT,Italy,0.0128,1938-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1938-12-31,IT,Italy,0.0129,1938-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1939-03-31,IT,Italy,0.013,1939-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1939-06-30,IT,Italy,0.013,1939-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1939-09-30,IT,Italy,0.0132,1939-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1939-12-31,IT,Italy,0.0134,1939-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1940-03-31,IT,Italy,0.0136,1940-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1940-06-30,IT,Italy,0.0138,1940-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1940-09-30,IT,Italy,0.0142,1940-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1940-12-31,IT,Italy,0.0147,1940-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1941-03-31,IT,Italy,0.0153,1941-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1941-06-30,IT,Italy,0.0158,1941-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1941-09-30,IT,Italy,0.0162,1941-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1941-12-31,IT,Italy,0.0165,1941-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1942-03-31,IT,Italy,0.0168,1942-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1942-06-30,IT,Italy,0.0171,1942-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1942-09-30,IT,Italy,0.0178,1942-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1942-12-31,IT,Italy,0.0188,1942-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1943-03-31,IT,Italy,0.0199,1943-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
