word,level,pos,definition_url,voice_url,clean_text,cluster
a bit,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/bit#bit_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a_b/a_bit/a_bit_1_us_2.ogg,bit,1
a bit more,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/bit#bit_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a_b/a_bit/a_bit_more_1_us_1.ogg,bit,1
a bit of a…,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/bit#bit_sng_15,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a_b/a_bit/a_bit_of_a_1_us_1.ogg,bit,1
a bit of sth,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/bit#bit_sng_3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a_b/a_bit/a_bit_of_sth_1_us_1.ogg,bit sth,3
a couple of sth,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/couple_1#couple_sng_3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a_c/a_cou/a_couple_of_sth_1_us_1.ogg,couple sth,3
a few,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/few_1#few_sng_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a_f/a_few/a_few_1_us_1.ogg,,1
a good idea,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/idea#idea_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a_g/a_goo/a_good_idea_1_us_1.ogg,good idea,1
a great deal,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/deal_2#deal_sng_32,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a_g/a_gre/a_great_deal_1_us_1.ogg,great deal,1
a kind of...,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/kind_1#kind_sng_4,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a_k/a_kin/a_kind_of_1_us_1.ogg,kind,1
a little,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/little_2#little_sng_9,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a_l/a_lit/a_little_1_us_1.ogg,little,1
a little bit,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/bit#bit_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a_l/a_lit/a_little_bit_1_us_1.ogg,little bit,1
a little more,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/little_3#little_sng_12,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a_l/a_lit/a_little_more_1_us_1.ogg,little,1
a long time ago,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/time_1#time_sng_6,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a_l/a_lon/a_long_time_ago_1_us_1.ogg,long time ago,1
a long way,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/long_1#long_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a_l/a_lon/a_long_way_1_us_1.ogg,long way,1
