PRODUCT NAME,RATING,SALES
banana ,3,1
banana icecream,5,2
banana yogurt,2,0
banana face mask,4,1
banana chips,3,1
banana cake,1,2
banana bread,4,2
raw banana,2,0
banana smoothie,5,1
banana pancakes,2,2
banana hair mask,3,2
banana museli,1,1
banana pie,4,0
banana powder,4,1
banana pulp,3,1
 banana leaf,2,0
banana jam,1,2
banana paper,5,1
banana flour,5,0
banana seeds,3,0
strawberry ,4,1
strawberry icecream,4,1
strawberry yogurt,2,0
pineapple,2,1
pineapple icecream,1,1
pineapple jam,3,1
pineapple cake,3,1
strawberry cake,4,0
strawberry pulp,5,1
strawberry shake,4,2
grape wine,4,2
grapes,5,1
watermelon,3,2
cherries,2,0
kiwi,4,2
guava,5,1
blueberry,4,0
pear,3,2
plum,1,0
avacado puree,4,1
avacado juice,3,2
avacado smoothie,5,0
avacado toast,5,1
peach fruit salad,4,2
peach smoothie,5,0
 jackfruit,3,1
watermelon juice,5,2
mango juice,4,2
mango jam,5,1
