dataset,accuracy,time_training_seconds,time_test_seconds,clean_text,cluster
ACSF1,0.822333,0.49,0.25,acsf,0
Adiac,0.801705,0.45,0.23,adiac,0
ArrowHead,0.880952,0.13,0.14,arrowhead,0
BME,0.992222,0.11,0.07,bme,0
Beef,0.761111,0.17,0.04,beef,0
BeetleFly,0.906667,0.14,0.02,beetlefly,0
BirdChicken,0.908333,0.15,0.02,birdchicken,0
CBF,0.996222,0.08,0.4,cbf,0
Car,0.921111,0.2,0.07,car,0
Chinatown,0.968999,0.1,0.12,chinatown,0
ChlorineConcentration,0.753351,0.56,2.15,chlorineconcentration,0
CinCECGTorso,0.875797,0.41,3.82,cincecgtorso,0
Coffee,0.99881,0.15,0.03,coffee,0
Computers,0.793867,0.52,0.32,computers,0
CricketX,0.825128,0.53,0.3,cricketx,0
CricketY,0.841368,0.53,0.3,crickety,0
CricketZ,0.842479,0.53,0.3,cricketz,0
Crop,0.752248,102.87,6.38,crop,0
DiatomSizeReduction,0.94281,0.1,0.26,diatomsizereduction,0
DistalPhalanxOutlineAgeGroup,0.803837,0.38,0.06,distalphalanxoutlineagegroup,0
DistalPhalanxOutlineCorrect,0.821377,0.6,0.12,distalphalanxoutlinecorrect,0
DistalPhalanxTW,0.695923,0.38,0.06,distalphalanxtw,0
ECG200,0.899333,0.17,0.04,ecg,2
ECG5000,0.946133,0.59,2.34,ecg,2
ECGFiveDays,0.990476,0.08,0.42,ecgfivedays,0
EOGHorizontalSignal,0.83628,1.08,0.75,eoghorizontalsignal,0
EOGVerticalSignal,0.798066,1.08,0.75,eogverticalsignal,0
Earthquakes,0.748681,0.52,0.13,earthquakes,0
ElectricDevices,0.874366,179.88,2.97,electricdevices,0
EthanolLevel,0.664,2.01,1.53,ethanollevel,0
FaceAll,0.983452,0.59,0.82,faceall,0
FaceFour,0.940152,0.15,0.09,facefour,0
FacesUCR,0.96865,0.22,1.0,facesucr,0
FiftyWords,0.829011,0.63,0.35,fiftywords,0
Fish,0.975048,0.33,0.18,fish,0
FordA,0.948182,18.99,1.38,forda,0
FordB,0.92679,19.23,0.84,fordb,0
FreezerRegularTrain,0.999123,0.27,2.21,freezerregulartrain,0
FreezerSmallTrain,0.987322,0.12,2.26,freezersmalltrain,0
GunPoint,0.992444,0.14,0.09,gunpoint,0
GunPointAgeSpan,0.9923,0.22,0.19,gunpointagespan,0
GunPointMaleVersusFemale,0.999895,0.18,0.19,gunpointmaleversusfemale,0
GunPointOldVersusYoung,1.0,0.2,0.19,gunpointoldversusyoung,0
Ham,0.844762,0.25,0.1,ham,0
Haptics,0.546212,0.48,0.55,haptics,0
Herring,0.609375,0.19,0.06,herring,0
HouseTwenty,0.965826,0.42,0.41,housetwenty,0
InlineSkate,0.464667,0.62,1.79,inlineskate,0
InsectEPGRegularTrain,1.0,0.21,0.31,insectepgregulartrain,0
InsectEPGSmallTrain,0.99344,0.14,0.31,insectepgsmalltrain,0
InsectWingbeatSound,0.65968,0.28,1.2,insectwingbeatsound,0
ItalyPowerDemand,0.959572,0.09,0.35,italypowerdemand,0
LargeKitchenAppliances,0.9032,0.74,0.47,largekitchenappliances,0
Lightning2,0.751913,0.24,0.09,lightning,4
Lightning7,0.778995,0.19,0.07,lightning,4
Mallat,0.955892,0.31,3.74,mallat,0
Meat,0.993333,0.18,0.05,meat,0
MedicalImages,0.804386,0.37,0.34,medicalimages,0
MiddlePhalanxOutlineAgeGroup,0.708009,0.37,0.06,middlephalanxoutlineagegroup,0
MiddlePhalanxOutlineCorrect,0.842726,0.6,0.13,middlephalanxoutlinecorrect,0
MiddlePhalanxTW,0.590909,0.38,0.07,middlephalanxtw,0
MixedShapesRegularTrain,0.969361,1.25,3.9,mixedshapesregulartrain,0
MixedShapesSmallTrain,0.941388,0.39,3.9,mixedshapessmalltrain,0
MoteStrain,0.912913,0.06,0.59,motestrain,0
OSULeaf,0.957576,0.34,0.23,osuleaf,0
OliveOil,0.914444,0.17,0.04,oliveoil,0
PhalangesOutlinesCorrect,0.84223,3.29,0.35,phalangesoutlinescorrect,0
Phoneme,0.271871,0.62,3.11,phoneme,0
PigAirwayPressure,0.872756,0.66,0.72,pigairwaypressure,0
PigArtPressure,0.9625,0.65,0.73,pigartpressure,0
PigCVP,0.91859,0.67,0.74,pigcvp,0
Plane,1.0,0.18,0.06,plane,0
PowerCons,0.983704,0.24,0.09,powercons,0
