state/region,ages,year,population
al,under18,2012,1117489.0
al,total,2012,4817528.0
al,under18,2010,1130966.0
al,total,2010,4785570.0
al,under18,2011,1125763.0
al,total,2011,4801627.0
al,total,2009,4757938.0
al,under18,2009,1134192.0
al,under18,2013,1111481.0
al,total,2013,4833722.0
al,total,2007,4672840.0
al,under18,2007,1132296.0
al,total,2008,4718206.0
al,under18,2008,1134927.0
al,total,2005,4569805.0
al,under18,2005,1117229.0
al,total,2006,4628981.0
al,under18,2006,1126798.0
al,total,2004,4530729.0
al,under18,2004,1113662.0
al,total,2003,4503491.0
al,under18,2003,1113083.0
al,total,2001,4467634.0
al,under18,2001,1120409.0
al,total,2002,4480089.0
al,under18,2002,1116590.0
al,under18,1999,1121287.0
al,total,1999,4430141.0
al,total,2000,4452173.0
al,under18,2000,1122273.0
al,total,1998,4404701.0
al,under18,1998,1118252.0
al,under18,1997,1122893.0
al,total,1997,4367935.0
al,total,1996,4331103.0
al,total,1995,4296800.0
al,under18,1995,1110553.0
al,under18,1996,1112092.0
al,total,1994,4260229.0
al,total,1993,4214202.0
al,under18,1993,1085606.0
al,under18,1994,1097180.0
al,under18,1992,1072873.0
al,total,1992,4154014.0
al,total,1991,4099156.0
al,under18,1991,1060794.0
al,under18,1990,1050041.0
al,total,1990,4050055.0
ak,total,1990,553290.0
ak,under18,1990,177502.0
ak,total,1992,588736.0
ak,under18,1991,182180.0
ak,under18,1992,184878.0
ak,total,1994,603308.0
ak,under18,1994,187439.0
ak,total,1991,570193.0
ak,total,1993,599434.0
ak,under18,1993,187190.0
ak,total,1995,604412.0
ak,under18,1995,184990.0
ak,total,1996,608569.0
ak,under18,1996,185360.0
ak,under18,1997,188280.0
ak,under18,1998,192636.0
ak,total,1998,619933.0
ak,total,1997,612968.0
ak,under18,1999,191422.0
ak,total,1999,624779.0
ak,total,2000,627963.0
ak,under18,2000,190615.0
ak,total,2001,633714.0
ak,under18,2001,188771.0
ak,total,2002,642337.0
ak,under18,2002,188482.0
ak,total,2003,648414.0
ak,under18,2003,186843.0
ak,total,2004,659286.0
ak,under18,2004,186335.0
ak,total,2005,666946.0
ak,under18,2005,185304.0
ak,total,2006,675302.0
ak,under18,2006,185580.0
ak,total,2007,680300.0
ak,under18,2007,184344.0
ak,total,2008,687455.0
ak,under18,2008,183124.0
ak,under18,2013,188132.0
ak,total,2013,735132.0
ak,total,2009,698895.0
ak,under18,2009,186351.0
ak,under18,2010,187902.0
ak,total,2010,713868.0
ak,under18,2011,188329.0
ak,total,2011,723375.0
ak,under18,2012,188162.0
ak,total,2012,730307.0
az,under18,2012,1617149.0
az,total,2012,6551149.0
az,under18,2011,1616353.0
az,total,2011,6468796.0
az,under18,2010,1628563.0
az,total,2010,6408790.0
az,under18,2013,1616814.0
az,total,2013,6626624.0
az,total,2009,6343154.0
az,under18,2009,1627343.0
az,total,2007,6167681.0
az,under18,2007,1607895.0
az,total,2008,6280362.0
az,under18,2008,1628651.0
az,total,2005,5839077.0
az,under18,2005,1529168.0
az,total,2006,6029141.0
az,under18,2006,1574867.0
az,total,2004,5652404.0
az,under18,2004,1484454.0
az,total,2003,5510364.0
az,under18,2003,1453671.0
az,total,2001,5273477.0
az,under18,2001,1399015.0
az,total,2002,5396255.0
az,under18,2002,1427938.0
az,under18,1999,1332396.0
az,total,1999,5023823.0
az,total,2000,5160586.0
az,under18,2000,1373414.0
az,total,1998,4883342.0
az,under18,1998,1285794.0
az,total,1997,4736990.0
az,under18,1997,1237159.0
az,under18,1996,1215285.0
az,total,1996,4586940.0
az,total,1995,4432499.0
az,under18,1995,1173391.0
az,total,1993,4065440.0
az,under18,1993,1094233.0
az,under18,1994,1119857.0
az,total,1994,4245089.0
az,under18,1992,1055572.0
az,under18,1991,1028285.0
az,total,1991,3788576.0
az,total,1992,3915740.0
az,under18,1990,1006040.0
az,total,1990,3684097.0
ar,under18,1990,620933.0
ar,total,1990,2356586.0
ar,total,1991,2383144.0
ar,under18,1991,626212.0
ar,under18,1992,638269.0
ar,total,1992,2415984.0
ar,under18,1994,653842.0
ar,total,1994,2494019.0
ar,total,1993,2456303.0
ar,under18,1993,643474.0
ar,under18,1995,667671.0
ar,total,1995,2535399.0
ar,under18,1996,677912.0
ar,total,1996,2572109.0
ar,under18,1998,683637.0
ar,total,1997,2601091.0
ar,under18,1997,680203.0
ar,total,1998,2626289.0
ar,total,2000,2678588.0
ar,under18,2000,680378.0
ar,under18,1999,681940.0
ar,total,1999,2651860.0
ar,total,2002,2705927.0
ar,under18,2002,678798.0
ar,total,2001,2691571.0
ar,under18,2001,679606.0
ar,total,2004,2749686.0
ar,under18,2004,683166.0
ar,total,2003,2724816.0
ar,under18,2003,679579.0
ar,total,2006,2821761.0
ar,under18,2006,697842.0
ar,total,2005,2781097.0
ar,under18,2005,689787.0
ar,total,2008,2874554.0
ar,under18,2008,705725.0
ar,total,2007,2848650.0
ar,under18,2007,702737.0
ar,total,2009,2896843.0
ar,under18,2009,707886.0
ar,under18,2013,709866.0
ar,total,2013,2959373.0
ar,under18,2011,710576.0
ar,total,2011,2938506.0
ar,under18,2010,711947.0
ar,total,2010,2922280.0
ar,under18,2012,710471.0
ar,total,2012,2949828.0
ca,under18,2012,9209007.0
ca,total,2012,37999878.0
ca,under18,2011,9252336.0
ca,total,2011,37668681.0
ca,under18,2010,9284094.0
ca,total,2010,37333601.0
ca,under18,2013,9174877.0
ca,total,2013,38332521.0
ca,total,2009,36961229.0
ca,under18,2009,9294501.0
ca,total,2007,36250311.0
ca,under18,2007,9335620.0
ca,total,2008,36604337.0
ca,under18,2008,9321621.0
ca,total,2005,35827943.0
ca,under18,2005,9405565.0
ca,total,2006,36021202.0
ca,under18,2006,9370884.0
ca,total,2003,35253159.0
ca,under18,2003,9404594.0
ca,total,2004,35574576.0
ca,under18,2004,9418497.0
ca,total,2001,34479458.0
ca,under18,2001,9325466.0
ca,total,2002,34871843.0
ca,under18,2002,9365142.0
ca,under18,1999,9207878.0
ca,total,1999,33499204.0
ca,total,2000,33987977.0
ca,under18,2000,9267089.0
ca,under18,1998,9163238.0
ca,total,1998,32987675.0
ca,under18,1997,9135359.0
ca,total,1997,32486010.0
ca,under18,1996,9079519.0
ca,total,1996,32018834.0
ca,total,1995,31696582.0
ca,under18,1995,8920578.0
ca,total,1993,31274928.0
ca,under18,1993,8624810.0
ca,under18,1994,8790058.0
ca,total,1994,31484435.0
ca,total,1991,30470736.0
ca,under18,1991,8245605.0
ca,under18,1992,8439647.0
ca,total,1992,30974659.0
ca,under18,1990,7980501.0
ca,total,1990,29959515.0
co,total,1990,3307618.0
co,under18,1990,881640.0
co,total,1992,3495939.0
co,under18,1992,925577.0
co,under18,1991,896537.0
co,total,1991,3387119.0
co,total,1994,3724168.0
co,under18,1994,966412.0
co,under18,1993,947806.0
co,total,1993,3613734.0
co,under18,1995,984310.0
co,total,1995,3826653.0
co,total,1996,3919972.0
co,under18,1996,1003946.0
co,under18,1997,1030557.0
co,total,1997,4018293.0
co,total,1998,4116639.0
co,under18,1998,1060066.0
co,total,2000,4326921.0
co,under18,2000,1106676.0
co,total,1999,4226018.0
co,under18,1999,1083938.0
co,total,2002,4490406.0
co,under18,2002,1138273.0
co,total,2001,4425687.0
co,under18,2001,1126647.0
co,total,2004,4575013.0
co,under18,2004,1146369.0
co,total,2003,4528732.0
co,under18,2003,1144597.0
co,total,2006,4720423.0
co,under18,2006,1171832.0
co,total,2005,4631888.0
co,under18,2005,1156399.0
co,total,2008,4889730.0
co,under18,2008,1203289.0
co,total,2007,4803868.0
co,under18,2007,1189434.0
co,total,2009,4972195.0
co,under18,2009,1217213.0
co,under18,2013,1237932.0
co,total,2013,5268367.0
co,under18,2010,1226619.0
co,total,2010,5048196.0
co,under18,2011,1230178.0
co,total,2011,5118400.0
co,under18,2012,1232864.0
co,total,2012,5189458.0
ct,under18,2012,794959.0
ct,total,2012,3591765.0
ct,under18,2011,805109.0
ct,total,2011,3588948.0
ct,under18,2010,814187.0
ct,total,2010,3579210.0
ct,under18,2013,785566.0
ct,total,2013,3596080.0
ct,total,2009,3561807.0
ct,under18,2009,820839.0
ct,total,2007,3527270.0
ct,under18,2007,833484.0
ct,total,2008,3545579.0
ct,under18,2008,826626.0
ct,total,2005,3506956.0
ct,under18,2005,844034.0
ct,total,2006,3517460.0
ct,under18,2006,839372.0
ct,total,2003,3484336.0
ct,under18,2003,851115.0
ct,total,2004,3496094.0
ct,under18,2004,848979.0
ct,total,2001,3432835.0
ct,under18,2001,845850.0
ct,total,2002,3458749.0
ct,under18,2002,848877.0
ct,total,1999,3386401.0
