total_bill,tip,sex,smoker,day,time,size,cluster,PCA1,PCA2
16.99,1.01,Female,No,Sun,Dinner,2,0,-1.3071945391618693,0.0031805872798979784
10.34,1.66,Male,No,Sun,Dinner,3,0,-0.8131765302174868,0.07124207770405008
21.01,3.5,Male,No,Sun,Dinner,3,1,0.6650581447997174,0.16020998049773053
23.68,3.31,Male,No,Sun,Dinner,2,0,0.19929193897161288,0.5025490104515026
24.59,3.61,Female,No,Sun,Dinner,4,1,1.4123608821407563,-0.5734867814820123
25.29,4.71,Male,No,Sun,Dinner,4,1,2.020428703730908,-0.12238317756154013
8.77,2.0,Male,No,Sun,Dinner,2,0,-1.348769550317372,0.3655391994460683
26.88,3.12,Male,No,Sun,Dinner,4,1,1.4756413231353374,-0.09037057192572043
15.04,1.96,Male,No,Sun,Dinner,2,0,-0.9402746650268752,0.4290996900969716
14.78,3.23,Male,No,Sun,Dinner,2,0,-0.43668344174388785,0.4137036600958034
10.27,1.71,Male,No,Sun,Dinner,2,0,-1.3661329210524846,0.3835663749564041
35.26,5.0,Female,No,Sun,Dinner,4,1,2.705914445800282,-0.4799915827132122
15.42,1.57,Male,No,Sun,Dinner,2,0,-1.0745794473503267,0.43685110808401495
18.43,3.0,Male,No,Sun,Dinner,4,1,0.8537458472744383,-0.17428062054127572
14.83,3.02,Female,No,Sun,Dinner,2,0,-0.628666392578936,-0.03879913681227623
21.58,3.92,Male,No,Sun,Dinner,2,0,0.30732276181625123,0.47525859056164454
10.33,1.67,Female,No,Sun,Dinner,3,0,-0.9189370715410412,-0.3840784472938096
16.29,3.71,Male,No,Sun,Dinner,3,0,0.43137346967772877,0.11055241563051224
16.97,3.5,Female,No,Sun,Dinner,3,0,0.28208492394141155,-0.3356043556738254
20.65,3.35,Male,No,Sat,Dinner,3,0,0.5195953398114402,0.36376398109384245
17.92,4.08,Male,No,Sat,Dinner,2,0,0.06544736238895921,0.6424527007679938
20.29,2.75,Female,No,Sat,Dinner,2,0,-0.4289625134933651,0.22458733162129377
15.77,2.23,Female,No,Sat,Dinner,2,0,-0.9486872120880534,0.1842886581942673
39.42,7.58,Male,No,Sat,Dinner,4,1,4.096352674458306,0.19674622559872298
19.82,3.18,Male,No,Sat,Dinner,2,0,-0.17515395606038356,0.6706461000945979
17.81,2.34,Male,No,Sat,Dinner,4,1,0.48135786953210963,0.03178532079969751
13.37,2.0,Male,No,Sat,Dinner,2,0,-1.0965382558218109,0.6175464616926328
12.69,2.0,Male,No,Sat,Dinner,2,0,-1.1426211057696476,0.610696783263197
21.7,4.3,Male,No,Sat,Dinner,2,0,0.4119023363117651,0.6783155096914982
19.65,3.0,Female,No,Sat,Dinner,2,0,-0.36973399014098485,0.21562541102179086
9.55,1.45,Male,No,Sat,Dinner,2,0,-1.5811368006195323,0.5846007475569944
18.35,2.5,Male,No,Sat,Dinner,4,1,0.5836174690518475,0.03561506608159251
15.06,3.0,Female,No,Sat,Dinner,2,0,-0.6807932272888815,0.16939008162309913
20.69,2.45,Female,No,Sat,Dinner,4,1,0.612489687455234,-0.3954301366453089
17.78,3.27,Male,No,Sat,Dinner,2,0,-0.2764662836323576,0.6491916056112667
24.06,3.6,Male,No,Sat,Dinner,3,1,0.8532878959413768,0.3955979393755381
16.31,2.0,Male,No,Sat,Dinner,3,0,-0.32856500716396364,0.3336288037489791
16.93,3.07,Female,No,Sat,Dinner,3,0,0.043395474475966346,-0.12600999283097633
18.69,2.31,Male,No,Sat,Dinner,3,0,-0.04005026674457924,0.3544838743580331
31.27,5.0,Male,No,Sat,Dinner,3,1,1.91646510073963,0.4541397560291017
16.04,2.24,Male,No,Sat,Dinner,3,0,-0.24836601662503874,0.32849452063683526
17.46,2.54,Male,No,Sun,Dinner,2,0,-0.5382405019135993,0.4476413053815086
13.94,3.06,Male,No,Sun,Dinner,2,0,-0.5633777350550963,0.40695260443697057
9.68,1.32,Male,No,Sun,Dinner,2,0,-1.5661735334485856,0.3815469281249876
30.4,5.6,Male,No,Sun,Dinner,4,1,2.7319859653280227,-0.07986384414864742
18.29,3.0,Male,No,Sun,Dinner,2,0,-0.29320718136393037,0.45137403973568124
22.23,5.0,Male,No,Sun,Dinner,2,1,0.7946072121130527,0.47094056695537667
32.4,6.0,Male,No,Sun,Dinner,4,1,3.03168474716574,-0.06374199420989043
28.55,2.05,Male,No,Sun,Dinner,3,1,0.5809520470034384,0.25074878030996517
18.04,3.0,Male,No,Sun,Dinner,2,0,-0.31014940560945853,0.4488557756072121
12.54,2.5,Male,No,Sun,Dinner,2,0,-0.8880795738529428,0.3984842936421372
10.29,2.6,Female,No,Sun,Dinner,2,0,-1.1087062221448938,-0.08030533714182911
34.81,5.2,Female,No,Sun,Dinner,4,1,2.757498936095078,-0.4865365896889541
9.94,1.56,Male,No,Sun,Dinner,2,0,-1.4500570275091413,0.38175136496519835
25.56,4.34,Male,No,Sun,Dinner,4,1,1.8868773921330988,-0.11594100894547285
19.49,3.51,Male,No,Sun,Dinner,2,0,-0.0025792454466932666,0.4583307721138635
38.01,3.0,Male,Yes,Sat,Dinner,4,1,2.115833415132461,0.7146347191983041
26.41,1.5,Female,No,Sat,Dinner,2,0,-0.5272199510674979,0.2988102596393266
11.24,1.76,Male,Yes,Sat,Dinner,2,0,-1.3447044025473898,1.0845191000866234
48.27,6.73,Male,No,Sat,Dinner,4,1,4.347265313518832,0.29444433481064247
20.29,3.21,Male,Yes,Sat,Dinner,2,0,-0.13631230381786308,1.1610923078395947
13.81,2.0,Male,Yes,Sat,Dinner,2,0,-1.0720417445792654,1.107992297473888
11.02,1.98,Male,Yes,Sat,Dinner,2,0,-1.2693250165530343,1.0800896829546232
18.29,3.76,Male,Yes,Sat,Dinner,4,1,1.0913366436048357,0.5083479448755744
17.59,2.64,Male,No,Sat,Dinner,3,0,0.020836761570727606,0.340083495144348
20.08,3.15,Male,No,Sat,Dinner,3,0,0.39888657459488996,0.3600344704254307
16.45,2.47,Female,No,Sat,Dinner,2,0,-0.8041077694161217,0.1887237787703059
3.07,1.0,Female,Yes,Sat,Dinner,1,0,-2.888201736431892,0.8682815844763
20.23,2.01,Male,No,Sat,Dinner,2,0,-0.6275395978276811,0.6865470228005986
15.01,2.09,Male,Yes,Sat,Dinner,2,0,-0.9537828459291946,1.1191745060955154
12.02,1.97,Male,No,Sat,Dinner,2,0,-1.200338340838175,0.6042496551305746
17.07,3.0,Female,No,Sat,Dinner,3,0,0.02415494717560112,-0.12389551887845948
26.86,3.14,Female,Yes,Sat,Dinner,2,0,0.1710142994261853,0.7728573473208397
25.28,5.0,Female,Yes,Sat,Dinner,2,1,0.8272880358061847,0.738229094665087
14.73,2.2,Female,No,Sat,Dinner,2,0,-1.0314789390399621,0.1741144991515107
10.51,1.25,Male,No,Sat,Dinner,2,0,-1.59815915345345,0.5962830133548133
17.92,3.08,Male,Yes,Sat,Dinner,2,0,-0.35027691072435463,1.1385270494056317
27.2,4.0,Male,No,Thur,Lunch,4,1,1.603040965530949,-1.5123033698954436
22.76,3.0,Male,No,Thur,Lunch,2,0,-0.24572078981423315,-0.9199021949056658
17.29,2.71,Male,No,Thur,Lunch,2,0,-0.7354333725146709,-0.9720842232970471
19.44,3.0,Male,Yes,Thur,Lunch,2,0,-0.47603533122443126,-0.46733105161658506
16.66,3.4,Male,No,Thur,Lunch,2,0,-0.49495007353162834,-0.985372102729306
10.07,1.83,Female,No,Thur,Lunch,1,0,-2.2637985506282123,-1.1775450562924896
32.68,5.0,Male,Yes,Thur,Lunch,2,1,1.242029804186199,-0.354085098817841
15.98,2.03,Male,No,Thur,Lunch,2,0,-1.1032843069461744,-0.9784386800789328
34.83,5.17,Female,No,Thur,Lunch,4,1,2.4911016619838615,-1.9023361060853756
13.03,2.0,Male,No,Thur,Lunch,2,0,-1.3155146271339186,-1.007852377063193
18.28,4.0,Male,No,Thur,Lunch,2,0,-0.13892297861036806,-0.9750901458103195
24.71,5.85,Male,No,Thur,Lunch,2,1,1.0560755978995158,-0.9289326092126992
21.16,3.0,Male,No,Thur,Lunch,2,0,-0.35415102498561346,-0.9360190853278677
28.97,3.0,Male,Yes,Fri,Dinner,2,0,0.3364992068203997,0.9613779474925878
22.49,3.5,Male,No,Fri,Dinner,2,0,0.10787979264775896,0.40506052150627603
5.75,1.0,Female,Yes,Fri,Dinner,2,0,-2.1670863975222847,0.29248370282986325
16.32,4.3,Female,Yes,Fri,Dinner,2,0,-0.09644100646504683,0.3657557396973229
22.75,3.25,Female,No,Fri,Dinner,2,0,-0.08628778860839464,-0.04492450722499011
40.17,4.73,Male,Yes,Fri,Dinner,4,1,2.942972508633786,0.4297263543991968
27.28,4.0,Male,Yes,Fri,Dinner,2,0,0.6323722406043593,0.9342938242616486
12.03,1.5,Male,Yes,Fri,Dinner,2,0,-1.4271096125821823,0.8058313567312577
21.01,3.0,Male,Yes,Fri,Dinner,2,0,-0.20294121315721642,0.8811964176421333
12.46,1.5,Male,No,Fri,Dinner,2,0,-1.3926471834502896,0.32414908011707455
11.35,2.5,Female,Yes,Fri,Dinner,2,0,-1.1719768698968598,0.33380183272383734
15.38,3.0,Female,Yes,Fri,Dinner,2,0,-0.6936669802170811,0.3693659216135142
44.3,2.5,Female,Yes,Sat,Dinner,3,1,1.6589789737270784,0.6414378297707833
22.42,3.48,Female,Yes,Sat,Dinner,2,0,0.009657236518073396,0.7247123527735834
20.92,4.08,Female,No,Sat,Dinner,2,0,0.15956717628472644,0.2175526824541262
15.36,1.64,Male,Yes,Sat,Dinner,2,0,-1.1147448433431337,1.127227371850492
