ID,Age,Vol,combined_text,Cluster
1.1.1,9.67,5.0,1.1.1,0
1.1.1,19.67,38.0,1.1.1,0
1.1.1,29.67,123.0,1.1.1,0
1.1.1,39.67,263.0,1.1.1,0
1.1.1,49.67,400.0,1.1.1,0
1.1.1,59.67,555.0,1.1.1,0
1.1.1,69.67,688.0,1.1.1,0
1.1.1,79.67,820.0,1.1.1,0
1.1.1,89.67,928.0,1.1.1,0
1.1.1,99.67,1023.0,1.1.1,0
1.1.1,109.67,1104.0,1.1.1,0
1.1.1,119.67,1156.0,1.1.1,0
1.1.1,129.67,1219.0,1.1.1,0
1.1.2,9.21,6.0,1.1.2,0
1.1.2,19.21,53.0,1.1.2,0
1.1.2,29.21,152.0,1.1.2,0
1.1.2,39.21,286.0,1.1.2,0
1.1.2,49.21,465.0,1.1.2,0
1.1.2,59.21,679.0,1.1.2,0
1.1.2,69.21,890.0,1.1.2,0
1.1.2,79.21,1092.0,1.1.2,0
1.1.2,89.21,1316.0,1.1.2,0
1.1.2,99.21,1513.0,1.1.2,0
1.1.2,109.21,1772.0,1.1.2,0
1.1.2,119.21,2045.0,1.1.2,0
1.1.2,129.21,2296.0,1.1.2,0
1.1.3,0.7,0.6,1.1.3,0
1.1.3,10.7,13.0,1.1.3,0
1.1.3,20.7,71.0,1.1.3,0
1.1.3,30.7,186.0,1.1.3,0
1.1.3,40.7,370.0,1.1.3,0
1.1.3,50.7,595.0,1.1.3,0
1.1.3,60.7,847.0,1.1.3,0
1.1.3,70.7,1068.0,1.1.3,0
1.1.3,80.7,1284.0,1.1.3,0
1.1.3,90.7,1473.0,1.1.3,0
1.1.3,100.7,1678.0,1.1.3,0
1.1.3,110.7,1922.0,1.1.3,0
1.1.3,120.7,2155.0,1.1.3,0
1.1.3,130.7,2380.0,1.1.3,0
1.1.4,9.82,23.0,1.1.4,0
1.1.4,19.82,142.0,1.1.4,0
1.1.4,29.82,434.0,1.1.4,0
1.1.4,39.82,813.0,1.1.4,0
1.1.4,49.82,1158.0,1.1.4,0
1.1.4,59.82,1505.0,1.1.4,0
1.1.4,69.82,1796.0,1.1.4,0
1.1.4,79.82,2091.0,1.1.4,0
1.1.4,89.82,2379.0,1.1.4,0
1.1.4,99.82,2717.0,1.1.4,0
1.1.4,109.82,3063.0,1.1.4,0
1.1.4,119.82,3484.0,1.1.4,0
1.1.4,129.82,3919.0,1.1.4,0
1.1.6,1.21,1.3,1.1.6,0
1.1.6,11.21,40.0,1.1.6,0
1.1.6,21.21,134.0,1.1.6,0
1.1.6,31.21,281.0,1.1.6,0
1.1.6,41.21,498.0,1.1.6,0
1.1.6,51.21,688.0,1.1.6,0
1.1.6,61.21,902.0,1.1.6,0
1.1.6,71.21,1103.0,1.1.6,0
1.1.6,81.21,1320.0,1.1.6,0
1.1.6,91.21,1481.0,1.1.6,0
1.1.6,101.21,1616.0,1.1.6,0
1.1.6,111.21,1738.0,1.1.6,0
1.1.6,121.21,1874.0,1.1.6,0
1.1.6,131.21,1988.0,1.1.6,0
1.1.6,141.21,2093.0,1.1.6,0
1.1.7,1.2,0.9,1.1.7,0
1.1.7,11.2,29.0,1.1.7,0
1.1.7,21.2,121.0,1.1.7,0
1.1.7,31.2,314.0,1.1.7,0
1.1.7,41.2,580.0,1.1.7,0
1.1.7,51.2,868.0,1.1.7,0
1.1.7,61.2,1181.0,1.1.7,0
1.1.7,71.2,1552.0,1.1.7,0
1.1.7,81.2,1913.0,1.1.7,0
1.1.7,91.2,2233.0,1.1.7,0
1.1.7,101.2,2513.0,1.1.7,0
1.1.7,111.2,2771.0,1.1.7,0
1.1.7,121.2,3052.0,1.1.7,0
1.1.7,131.2,3368.0,1.1.7,0
1.1.7,141.2,3678.0,1.1.7,0
1.2.1,9.21,11.0,1.2.1,0
1.2.1,19.21,80.0,1.2.1,0
1.2.1,29.21,240.0,1.2.1,0
1.2.1,39.21,505.0,1.2.1,0
1.2.1,49.21,805.0,1.2.1,0
1.2.1,59.21,1079.0,1.2.1,0
1.2.1,69.21,1335.0,1.2.1,0
1.2.1,79.21,1538.0,1.2.1,0
1.2.1,89.21,1761.0,1.2.1,0
1.2.1,99.21,1988.0,1.2.1,0
1.2.1,109.21,2176.0,1.2.1,0
1.2.1,119.21,2338.0,1.2.1,0
1.2.1,129.21,2550.0,1.2.1,0
1.2.1,139.21,2794.0,1.2.1,0
1.2.2,8.71,6.0,1.2.2,0
1.2.2,18.71,71.0,1.2.2,0
1.2.2,28.71,215.0,1.2.2,0
1.2.2,38.71,452.0,1.2.2,0
1.2.2,48.71,714.0,1.2.2,0
1.2.2,58.71,967.0,1.2.2,0
1.2.2,68.71,1261.0,1.2.2,0
1.2.2,78.71,1476.0,1.2.2,0
1.2.2,88.71,1695.0,1.2.2,0
1.2.2,98.71,1915.0,1.2.2,0
1.2.2,108.71,2107.0,1.2.2,0
1.2.2,118.71,2321.0,1.2.2,0
1.2.2,128.71,2508.0,1.2.2,0
1.2.2,138.71,2694.0,1.2.2,0
1.3.1,9.74,8.0,1.3.1,0
1.3.1,19.74,66.0,1.3.1,0
1.3.1,29.74,201.0,1.3.1,0
1.3.1,39.74,437.0,1.3.1,0
1.3.1,49.74,709.0,1.3.1,0
1.3.2,10.0,10.0,1.3.2,0
1.3.2,20.0,82.0,1.3.2,0
1.3.2,30.0,259.0,1.3.2,0
1.3.2,40.0,503.0,1.3.2,0
1.3.2,50.0,752.0,1.3.2,0
1.3.5,1.89,0.8,1.3.5,0
1.3.5,11.89,11.0,1.3.5,0
1.3.5,21.89,52.0,1.3.5,0
1.3.5,31.89,166.0,1.3.5,0
1.3.5,41.89,341.0,1.3.5,0
1.3.5,51.89,581.0,1.3.5,0
1.3.5,61.89,848.0,1.3.5,0
1.3.5,71.89,1145.0,1.3.5,0
1.3.5,81.89,1445.0,1.3.5,0
1.3.5,91.89,1713.0,1.3.5,0
1.3.6,1.91,1.4,1.3.6,0
1.3.6,11.91,24.0,1.3.6,0
1.3.6,21.91,117.0,1.3.6,0
1.3.6,31.91,227.0,1.3.6,0
1.3.6,41.91,511.0,1.3.6,0
